gene,pearson_r,pearson_p,spearman_rho,spearman_p,mean_sn,mean_merscope
A2M,0.9266605607699603,8.081885161104196e-11,0.3956521739130434,0.05565238288922824,0.251255601644516,0.6100878119468689
A2M-AS1,0.448065273640168,0.028107238933444023,0.5382608695652172,0.006661450969899968,0.02001485973596573,0.09653797000646591
AAK1,0.7095840303081786,0.00010313349775969982,0.5617391304347825,0.004283140443219148,1.3044281005859375,0.7891788482666016
AATBC,0.14604302553925663,0.49591395258903503,0.3205044650674097,0.12677802095109017,0.0013740210561081767,0.02616167813539505
ABCA12,0.5902704469335731,0.0023942303378134966,0.657391304347826,0.00048204432271867274,0.024692552164196968,0.017403503879904747
ABCA3,0.6967229226138443,0.00015529095253441483,0.5739130434782608,0.0033630914138609146,0.47158336639404297,0.26094552874565125
ABCA5,0.5885297303975676,0.002484487369656563,0.6356521739130434,0.0008436669168882472,0.7768933176994324,0.17916376888751984
ABCA6,0.3495364667614922,0.09408202022314072,0.5608695652173912,0.00435625973799249,0.30212536454200745,0.07246764749288559
ABCB10,0.5878803744562902,0.0025188890285789967,0.6356521739130434,0.0008436669168882472,0.2370363026857376,0.17337585985660553
ABCB4,0.7904601543268654,4.306797563913278e-06,0.4408695652173913,0.031055354027520514,0.01244273316115141,0.06782776862382889
ABCC12,0.5410813161870465,0.006327622104436159,0.5843478260869565,0.0027132076985506813,0.02957414835691452,0.024535955861210823
ABCC3,0.9881106369721238,2.188482603377085e-19,0.4834782608695652,0.016688563317628143,0.030571790412068367,0.11448518186807632
ABCC9,0.66891441262851,0.0003518587036523968,0.7799999999999999,6.981725879963744e-06,0.09946272522211075,0.10164513438940048
ABCD1,0.7911319436500435,4.171396085439483e-06,0.7130434782608696,9.204341421214485e-05,0.011777110397815704,0.09337816387414932
ABCD3,0.53635162190767,0.006895675323903561,0.5391304347826086,0.0065569969186163235,0.30589309334754944,0.43202999234199524
ABCG4,0.8813129956834018,1.2974907370733035e-08,0.7982608695652172,2.9507045111996198e-06,0.04510122537612915,0.4938717186450958
ABHD15,0.822879002080299,7.970724027472897e-07,0.4635790498804054,0.022511775096183875,0.008512957952916622,0.03495625779032707
ABLIM3,0.7989015861385269,2.858405650840723e-06,0.6113043478260869,0.0015054217824644778,0.33223757147789,0.6836313605308533
ABO,0.9508849988596921,1.1007092589818135e-12,0.7278260869565217,5.555086738098942e-05,0.048425037413835526,0.08741706609725952
ABRA,0.6231355792842805,0.0011429655132815242,0.7429633734579646,3.200741103313136e-05,0.0020796123426407576,0.020664475858211517
