celltype,merfish_prop,xenium_prop
Astro_1,0.07832649924110126,0.0002554427814236811
Astro_2,0.0029329798724342447,0.06561372002889766
Astro_3,0.04004877328109158,0.005232776688369773
Astro_4,0.003740291226330368,0.016170625405705002
Astro_5,0.0029881514058063075,0.013413112331327429
Astro_6-SEAAD,0.00028709138297974195,0.008405291411850565
Chandelier_1,0.0022820778776545766,0.004385578816956122
Chandelier_2,0.000792432903595573,0.0031754961033416233
Endo_1,0.0032448958298935075,0.028871601719574706
Endo_2,0.03856826038096918,0.08508808976404691
Endo_3,0.010777415971775636,0.002054277654831536
L2/3 IT_1,0.04479739468970943,0.024957471514797297
L2/3 IT_10,0.014783507060644255,0.0007466610278913086
L2/3 IT_12,0.002839515239159874,0.030172105137939095
L2/3 IT_13,0.018682144657623884,0.005012012259484004
L2/3 IT_2,0.011950667551742223,0.02434625597627965
L2/3 IT_3,0.003410262663622133,0.003773272451979255
L2/3 IT_5,0.002775419827335901,0.003974193528200822
L2/3 IT_6,0.017840669031416057,0.0005091763911688899
L2/3 IT_7,0.0004502067515151456,0.01793116403316525
L2/3 IT_8,0.0002451097905781443,0.0006211512885580453
L4 IT_1,0.013712332878613443,0.03237206300079526
L4 IT_2,0.04009280969664773,0.013734847277847828
L4 IT_3,0.00849990620612381,0.002936534851044881
L4 IT_4,0.0058072017441177905,0.006511143380189633
L5 ET_1,0.001365335871850322,0.0005691049893967741
L5 ET_2,0.002837123731789867,0.010706691655130324
L5 IT_1,0.01808029109119959,0.0010431282891034612
L5 IT_2,0.012299284878869585,0.005861144782036737
L5 IT_3,0.007739441423589517,0.0009403432022328347
L5 IT_5,0.006125229003364988,0.0029397566296887425
L5 IT_6,0.009741917440614482,0.014985608755271372
L5 IT_7,0.01241876562975325,0.008240333175437537
L5/6 NP_1,0.0016153049544105583,0.0002459295009157937
L5/6 NP_2,0.0035556847529340553,0.00021831408078924928
L5/6 NP_3,0.0023868509052750197,6.763608550939927e-05
L5/6 NP_4,0.00042690826901401634,0.0053571120894450415
L5/6 NP_6,0.0011462463985343725,0.00037035841301562836
L6 CT_1,0.0018252102025928779,2.4924665098847847e-05
L6 CT_2,0.0037801338005825085,0.0019112940598384656
L6 CT_3,0.007980215965067356,0.003274154894555004
L6 CT_4,0.00029317833012482966,8.2158780893626e-05
L6 IT Car3_1,0.004637426200158925,0.00011875456120649327
L6 IT Car3_2,0.0075091145327211275,0.00010196064596116367
L6 IT Car3_3,0.016913329693401296,0.0027043507678282497
L6 IT_1,0.01735756342464319,0.003581017193827254
L6 IT_2,0.03385791834004833,0.00937168277013581
L6b_1,0.0010137218011881488,0.015558691779731798
L6b_2,0.001170451642269116,0.013565097472599636
L6b_3,0.0026554673343865427,0.0011076571432358773
L6b_4,0.0006608166894312623,0.0011311749921243165
L6b_5,0.004642237288044345,0.0029546619561987013
L6b_6,0.009653050322821276,0.022080618704749352
Lamp5_1,0.006094533994054152,0.0032486531412909644
Lamp5_2,0.004532859711730921,0.0004554801267252909
Lamp5_3,0.0025957755139119276,0.0020553356376590646
Lamp5_4,0.0003272773602325102,0.0004513944887453902
Lamp5_5,0.001144123216759542,0.003308503526959027
Lamp5_6,0.00032075228660947676,9.11117268783146e-05
Lamp5_Lhx6_1,0.01092261910532414,0.0028987213358748314
Micro-PVM_1,0.0014335106686911316,0.002638456731491949
Micro-PVM_2,0.0033912650384144366,0.025705185385262175
Micro-PVM_2_1-SEAAD,0.0007015639090817428,0.0013287712604157398
Micro-PVM_2_3-SEAAD,0.06460325687217307,0.0009253208385597886
Micro-PVM_3-SEAAD,0.009197110691837929,0.016256177215480054
Monocyte,0.023083557710583298,0.007672283459348045
OPC_1,0.010963345180933629,0.003759628338736609
OPC_2,0.0031279839256109503,3.1585859030589226e-05
OPC_2_1-SEAAD,0.02485018131117194,0.011818240978443388
OPC_2_2-SEAAD,0.0009557826250531459,3.789254922865116e-05
Oligo_1,0.10935104103866822,0.005468347397008571
Oligo_2,0.0341066646313404,1.9111753030263193e-05
Oligo_2_1-SEAAD,0.005343724187029724,0.046535911267179285
Oligo_3,0.0008540940708249185,0.009420755282789598
Oligo_4,0.0015448692051058652,0.15628718896614477
Pax6_1,0.0011299601311271998,0.0010747154576366503
Pax6_2,0.000373807698084338,0.0011392868858702205
Pax6_3,0.000438015329002869,0.00042722226991125377
Pax6_4,0.0003161895981790811,0.00016476895910391058
Pericyte_1,0.031834505808686506,0.01793723598375097
Pericyte_2-SEAAD,0.0012043576931766015,0.0013372199701618063
Pvalb_1,0.0002171365508362435,2.623938918119636e-05
Pvalb_10,0.0007271779593536635,0.00028881377699659615
Pvalb_12,0.0012081679023001266,0.00022607959896229783
Pvalb_13,0.000611996748427201,0.0012552226522687812
Pvalb_15,0.0058993915845953196,0.012042590681183551
Pvalb_2,0.005400798267992614,2.1418346613164867e-05
Pvalb_3,0.00018264055678543514,4.528575310207409e-05
Pvalb_5,0.004179627900056339,8.31574095181742e-05
Pvalb_6,0.0012126944003371626,0.0004927634528382963
Pvalb_7,0.0005341870432808449,2.716988575146502e-05
Pvalb_8,0.000256475603823662,0.0020119812659967185
Pvalb_9,0.0007585896833138264,0.00013115966310533778
SMC-SEAAD,0.002317233782468495,0.047691307138801035
Sncg_1,0.00018417568510414103,1.7874059951779674e-05
Sncg_2,0.0002550591524706268,0.0005472087266656149
Sncg_3,0.0017441512992506026,0.0002987680964370856
Sncg_4,0.0015145516092785905,0.0019169418395829163
Sncg_5,0.00016664723913856073,0.0029237170652763014
Sncg_6,0.0009654497585052055,0.0006798576569709684
Sncg_8,0.00048369376137393676,0.0004242796033410581
Sst Chodl_1,0.001994653872998794,0.0005192162894355453
Sst Chodl_2,0.000452927052857639,0.0012855067752115866
Sst_1,0.0011245925288065842,0.0011076478314366092
Sst_10,0.0005235460973609421,0.006672241777966616
Sst_11,0.0011546536547526948,0.0015111919043315873
Sst_12,0.00037665677177099136,0.00016032312655603494
Sst_13,0.002111290567124773,0.00094680622767132
Sst_19,0.002200814945869022,0.0020055935529408515
Sst_2,0.0012867568832887533,0.00010778174567743837
Sst_20,0.000628302645158607,0.003160483584210139
Sst_22,0.0003878971728840692,0.0002202020476703057
Sst_23,0.0007044924713859569,5.530325779113087e-05
Sst_25,0.001653318284881072,0.0009191526906748151
Sst_3,0.001587489354176586,0.002805586343871165
Sst_4,0.0004947562733561916,0.0007870356241734635
Sst_5,0.0009009613424157983,0.0033634827948214943
Sst_7,0.0001921850283021599,0.0023610136000763587
Sst_9,0.0043419842518147515,0.0002949812674485119
VLMC_1,0.007964433349553256,0.013748794259887691
Vip_1,0.0008145768351448119,0.003182855171044144
Vip_11,0.0016478327165324717,4.5862892060265604e-05
Vip_12,0.0025419003413273975,0.00034039992002182643
Vip_13,0.001015532034839036,0.00048759216703922877
Vip_14,0.0010210151905207401,0.0013952998773375887
Vip_15,0.0008456277062464849,0.00015164310964891294
Vip_16,0.00036386028231392986,0.0013330887582138913
Vip_18,0.0004912401082803294,0.0004684306045102603
Vip_19,0.0011595220641109013,0.005126976438822353
Vip_2,0.0009295360740357609,0.0006898335585833916
Vip_21,0.0010947603102382257,0.005823492206516922
