celltype,area_type,beta_scz,se,pval,ci_lo,ci_hi,pct_change_scz,n_ctrl,n_scz,n_samples_ctrl,n_samples_scz,converged,fdr
Vip_19,nucleus,-0.01921,0.03737,0.6072,-0.09246,0.05403,-1.9,1226,998,12,12,True,0.9817
Vip_2,cell,-0.01587,0.02324,0.4946,-0.06141,0.02967,-1.57,823,649,12,12,True,0.8955
Vip_2,nucleus,-0.01235,0.04356,0.7768,-0.09774,0.07303,-1.23,823,649,12,12,True,0.9817
Vip_21,cell,-0.01434,0.02093,0.4930,-0.05536,0.02667,-1.42,1101,1155,12,12,True,0.8955
Vip_21,nucleus,0.00321,0.03635,0.9297,-0.06804,0.07445,0.32,1101,1155,12,12,True,0.9817
Vip_23,cell,-0.03113,0.02082,0.1349,-0.07193,0.00968,-3.06,1349,1012,12,12,True,0.6520
Vip_23,nucleus,-0.02764,0.03707,0.4559,-0.10028,0.04501,-2.73,1349,1012,12,12,True,0.9817
Vip_4,cell,0.01852,0.0194,0.3398,-0.0195,0.05653,1.87,1389,1146,12,12,True,0.8955
Vip_4,nucleus,0.04205,0.04197,0.3163,-0.04021,0.12432,4.3,1389,1146,12,12,True,0.9817
Vip_5,cell,-0.03366,0.03055,0.2706,-0.09353,0.02622,-3.31,340,356,12,12,True,0.8545
Vip_5,nucleus,-0.01258,0.04815,0.7939,-0.10695,0.0818,-1.25,340,356,12,12,True,0.9817
Vip_9,cell,-0.02105,0.0262,0.4219,-0.07241,0.03031,-2.08,426,336,12,12,True,0.8955
Vip_9,nucleus,-0.04165,0.05008,0.4056,-0.13981,0.05651,-4.08,426,336,12,12,True,0.9817
