celltype,area_type,beta_scz,se,pval,ci_lo,ci_hi,pct_change_scz,n_ctrl,n_scz,n_samples_ctrl,n_samples_scz,converged,fdr
L4 IT_4,nucleus,-0.00941,0.03544,0.7907,-0.07887,0.06006,-0.94,1413,987,12,12,True,0.9817
L5 ET_1,cell,-0.00463,0.01611,0.7738,-0.03621,0.02695,-0.46,3176,2633,12,12,True,0.9485
L5 ET_1,nucleus,0.03465,0.03597,0.3353,-0.03584,0.10514,3.53,3176,2633,12,12,True,0.9817
L5 ET_2,cell,0.07481,0.04068,0.0660,-0.00493,0.15455,7.77,1529,1007,12,12,True,0.6520
L5 ET_2,nucleus,0.15074,0.06946,0.0300,0.01459,0.28689,16.27,1529,1007,12,12,True,0.5143
L5 IT_1,cell,-0.03168,0.02099,0.1312,-0.07283,0.00946,-3.12,899,1270,12,12,True,0.6520
L5 IT_1,nucleus,-0.06101,0.03589,0.0891,-0.13136,0.00933,-5.92,899,1270,12,12,True,0.6661
L5 IT_2,cell,-0.03989,0.02476,0.1071,-0.08841,0.00863,-3.91,3273,3718,12,12,True,0.6520
L5 IT_2,nucleus,-0.07744,0.04609,0.0929,-0.16778,0.01289,-7.45,3273,3718,12,12,True,0.6661
L5 IT_3,cell,-0.04848,0.03711,0.1914,-0.12122,0.02425,-4.73,269,274,12,12,True,0.7178
L5 IT_3,nucleus,-0.06571,0.06386,0.3035,-0.19088,0.05946,-6.36,269,274,12,12,True,0.9817
L5 IT_5,cell,-0.0222,0.02438,0.3625,-0.06999,0.02559,-2.2,5764,6086,12,12,True,0.8955
L5 IT_5,nucleus,-0.04086,0.04599,0.3743,-0.131,0.04928,-4.0,5764,6086,12,12,True,0.9817
L5 IT_6,cell,-0.01317,0.0195,0.4995,-0.05139,0.02505,-1.31,10092,7617,12,12,True,0.8955
L5 IT_6,nucleus,-0.01402,0.02834,0.6209,-0.06957,0.04153,-1.39,10092,7617,12,12,True,0.9817
L5 IT_7,cell,0.02023,0.03052,0.5074,-0.03959,0.08005,2.04,5376,3928,12,12,True,0.8955
L5 IT_7,nucleus,0.04151,0.05748,0.4703,-0.07116,0.15418,4.24,5376,3928,12,12,True,0.9817
L5/6 NP_1,cell,0.01058,0.02743,0.6996,-0.04319,0.06435,1.06,730,763,12,12,True,0.9485
L5/6 NP_1,nucleus,0.06594,0.05586,0.2378,-0.04355,0.17542,6.82,730,763,12,12,True,0.9817
L5/6 NP_2,cell,0.02611,0.02607,0.3166,-0.02499,0.07722,2.65,568,677,12,12,True,0.8955
L5/6 NP_2,nucleus,0.03198,0.06486,0.6220,-0.09514,0.15909,3.25,568,677,12,12,True,0.9817
L5/6 NP_3,cell,0.07016,0.03572,0.0495,0.00014,0.14018,7.27,354,634,12,12,True,0.6520
L5/6 NP_3,nucleus,0.21631,0.08126,0.0078,0.05705,0.37557,24.15,354,634,12,12,True,0.2330
L5/6 NP_4,cell,-0.03087,0.0195,0.1133,-0.06909,0.00734,-3.04,1076,958,12,12,True,0.6520
L5/6 NP_4,nucleus,-0.04956,0.03265,0.1290,-0.11355,0.01442,-4.84,1076,958,12,12,True,0.7738
L5/6 NP_6,cell,-0.0784,0.02351,8.52e-04,-0.12447,-0.03233,-7.54,470,540,12,12,True,0.1023
L5/6 NP_6,nucleus,-0.15521,0.0394,8.17e-05,-0.23244,-0.07799,-14.38,470,540,12,12,True,0.0098
L6 CT_1,cell,-0.02688,0.03629,0.4588,-0.09802,0.04425,-2.65,412,795,12,12,True,0.8955
L6 CT_1,nucleus,-0.00445,0.05871,0.9396,-0.11952,0.11062,-0.44,412,795,12,12,True,0.9817
L6 CT_2,cell,-0.04619,0.02712,0.0885,-0.09934,0.00697,-4.51,1571,1599,12,12,True,0.6520
L6 CT_2,nucleus,-0.08444,0.04,0.0348,-0.16283,-0.00604,-8.1,1571,1599,12,12,True,0.5215
L6 CT_3,cell,-0.0278,0.03122,0.3732,-0.08898,0.03339,-2.74,1431,1276,12,12,True,0.8955
L6 CT_3,nucleus,-0.0594,0.04447,0.1816,-0.14656,0.02775,-5.77,1431,1276,12,12,True,0.9606
L6 CT_4,cell,0.06771,0.04006,0.0910,-0.0108,0.14623,7.01,1870,2826,12,12,True,0.6520
L6 CT_4,nucleus,0.14785,0.08321,0.0756,-0.01525,0.31094,15.93,1870,2826,12,12,True,0.6661
