,pearson_r,spearman_rho,mean_sn,mean_mer,mean_both,var_sn,var_mer,log2fc_mer_vs_sn,abs_log2fc,det_rate_sn,det_rate_mer,det_ratio,entropy_sn,entropy_mer,max_over_mean_sn,cv_sn,cv_mer,top_ct_sn,top_ct_mer,same_top_ct,biotype,r_quintile,r_bin
ABLIM3,0.7989015861385269,0.6113043478260869,0.3322375564166667,0.6836313615000001,0.5079344589583334,0.04038751365748452,0.17638277746699532,1.0387763766860683,1.0387763766860683,0.47674122196824525,0.1490416772378128,0.3119715661624849,4.326487827614841,4.340555633574969,2.8575700779876483,0.5921519069218988,0.6014013629212944,L5/6 NP,L5/6 NP,True,protein_coding,Q4,0.7-0.9
ABO,0.950884998859692,0.7278260869565217,0.04842503471666667,0.087417062175,0.06792104844583334,0.0073526653159161235,0.0194957961829407,0.8390828194835074,0.8390828194835074,0.08017304793050786,0.018151624881795336,0.2236164015589869,3.1285851141755563,3.349957294672825,7.791525647995895,1.733447749081281,1.5636249010383263,L6 CT,L6 CT,True,protein_coding,Q5 (best),>0.9
ABRA,0.6231355792842805,0.7429633734579646,0.0020796121229166666,0.02066447592083333,0.011372044021875,3.312776912524135e-06,0.000213419742078487,2.8145107771428197,2.8145107771428197,0.008098876208094645,0.006665590331434339,0.7325729220828855,3.953472339228864,4.206325365968723,3.423628580321227,0.8567853897211571,0.6920718697056754,Pvalb,L6 IT,False,protein_coding,Q3,0.5-0.7
AC005523.2,-0.068942803889513,-0.028695652173913,0.01682252760416667,0.02940220385,0.023112365727083334,1.619840179301263e-05,0.00032806103444430016,0.7704739526926669,0.7704739526926669,0.040232187206399685,0.008672186728786559,0.2103256537271576,4.547830048590023,4.308544924092714,1.7288834165917086,0.2342087580568932,0.6030533548802086,Vip,L6 IT Car3,False,lncRNA/novel,Q1 (worst),<0
AC005592.1,0.6337567688897252,0.6637617871984854,0.0019277257312499997,0.072616208325,0.037271967028125,2.9979587788721306e-06,0.0026122924661374164,4.6521711305255335,4.6521711305255335,0.006314501503973051,0.018566782757109566,2.538352442339996,3.992672890682,4.18459508300182,3.890247392785068,0.8792773406573003,0.6890260280454057,Sst,L6b,False,lncRNA/novel,Q3,0.5-0.7
AC005863.1,0.9507629394611286,0.285285630141725,0.0004689606979166667,0.03828983205,0.019379396373958333,2.4544702408045966e-06,0.003562427768062417,4.741288298625508,4.741288298625508,0.002789451068075697,0.010586525820513431,2.7936832090800223,1.7167000000616308,3.7757410577462753,16.22128471275811,3.270398953644042,1.5259765838338157,L4 IT,L4 IT,True,lncRNA/novel,Q5 (best),>0.9
AC007743.1,0.8064155639367527,0.6191304347826087,0.024968742040000002,0.12062241045833333,0.07279557624916666,0.0023692819958615217,0.0065599013281651694,2.227561053199652,2.227561053199652,0.04246811795809575,0.036072606499526996,0.8298635458360955,3.2441232319456277,4.316175142869794,9.51314285755663,1.908402653462029,0.6573231800740377,Endothelial,Endothelial,True,lncRNA/novel,Q4,0.7-0.9
AC007880.1,0.3435677801608108,0.5892082301135743,0.002143575572916667,0.06341253305833333,0.032778054315625,3.592350018374165e-06,0.0016190470821287578,4.356863076151585,4.356863076151585,0.005994042373436922,0.016006642526005147,2.2886110308392897,4.088714102271574,4.2757284603496934,4.290724393488673,0.8655832034047923,0.6211735209252457,Microglia-PVM,L2/3 IT,False,lncRNA/novel,Q1 (worst),0.3-0.5
AC010969.1,0.1445400676457211,0.3297789017886677,4.6240466666666665e-05,0.03065420234166667,0.015350221404166668,1.0670621911797914e-08,0.00040037251263677685,4.919110659236267,4.919110659236267,0.00026219383407500197,0.008349286159097689,6.61490013157643,2.2945315991137925,4.3076263553397,9.557334340628051,2.1869102229066733,0.6389993320403271,L6 IT Car3,L6 CT,False,lncRNA/novel,Q1 (worst),0-0.3
AC016747.3,-0.0261651437613181,-0.1711806714353989,0.0011815081887499997,0.09596455175,0.048573029969375,1.1877642798215531e-06,0.0023191948648374817,5.474059629689786,5.474059629689786,0.0027093362854416696,0.040085799294231825,10.806730964663352,3.986549005215615,4.402822675039193,4.129390762125601,0.9029977982393406,0.491265287751595,Oligodendrocyte,L6b,False,lncRNA/novel,Q1 (worst),<0
AC062029.1,-0.2129840540760597,-0.2852794153110186,0.0026259269154166667,0.03768591064166667,0.020155918778541667,4.7155495148221495e-05,0.00048390855493594547,3.415386483002053,3.415386483002053,0.0021703822931763935,0.013654081232557696,4.306761762436455,2.8697561585787383,4.3080056232332975,13.184010490446822,2.560010916220618,0.5714272317434177,Endothelial,L6b,False,lncRNA/novel,Q1 (worst),<0
AC079466.1,-0.0318458736001048,0.0691564074808124,3.4451621125000004e-05,0.039993285125,0.0200138683730625,1.3645086869189605e-08,0.0003121945227138673,5.308449529054333,5.308449529054333,0.00010196426880694524,0.015499227345065524,14.065090660195315,1.5081977644479245,4.442483701957627,16.400187031837387,3.319225719985644,0.43249775495828713,L6 CT,L6 IT Car3,False,lncRNA/novel,Q1 (worst),<0
AC104809.2,0.1519330951850861,0.2722900593672232,7.825130208333333e-06,0.034214795975,0.017111310552604165,8.478714795285614e-10,0.0004260224792313611,5.126864483457453,5.126864483457453,0.00010924743086458418,0.007980256936596123,7.19429832744895,1.0501027141164883,4.287809648635474,17.9672831322695,3.642769886269213,0.5905553391093645,L2/3 IT,L4 IT,False,lncRNA/novel,Q1 (worst),0-0.3
AC109642.1,0.061740304576233,0.3864730117670629,0.00035971612000000006,0.023830762145833333,0.012095239132916666,1.8057053700795483e-07,0.00013178970687608544,4.1907511599385465,4.1907511599385465,0.0008084309883979233,0.006873169269091462,3.8006256877849434,3.7231007852848452,4.431155384634112,4.826574077358556,1.1564366357858187,0.4715862252980492,Chandelier,L6b,False,lncRNA/novel,Q1 (worst),0-0.3
AC133785.1,-0.1361058580223471,0.023694819779213,0.00041385011908333337,0.21718307808333334,0.10879846410120833,2.149431997966686e-06,0.019915558057486384,7.269766213233592,7.269766213233592,0.00040785707522778035,0.05597712018820669,39.76051345918763,1.4320930998275379,4.3292521162242,17.079997501647853,3.467983859618148,0.636104625122573,Astrocyte,Sst Chodl,False,lncRNA/novel,Q1 (worst),<0
AC144831.1,0.4394018678576685,0.3570751173195527,0.002594057025416667,0.07256997470833333,0.037582015866875,2.3380865575894536e-05,0.0033308145753303034,4.355431890604632,4.355431890604632,0.0042824992898916866,0.018981940632423797,3.5933635937721076,3.1017314796115567,4.1864487328695805,8.679257541142002,1.8247739425496352,0.7785321533844376,Chandelier,L6 IT Car3,False,lncRNA/novel,Q2,0.3-0.5
ACAA1,0.4308468215458561,0.4904347826086956,0.17305719249999998,0.08533171758333331,0.12919445504166666,0.0018392827120371938,0.002065011909002746,-1.0115988347005027,1.0115988347005027,0.3776465190123472,0.025601402311045133,0.06761293455918527,4.543290834877352,4.369468506936257,1.688603032202779,0.24260116812315463,0.5213256460686859,Astrocyte,L2/3 IT,False,protein_coding,Q2,0.3-0.5
ACAD11,0.1100659822586749,0.2252173913043478,0.42174042291666664,0.3305424895833333,0.37614145624999995,0.008050411636260283,0.011353084705216072,-0.35057829703648924,0.35057829703648924,0.6406560672379813,0.13970062504324685,0.21771885621621315,4.55293472478068,4.512258235628399,1.4083467880368734,0.2082677914621952,0.3155643560468485,L5/6 NP,Oligodendrocyte,False,protein_coding,Q1 (worst),0-0.3
ACAP1,-0.1064422141644172,-0.1643478260869565,0.021841408883333333,0.03419318770416667,0.02801729829375,0.0003483608603946542,0.0005555891718739284,0.6236445549684855,0.6236445549684855,0.030348936294180055,0.008487672117535776,0.2707483289986945,4.05406033119256,4.2566722817562574,2.7523874636985126,0.8365508122865286,0.6748318834479877,Lamp5 Lhx6,L5/6 NP,False,protein_coding,Q1 (worst),<0
ACBD3,0.364257556386292,0.4565217391304347,0.2606087633333333,0.5013469429166667,0.380977853125,0.001967927444671841,0.026999090705785992,0.9412732282855626,0.9412732282855626,0.49080500790149817,0.15102520930875768,0.30708351253512645,4.5643774448556655,4.506467043978272,1.4215574152667596,0.16663791499042396,0.3208444232762258,VLMC,L6b,False,protein_coding,Q1 (worst),0.3-0.5
ACBD6,0.6846740074252011,0.6956521739130433,0.7783689341666666,0.36983423958333334,0.574101586875,0.016016690248314962,0.028215411155522455,-1.0715319705531423,1.0715319705531423,0.852756312681437,0.11190811172360444,0.13107734614825722,4.565843696612649,4.437115821941669,1.2358158936929395,0.1591692578139424,0.4446255062676247,L5/6 NP,L6 CT,False,protein_coding,Q3,0.5-0.7
ACE2,0.2694227487954777,0.3481289395058045,0.0021350100016666665,0.0247472432,0.013441126600833334,1.6129611612418805e-06,0.0001581494289720922,3.037876018018401,3.037876018018401,0.005877511780514693,0.0076804206933136065,1.1167440985086654,4.282403390204429,4.406468171305421,2.742675863545779,0.5823315741941757,0.4974681549288526,Astrocyte,L6 IT,False,protein_coding,Q1 (worst),0-0.3
ACOT13,0.3411545793715049,0.3408695652173913,0.11444506108333334,0.16911825087500001,0.14178165597916667,0.0006186646545463742,0.005324764929820382,0.5593314728967926,0.5593314728967926,0.25024944830056056,0.05039555319787009,0.20057975664720157,4.549516673735756,4.4421470125561076,1.5103022215536368,0.21275946726674308,0.4223942901641389,L5 ET,Pvalb,False,protein_coding,Q1 (worst),0.3-0.5
ACP6,0.7405588902329328,0.5382608695652172,0.14737385116666665,0.1702392806666667,0.15880656591666667,0.01047884104968995,0.007594358006550267,0.20677682088997448,0.20677682088997448,0.23977626126167248,0.0553774477016416,0.22999546305546342,4.338645963061188,4.413132658498529,3.871801920645337,0.6799774192962081,0.5011226755796655,Astrocyte,Astrocyte,True,protein_coding,Q3,0.7-0.9
