gene,n_total_transcripts,n_nuclear,pct_nuclear
NUDT14,5509,1527,27.72
TNK2,497485,137922,27.72
ACTA2,164896,45487,27.59
SYT2,304511,83639,27.47
HLA-DPA1,36648,10021,27.34
FABP3,228409,61826,27.07
SCG3,793068,214511,27.05
BDNF,37122,10016,26.98
HSPA8,3147648,845575,26.86
VAMP1,416095,111672,26.84
CALB1,104105,27847,26.75
TSC22D3,216869,57990,26.74
CCK,563047,150250,26.69
CRYM,242640,64618,26.63
ISLR,37633,10007,26.59
GATD3B,174720,45993,26.32
RASD1,70511,18531,26.28
NRG1,81543,21425,26.27
AKT1,198681,51549,25.95
TRABD2A,15629,4049,25.91
AIF1,21168,5459,25.79
RTF2,404336,103964,25.71
P2RY13,42216,10853,25.71
PFN1,79213,20316,25.65
VGF,496470,127225,25.63
LINC02714,19990,5109,25.56
EPAS1,235916,60234,25.53
NPTX1,516869,131769,25.49
MRPL57,189105,48097,25.43
MAP2K1,260581,65929,25.3
RORB,247236,62321,25.21
FURIN,36668,9218,25.14
TTC9B,369842,92579,25.03
NPY,21788,5440,24.97
FREM3,59927,14902,24.87
DIRAS2,562481,136885,24.34
ACY3,37665,9160,24.32
DKK3,1279617,309752,24.21
MYL9,90098,21670,24.05
EGR1,107843,25881,24.0
RCAN2,683842,163365,23.89
SLN,3717,878,23.62
USP22,418315,98797,23.62
HLA-DRB1,170933,39704,23.23
PVALB,111135,25770,23.19
CNN3,540119,125241,23.19
TEF,326654,74193,22.71
CUX2,117827,26704,22.66
VIM,755513,171088,22.65
UQCRFS1,607019,137121,22.59
COX5A,276186,61424,22.24
SAMSN1,41533,9234,22.23
MT1X,19874,4394,22.11
ELOC,280470,61697,22.0
CABP1,803823,176418,21.95
IGFBP5,110015,23573,21.43
C1QA,63842,13665,21.4
GATD3A,279401,59373,21.25
SMIM32,15420,3273,21.23
SMYD2,79411,16802,21.16
GPX3,159926,33838,21.16
NUPR1,19118,4020,21.03
AQP4,943314,197787,20.97
BCAS1,205737,43102,20.95
YWHAH,1868513,390991,20.93
NTRK2,2546761,532034,20.89
EGR3,301203,62228,20.66
IRS2,430992,88237,20.47
SOD2,1012254,206909,20.44
RPS26,293793,58746,20.0
LMO4,1632308,326369,19.99
ENC1,1954359,390425,19.98
S100B,840369,167266,19.9
ITGB4,66354,12806,19.3
IGFBP6,34057,6503,19.09
KIF1A,1448522,275702,19.03
SNPH,373744,69540,18.61
GSTM5,89125,16309,18.3
MT2A,140724,25498,18.12
KANSL1-AS1,10342,1874,18.12
MAPK3,135379,24508,18.1
HPCAL1,578465,104704,18.1
S100A6,160578,28791,17.93
SCN1B,499485,89575,17.93
OTOS,7684,1369,17.82
CARTPT,53663,9554,17.8
PDXK,543636,93594,17.22
GPR6,93031,15970,17.17
NEFH,152421,26138,17.15
PAQR6,179368,30472,16.99
SERPINA3,19910,3365,16.9
NEFM,1155788,192417,16.65
DEAF1,107337,17711,16.5
ARPP19,363528,59829,16.46
NDUFB9,313610,50456,16.09
RPL36AL,444972,70233,15.78
SMPX,15930,2499,15.69
C14orf132,540262,83801,15.51
PCP4,174636,26369,15.1
LGALS1,275094,41481,15.08
CCNI,2680945,390576,14.57
NEFL,1815189,261678,14.42
NORAD,1907158,273674,14.35
MT1E,63361,8924,14.08
GPR34,86704,11848,13.66
TMSB10,1162370,153853,13.24
HBA1,69464,9062,13.05
MTURN,1967391,254949,12.96
NDUFB2,38990,5048,12.95
MT1M,39933,5104,12.78
CAMK2N1,5658843,713708,12.61
MEPE,52799,6639,12.57
MBP,1319529,151361,11.47
ALDH1A1,127419,12740,10.0
KIF5A,3445724,319991,9.29
MT-ATP8,8150926,733334,9.0
GFAP,524272,46142,8.8
MT-ND2,25293918,1917564,7.58
MT-ND4L,20514828,1356446,6.61
MT-ND5,19481501,1220567,6.27
MT-ND4,26569625,1513626,5.7
MTRNR2L12,25506257,1435096,5.63
MTRNR2L1,30599820,1680545,5.49
MT-ND1,31765727,1612857,5.08
MT-ND6,4477194,179754,4.01
