celltype,merfish_mean,merfish_std,xenium_mean_uncrop,xenium_std_uncrop,xenium_mean_crop,xenium_std_crop
Astro_1,0.08210777014542865,0.02857130775667729,0.0002902809880876495,0.00046537601965235134,4.895645853337609e-05,3.445616242989878e-05
Astro_2,0.0031463130025333667,0.0027173405229719643,0.0802848447072671,0.01288111410426119,0.09866093308298718,0.012931103301921794
Astro_3,0.037081519433586514,0.013075792625337647,0.00969169836787845,0.005124112539278228,0.0005026991221069246,0.0006664149315452753
Astro_4,0.003692130315214096,0.002532366273907977,0.00950987899316725,0.0026645045276408185,0.010587020297444379,0.0032776822641312855
Astro_5,0.0031044013026791622,0.0032118367127913585,0.03866955387666625,0.012099453524319848,0.045698104017165724,0.01591280067596695
Astro_6-SEAAD,0.00037666106128642784,0.00036520889522233154,0.000731518335542082,0.0004621337719714337,0.0006016138082548952,0.0005021585964466077
Chandelier_1,0.0023994831376669447,0.0006733041402263007,0.004073833340649828,0.0011168275558039314,0.005125229376879945,0.001182794606874716
Chandelier_2,0.0008553092821896018,0.0003841808315158264,0.006813249772051622,0.0021046608690671272,0.008485030341242563,0.002258392530323764
Endo_1,0.0033043707312811277,0.0020135048748270686,0.026900561189619615,0.003651284176165947,0.02836574876815941,0.003488157056072958
Endo_2,0.03983922147902179,0.01040146677520794,0.08876799689054554,0.012191478777922666,0.10732961096297251,0.01234163828863409
Endo_3,0.011193610178412321,0.0036458908287825553,0.010157505864097157,0.005594333374949862,0.011299242781439863,0.006136582406914106
L2/3 IT_1,0.04791473904041239,0.01816368436810707,0.02780960446799278,0.010332307653120805,0.03550280290722454,0.0116669895734534
L2/3 IT_10,0.015706445111777566,0.0068473937619691,0.008610401672647573,0.0026934090346712766,0.01008741979866507,0.0034133545174727443
L2/3 IT_12,0.0030078255243000816,0.0023561775869582503,0.01860901514711875,0.005192461226282302,0.021338008884792217,0.005062177232168714
