celltype,merfish_prop,xenium_prop
Astro_2,0.0031463130025333667,0.12540366189587135
Astro_3,0.037081519433586514,0.00011671760832828403
Astro_4,0.003692130315214096,0.012958892305669352
Astro_5,0.0031044013026791622,0.0534240803216372
Astro_6-SEAAD,0.00037666106128642784,0.000700400565577422
Chandelier_1,0.0023994831376669447,0.0060781656755573045
Chandelier_2,0.0008553092821896018,0.009151695454043996
Endo_1,0.0033043707312811277,0.005858134945530027
Endo_2,0.03983922147902179,0.023194139838458732
Endo_3,0.011193610178412321,0.0019549697071788823
L2/3 IT_1,0.04791473904041239,0.04557706691305217
L2/3 IT_10,0.015706445111777566,0.011473247455916448
L2/3 IT_12,0.0030078255243000816,0.025336729597012775
L2/3 IT_13,0.019882833948657926,0.0011247661113221775
L2/3 IT_2,0.012538615315426292,0.019863570313890234
L2/3 IT_3,0.0036056209266705696,0.00027285508332700287
L2/3 IT_5,0.002949520855828123,0.00637391587981324
L2/3 IT_6,0.019105215056340868,0.023906261975423535
L2/3 IT_7,0.0005159192802334714,0.013316754777610039
L2/3 IT_8,0.0003470590249806858,0.01506400308257134
L4 IT_1,0.01462229757470062,0.01456340488175025
L4 IT_2,0.04285711712625527,0.020904363657777158
L4 IT_3,0.009077739067729943,0.009305686473750586
L4 IT_4,0.006236943348883676,0.0037614292045233893
L5 ET_1,0.001461660400380342,0.008408730978750787
L5 ET_2,0.003045182201102531,0.00405604273822269
L5 IT_1,0.019191520340070316,0.0024519502759462204
L5 IT_2,0.013045065626513199,0.008777182004856504
L5 IT_3,0.00816137484658833,0.0006615604295264998
L5 IT_5,0.006535480674657244,0.015910815738305405
L5 IT_6,0.010401524855673814,0.027595726127483327
L5 IT_7,0.013199239358886781,0.014598247757289101
L5/6 NP_1,0.001775912463179203,0.0016935415883145724
L5/6 NP_2,0.0037594421667558908,0.001416901241453131
L5/6 NP_3,0.0025157455617518163,0.0008270206762278154
L5/6 NP_4,0.0004746237277706549,0.002701361257711917
L5/6 NP_6,0.0012040515071782259,0.0012609228373616837
L6 CT_1,0.001182868073813788,0.00013035443929900167
L6 CT_2,0.0035072059880485625,0.002012739190274794
L6 CT_3,0.007523070762508468,0.0026912922981166404
L6 CT_4,0.0002578264006296651,0.002746839967942063
L6 IT Car3_1,0.0049278489112620965,0.002017460509843178
L6 IT Car3_2,0.00792293080497892,0.0019838818877189073
L6 IT Car3_3,0.017556157775206107,0.0018342422509722686
L6 IT_1,0.016120227027553096,0.00292118715075086
L6 IT_2,0.03387845528479771,0.015481362125695905
L6b_1,0.0007846712886738368,3.461352266777286e-05
L6b_2,0.0008302414150006599,0.00016445723405937655
L6b_3,0.0025945475543017868,0.0003688364268153386
L6b_4,0.0005741585829611277,7.663719361637402e-05
L6b_5,0.004246815243158873,0.00036336582863961275
L6b_6,0.009298733985446271,0.002718403759663788
Lamp5_1,0.006224496676348094,0.003564397529851124
Lamp5_2,0.004714738851623087,0.005887027818668164
Lamp5_3,0.0026876259639325895,0.0026923682482692386
Lamp5_4,0.00037747324107641206,0.002402769407895838
Lamp5_5,0.001183676880511708,0.0035964533237181195
Lamp5_6,0.0003942244640627731,0.0022743472885175518
Lamp5_Lhx6_1,0.011024402317230966,3.5579036184242735e-05
Micro-PVM_1,0.001500087161355175,0.0012482676549634543
Micro-PVM_2,0.0034819236703629193,0.007856480619948121
Micro-PVM_2_1-SEAAD,0.000756508435165188,0.02178793354696763
Micro-PVM_2_3-SEAAD,0.06444589512679914,0.026627148266048534
Micro-PVM_3-SEAAD,0.009323049932482152,0.014837376408158909
Monocyte,0.02328009980653127,0.0002197711863453815
OPC_1,0.010443688940325298,0.0011818939271252356
OPC_2,0.003048946711628104,3.3106313522745856e-05
OPC_2_1-SEAAD,0.02462463350859948,0.03337490269647651
OPC_2_2-SEAAD,0.0010121179439638412,0.0041228708022847125
Oligo_1,0.0935431113708372,0.005621584258722649
Oligo_2_1-SEAAD,0.004693887609338171,0.018295292307954406
Oligo_3,0.0008848888868281228,0.013356134863429889
Oligo_4,0.0013518610637110002,0.12025426857745808
Pax6_1,0.0011842607551033222,0.002815474033737548
Pax6_2,0.0004045031819098964,0.0032482805974714886
Pax6_3,0.0005036117848867579,0.0009151402560207408
Pax6_4,0.00035165228335267063,0.000508244212941464
Pericyte_1,0.032836691497298114,0.0034672186338424948
Pericyte_2-SEAAD,0.001276135128525696,0.008219577073643089
Pvalb_1,0.00028271704654833857,0.00036710124297743255
Pvalb_10,0.0007306228711177683,0.002273921845838379
Pvalb_12,0.0013541565319883165,0.001992071569194808
Pvalb_13,0.0006169377246324419,0.0011974250320086006
Pvalb_15,0.006242477428254863,0.009755128135866242
Pvalb_2,0.005738789817367148,0.004009211575231018
Pvalb_3,0.0002607530979836471,3.0963586821897446e-05
Pvalb_5,0.004422947852896958,0.0013159032325725257
Pvalb_6,0.0013318614182310086,0.007586016866665337
Pvalb_7,0.0005257799470366019,6.641665541337885e-05
Pvalb_8,0.0002872168503028138,0.00019245384839530129
Pvalb_9,0.0008152604729838929,0.0016180110047799036
SMC-SEAAD,0.002396792606479887,0.0026293331049145434
Sncg_1,0.0002770732849945646,0.0006069476454266587
Sncg_2,0.00034131950825147934,0.0006390913682159455
Sncg_3,0.001855509288811145,0.0001492983952168325
Sncg_4,0.001593752025057449,0.0029143459713005643
Sncg_5,0.00027250121367715515,0.0013612203743491541
Sncg_6,0.0010643759850705711,0.0012903667925890203
Sncg_8,0.000574678673727269,0.0008116185413577242
Sst Chodl_1,0.0019623743854299655,0.00032825043948091047
Sst Chodl_2,0.0005070639902288015,0.00045565393881599856
Sst_1,0.001100854882411793,0.0004001127484825756
Sst_10,0.0006129644645545357,0.003996021877348869
Sst_11,0.0012215543385985972,0.003620637902286988
Sst_12,0.00042443555627612225,0.0008872996496694912
Sst_13,0.002210284309848342,0.0027830564254696204
Sst_19,0.002409610201383616,0.005263377346294611
Sst_2,0.0014038036378559114,0.0020937398831344166
Sst_20,0.0006624314543106351,0.004333910875998603
Sst_22,0.0004405586005678141,0.0032753656182007394
Sst_23,0.0007303422329151848,0.0004002435392908197
Sst_25,0.0017512983419793427,0.0026047963555082365
Sst_3,0.001682483957243738,0.004208626572721667
Sst_4,0.0005327156185214941,0.0006685917559134656
Sst_5,0.0009971670330547826,0.0014190364791770698
Sst_7,0.00021833041316161915,0.00043190649169152785
Sst_9,0.004555064306738206,0.0013553620203045765
VLMC_1,0.008158803871004578,0.0004483876745788714
Vip_1,0.0008640420203928331,0.0035763360671427504
Vip_11,0.0018096110947048408,0.0014890810458679496
Vip_12,0.00269231036472314,0.0029554572544152782
Vip_13,0.0011196587651306857,0.002757831430980184
Vip_14,0.0010664814437640658,0.0002599719414756848
Vip_15,0.0008919805574396628,0.0025381106167867203
Vip_16,0.0003997409383806722,0.0009135729285144361
Vip_18,0.000521363740528516,0.002354606131663312
Vip_19,0.0013055528172964891,0.0030530191064233503
Vip_2,0.0010541530662476761,0.002228374601162961
Vip_21,0.0011469547408217773,0.0028644510757466057
Vip_23,0.0019093082074330113,0.0036166855844011023
Vip_4,0.002172496357990616,0.0036568420493597754
Vip_5,0.0008957966364929793,0.0008733778580283471
Vip_6,0.0011433805796411418,0.0006700931328267049
Vip_9,0.003433117734600513,0.0010725780580398503
