gene,pearson_r,spearman_rho,mean_ref,mean_spatial,var_ref,var_spatial
ADAMTS3,0.9670112530927332,0.6634782608695651,0.11735114549129921,0.3109780993622722,0.057557279551899994,0.26370063323963505
ADAMTSL1,0.9592859796452107,0.8452173913043477,0.3754738362724684,0.27814776216659115,0.4420082487456829,0.2688970412954316
ANK1,0.9259125483778254,0.8443478260869565,0.3188937570977925,1.6750687597767024,0.1862123775738318,6.6583762038061
ASIC2,0.8479082617218272,0.8704347826086956,1.3679815005512326,1.6719903501567808,1.1704971587060036,2.2354934976503444
ASTN2,0.912872351547694,0.9495652173913043,1.3981945711229642,2.273872701971482,0.6710372386025981,2.8776905900481373
ATRNL1,0.8306066664293525,0.8956521739130434,1.9338168611170474,5.0512159757661355,0.8791811356958751,15.349426012563464
BTBD11,0.9226967899096921,0.9043478260869565,0.34430051823769353,0.7941115150852149,0.2691867408071554,2.0698943218986368
CA10,0.9493162761156124,0.8426086956521738,0.6020765553866284,1.1070189269748443,0.5351543632228327,1.4357733324244062
CACHD1,0.9615390028037529,0.9043478260869565,0.28643472950669185,1.0239822773320297,0.12912374354888864,0.937421223391457
CACNA2D3,0.8125155049277661,0.8286956521739129,1.4561317594659346,2.8594879365995403,0.8172980988742568,5.698174753273523
CALB1,0.7026363444014205,0.7388562905692388,0.05581587836567856,0.3188335277261976,0.009594701120110816,0.07077483651745896
CARTPT,0.8885310065807143,0.3187649564374645,0.011114242832606626,0.35616702837720954,0.0007614165539673155,0.3223926895593532
CBLN2,0.8999023300716542,0.8530434782608695,0.3475032393600926,1.6184510091328776,0.29009478695911833,4.6492546084442425
CD22,0.9864409591108152,0.6805920767338479,0.03797828787405605,0.8567632742662518,0.02798213527595034,2.9145060075683777
CD74,0.992902614916518,0.3904347826086956,0.0833631442370358,4.63043135163515,0.11785651645167196,59.88289579722102
CDH6,0.7968551574710498,0.8504347826086956,0.3015784835474171,0.7150491458898881,0.11203534018236412,0.6640285197104802
CHODL,0.9342930824856227,0.16347826086956518,0.051439656656671044,0.08343754883337347,0.010257383244858802,0.01070951541883511
CLSTN2,0.9156443997338661,0.917391304347826,1.0195506349236012,5.36480155102566,0.8242709782333478,46.78387206272382
CNTN5,0.8820942545286589,0.9104347826086956,1.6149130010099224,1.659646424968086,1.7869426971155722,3.045379411899351
CNTNAP5,0.8679959854018724,0.8817391304347826,1.5002957803012127,3.239761289311381,0.7858830716198032,6.587031443645955
COL11A1,0.917966587489905,0.8791304347826084,0.38863887698342064,1.3966757120714368,0.18150705974402734,3.090053995110265
CSMD1,0.9047595787681383,0.9408695652173911,2.7915624897147544,3.490744763113361,1.8755233627863224,6.498217784498336
CTSS,0.9474668200580636,0.7869565217391304,0.09161752997969318,0.3617174390324321,0.010457405127572752,0.06138111884325531
CUX2,0.8629399232907468,0.7895652173913044,0.2654128772953137,1.1945932538646862,0.16746754403479525,3.8420725287758604
DACH1,0.8991777250988378,0.8443478260869565,0.3019999603909412,0.5729920996967709,0.17759242758023083,0.32455081189879637
DCC,0.878023230964498,0.906086956521739,0.9471979483895657,1.0683336513568802,0.7028539034575568,0.9334781492994132
DCLK1,0.7349522203652978,0.9530434782608694,1.6487818075157665,7.013692808331928,0.8615842321737759,51.9782746845535
DCN,0.9917823704477748,0.7034782608695651,0.15073986957620075,0.8524600042385041,0.23572811746192926,5.422979867396449
DGKG,0.731904010193132,0.806086956521739,0.6400527800148251,1.9706300400536776,0.35056170901907935,5.069699234891009
DLC1,0.7812404016994904,0.6104347826086955,1.0288866801147252,0.9307193095423282,0.5965915354949373,3.039098529517618
DLX1,0.9475383549015783,0.7165217391304347,0.08317844304395298,1.5117231719527116,0.015265680020938796,3.417746261248832
EBF1,0.9266252506459859,0.08782608695652173,0.16333574770914486,0.28595360563898314,0.28091240096460024,0.5512081144948876
EGFR,0.9324507329775111,0.8547826086956521,0.4199096884066645,0.9761861930157428,0.3182397179898412,0.9550109396580568
ETNPPL,0.9947458324007162,-0.15043478260869564,0.06472829993691974,1.6331320424270401,0.087017586684168,7.494867879980606
EYA4,0.9476579419662523,0.8669565217391304,0.2495587746993508,0.34920066158409996,0.2817678318819048,0.23932699603346938
FBXL7,0.9229241983569183,0.6443478260869565,0.6800896244238288,0.6357245716004389,0.8307475911538171,0.22021210436903252
FEZF2,0.9672250640173282,0.6501413504420319,0.05665815681059213,2.184019587678036,0.010642012390568528,15.379442889340893
FGF12,0.6675235804431771,0.6626086956521738,2.108857168537857,0.703302381330721,0.9484510321163633,0.26692443988042736
FGF13,0.390374137160134,0.45739130434782604,0.6680759871587613,0.9419246967078733,0.6858909010077469,0.3401665267162875
FOXP2,0.8090447528322092,0.728695652173913,0.5601524119791049,0.4597090631694185,0.5719122634361938,0.2598220647453084
FRMPD4,0.859965816419863,0.8478260869565216,1.7804705404839194,1.4860592869993248,1.0961006674759477,1.209019558927527
GAD2,0.7690106260441438,0.4626086956521739,0.45828593305755105,1.2060364630796176,0.48131714014511634,4.256178481756889
GALNTL6,0.9130650739253314,0.9260869565217391,1.227228083094126,0.39817237356687835,1.0551396784291358,0.1039746505025939
GPC5,0.9121630916838823,0.8365217391304347,0.6089057865593039,0.8517360943395774,0.6818901013215158,0.7499364721876346
GRID2,0.9190680360905563,0.8556521739130434,1.473298965147597,1.0112540507525847,0.8924326580518325,0.48900387756332614
GRIK3,0.9191842498196352,0.863478260869565,0.4203777340912682,2.2748460282218654,0.25755651628864756,8.243579953970464
GRIN2A,0.8108956860879668,0.7939130434782607,1.6484684632166975,6.81354886264868,1.0926774837815378,25.105368759806613
GRIN3A,0.871721202692915,0.9339130434782608,0.46923812772490026,1.5168130744526673,0.2977517543814582,2.420330749315831
GRIP1,0.8412901129501558,0.9008695652173913,1.6560657125779061,1.5755266677796271,1.4689394025951048,1.3937603960308023
GRIP2,0.9107088007140836,0.9669565217391304,0.24202428909911544,2.6972188967029553,0.0947308514032681,10.25051413431416
GRM7,0.8656431543138075,0.8939130434782607,1.312875337771939,1.703604662479801,0.836718404412009,2.379384589536563
GRM8,0.8140253285285763,0.7217391304347825,0.68262044664242,0.23623522996385596,0.48968300508621626,0.06146869400894776
HCN1,0.7355329624831044,0.8017391304347825,1.3611909920179313,2.620994663397424,0.5408692638394851,6.117312702117069
HPSE2,0.8881448644141623,0.7652173913043477,0.34694015339843715,0.2285332254058917,0.38866038112558066,0.03517032427893662
HS3ST2,0.9600122714515777,0.8721739130434782,0.323657270424583,3.2022113492762467,0.1511394795410138,17.261089823038194
HS6ST3,0.7767571829252446,0.8408695652173912,1.2121457331894312,1.1368470592783078,0.8792330324980666,1.2175878384895027
HTR2A,0.9505872196051759,0.863478260869565,0.20609678872276915,1.0053208045048927,0.05383742778276687,1.296769584140182
HTR2C,0.9857915781074202,0.7513043478260868,0.26068165785250275,1.0591439881776394,0.4201962387118417,11.642704114943655
ID3,0.9733922785539378,0.2087410355934283,0.0781056840129331,1.1396888731854953,0.07533746694376338,4.700392395323569
ITGA8,0.8920155368423379,0.8965217391304346,0.28103141624605177,0.698438299499649,0.14022341082955878,0.6689912281383089
ITGB8,0.9183893444255782,0.7391304347826086,0.28995808286810154,1.3228357330645084,0.13739835288428456,1.1858345333808782
KAZN,0.694139387464739,0.5939130434782608,2.517511496986704,4.142274945228842,1.250323544069408,4.398736186800624
KCNIP4,0.8672739704514252,0.9008695652173913,2.7412204850411706,0.9196651705712909,2.305959270463717,0.9594823366966874
KCNMB2,0.8321059633922201,0.7947826086956521,0.8711635892664237,0.14721609925450874,0.842568995382395,0.005864040437236987
KIAA1217,0.8938940447194108,0.8608695652173911,1.2555235450446929,2.329814122740598,1.205073485074105,6.609848144998839
KIRREL3,0.8763818993538968,0.8391304347826085,1.0671418935637258,2.713376968402001,0.7051010506264653,5.126593432661407
L3MBTL4,0.8744283883477378,0.9104347826086956,0.6155127188192054,0.7281930499580277,0.2957401369523672,0.3140406057763972
LAMA4,0.9584536914752122,0.8921739130434782,0.2134567268724524,0.6908529998336759,0.1421871014440881,0.5938818756009695
LAMP5,0.8628522589898469,0.5626086956521739,0.13427974872094703,1.4706624075924168,0.10153704541637971,6.960335033930273
LHX6,0.9042693147572315,0.7426086956521739,0.12963054664342358,1.7264380705240374,0.054530520965693635,9.823377473426435
LRP1B,0.8535728797846398,0.917391304347826,2.749662792217612,1.3036470059360192,1.2483062187149816,1.283081309091875
LRRC4C,0.49377778803044436,0.46434782608695646,1.9258829256053474,1.789936378866467,0.8976213279356648,1.1344123912806137
LRRK1,0.7824247235645518,0.826086956521739,0.28533381098580235,1.1237794792614666,0.17427209253170997,2.9672905682890764
LUZP2,0.8489844567788929,0.7773913043478261,0.7904017830181506,1.0936354311822598,0.6053442768750045,0.5530265561562527
MEIS2,0.9184211214059191,0.7939130434782607,0.45513642033732227,1.3997423501861597,0.4068966294027778,2.2210617384681486
MOG,0.9765730134390891,0.049565217391304345,0.08735145272756005,3.03904046102786,0.14240161267680343,32.503114941316035
NDNF,0.8662697483797503,0.5163410946922299,0.03912498851839908,0.21404861349944662,0.008806837352343473,0.16601002251327093
NFIA,0.7397094630451333,0.8208695652173912,0.9025705271516542,1.1851008866990533,0.6674513497732142,0.6636235425290288
NKAIN2,0.8868816762123743,0.9347826086956521,2.0028447860308347,1.82692720824501,1.2389161351148739,2.3788795318568927
