celltype,merfish_prop,xenium_prop
Astro_1,0.06213177859042049,0.00025465182400262595
Astro_2,0.002751750295381921,0.08168718556820713
Astro_3,0.04843384305650472,0.009892537292391859
Astro_4,0.004338316502968704,0.009700297182064917
Astro_5,0.0025510489772350544,0.03947157218762979
Astro_6-SEAAD,0.00028220218298358733,0.0007454742904716939
Chandelier_1,0.00206772935555136,0.004112114589750948
Chandelier_2,0.0006314178633643842,0.006747605704952332
Endo_1,0.003053636278098273,0.027437809632275226
Endo_2,0.03253586257179434,0.0905090728977805
Endo_3,0.009683846181313079,0.010357733762139795
L2/3 IT_1,0.03421194624897105,0.027444608796021442
L2/3 IT_10,0.012122997434502276,0.0077152946376913825
L2/3 IT_12,0.002444569350640355,0.01651011071024507
L2/3 IT_13,0.0162221499901871,0.0015581498561246297
L2/3 IT_2,0.01022355519595358,0.0122940921187821
L2/3 IT_3,0.003134454162930566,0.00041399457008926117
L2/3 IT_5,0.0025382548044726944,0.005895170491515605
L2/3 IT_6,0.014644432775234539,0.013842503115822122
L2/3 IT_7,0.00044404546585552783,0.007564865571039289
L2/3 IT_8,0.00026042180463534565,0.008906774537382223
L4 IT_1,0.011103460203506978,0.01048436075410039
L4 IT_2,0.033426796465616075,0.012181692270407898
L4 IT_3,0.0071344057301285305,0.00594059216675586
L4 IT_4,0.005327060509577263,0.002560738635399903
L5 ET_1,0.0011553148805203532,0.0053676455505321345
L5 ET_2,0.002356893373865497,0.002766358893605343
L5 IT_1,0.01487873395149486,0.0020569711158950556
L5 IT_2,0.009716203701617066,0.0060137485868905355
L5 IT_3,0.00590758096786133,0.000679367567074062
L5 IT_5,0.005011006119895546,0.00948675578520389
L5 IT_6,0.008190922204481128,0.01660891203015045
L5 IT_7,0.009486269670938106,0.009367060270951891
L5/6 NP_1,0.001334052214917124,0.001119458059886834
L5/6 NP_2,0.0027694997540897662,0.0009417039506319757
L5/6 NP_3,0.0017948556435653008,0.0007434318861028938
L5/6 NP_4,0.00030317855024511757,0.0016624949288339406
L5/6 NP_6,0.0009463685210835776,0.0007020568092913553
L6 CT_1,0.003038923856174291,0.0006551229773665816
L6 CT_2,0.0030424693841057003,0.002537956482954215
L6 CT_3,0.006815726750880276,0.0023655375483421903
L6 CT_4,0.00030187480555029584,0.003377653622143572
L6 IT Car3_1,0.0036273908876958724,0.0016099479143340638
L6 IT Car3_2,0.005686091403612543,0.001502707107621172
L6 IT Car3_3,0.011582830590526186,0.001445424025291713
L6 IT_1,0.01302798605368528,0.004603779764349202
L6 IT_2,0.02327867927609158,0.016516218817015607
L6b_1,0.0017256955264190385,0.0004358096879851009
L6b_2,0.0020321532249755847,0.0009881556849285435
L6b_3,0.0021373465142996385,0.0008654068493561869
L6b_4,0.0006938670755359624,0.0006518435840517788
L6b_5,0.0038974072415173078,0.0011044327734429746
L6b_6,0.0078149218726357,0.005176016051297797
Lamp5_1,0.005573763490000795,0.0029647479815650382
Lamp5_2,0.004119190249555736,0.0035283920847803806
Lamp5_3,0.002128196154200133,0.0016822195188945707
Lamp5_4,0.000312697258565194,0.0015028586037276151
Lamp5_5,0.0009087470167110702,0.0021796612356703784
Lamp5_6,0.00026004816622326896,0.0016846523265302428
Lamp5_Lhx6_1,0.009427864019156181,0.0013610443348645578
Micro-PVM_1,0.001309975810351645,0.004072098329862962
Micro-PVM_2,0.0031338682705857,0.008758635399195398
Micro-PVM_2_1-SEAAD,0.0008240924151078473,0.01682308195115793
Micro-PVM_2_3-SEAAD,0.06612519808565336,0.01614418921254486
Micro-PVM_3-SEAAD,0.009046083851464838,0.011204635566985406
Monocyte,0.021419591625853298,0.0003873788008309978
OPC_1,0.012424877302463742,0.0029223370343010023
OPC_2,0.003216923556764203,0.00027132053464112567
OPC_2_1-SEAAD,0.025075552609986014,0.025733560283772338
OPC_2_2-SEAAD,0.0009296106105733869,0.004172987670061186
Oligo_1,0.17969724599721268,0.022423653829690138
Oligo_2,0.0655220967575639,0.00020861331534750122
Oligo_2_1-SEAAD,0.010424812347812576,0.03620435122306398
Oligo_3,0.0014460316216477966,0.03437655428179801
Oligo_4,0.002110879879879107,0.1322349999432876
Pax6_1,0.0010411589347769756,0.0020485881102812417
Pax6_2,0.0003091354891053458,0.0023717283721052724
Pax6_3,0.00041880833636110347,0.0006271288309137852
Pax6_4,0.00033705185032519225,0.0004936734261159412
Pericyte_1,0.027721164482236053,0.008372798825074985
Pericyte_2-SEAAD,0.0011579929047286135,0.027078607641260452
Pvalb_1,0.00023549577901499252,0.0002535673414720523
Pvalb_10,0.0005725466711672325,0.0015603750264470038
Pvalb_12,0.0008956063636659205,0.001330276730171342
Pvalb_13,0.000538662421168601,0.0008744406834076129
Pvalb_15,0.004915305958923531,0.005674954814295029
Pvalb_2,0.004615982667514261,0.002584135234059592
Pvalb_3,0.00015778343998574615,3.424364352367092e-05
Pvalb_5,0.0035042451444596825,0.0009047210599914279
Pvalb_6,0.0010842218639539086,0.004743763157383436
Pvalb_7,0.0004772704670609595,9.414923577248011e-05
Pvalb_8,0.00025524915084566943,0.000152905440363021
Pvalb_9,0.0005386077713390691,0.0010731284436538463
SMC-SEAAD,0.002274935960119051,0.03114416971247326
Sncg_1,0.0001538381670477285,0.00042173693270429875
Sncg_2,0.00019509061924787553,0.0004311346971825112
Sncg_3,0.001544808083526956,0.00013812244549313234
Sncg_4,0.0011247020026940485,0.001801727003521945
Sncg_5,0.00016090962922356012,0.0008279172185974862
Sncg_6,0.0009325605672249049,0.0008385777052653947
Sncg_8,0.0004181377000474169,0.0005491072899362651
Sst Chodl_1,0.00225449306126209,0.00038359514955190686
Sst Chodl_2,0.0004878163362369539,0.0003058160920287277
Sst_1,0.0009618502469824743,0.00042924651352989774
Sst_10,0.0004589046567853685,0.002606355130492221
Sst_11,0.0008899768405655139,0.002695956075641257
Sst_12,0.000328296151595428,0.0006945149732692098
Sst_13,0.0016427489933021724,0.0016662216505022732
Sst_19,0.0019030247973287591,0.0031095867359821183
Sst_2,0.0010474509068294478,0.0013958771774462255
Sst_20,0.0005073561541590252,0.0025382073521535964
Sst_22,0.00035194227538450166,0.0020561379028481023
Sst_23,0.0005842971789398334,0.0002608395667165234
Sst_25,0.001297885684219248,0.0016581602452832866
Sst_3,0.0014516098688166891,0.0024488017753742067
Sst_4,0.0003421115259215109,0.000575247614470981
