celltype,depth_merfish,depth_xenium
Astrocyte,0.5569143295288086,0.3226253604071776
Chandelier,0.47275449335575104,0.3624184997847401
Endothelial,0.5022864937782288,0.2521428895041709
L2/3 IT,0.2637428939342499,0.23833490636588392
L4 IT,0.5178773999214172,0.55106834050747
L5 ET,0.6019648909568787,0.5640836697119833
L5 IT,0.6115323901176453,0.5890610727652303
L5/6 NP,0.6486312747001648,0.6234697238137108
L6 CT,0.857878565788269,0.7961687245959922
L6 IT,0.8168997168540955,0.7413709610495806
L6 IT Car3,0.7151487767696381,0.7866594180613864
L6b,0.8474791049957275,0.5153577287925547
Lamp5,0.4326157420873642,0.2603031753791864
Lamp5 Lhx6,0.5252812206745148,0.47115178273826724
Microglia-PVM,0.6548436284065247,0.3707846747954413
OPC,0.6967821717262268,0.391439633956431
Oligodendrocyte,0.9409662187099457,0.5767609990898247
Pax6,0.24225859344005585,0.16046297806748303
Pvalb,0.47646355628967285,0.507525083315064
Sncg,0.15437591075897217,0.11344817916966693
Sst,0.5332522988319397,0.5412643063264324
Sst Chodl,0.5598700642585754,0.2667892048901348
VLMC,0.49319568276405334,0.31982376881178176
Vip,0.28727900981903076,0.2819578914088082
