supertype,diagnosis,n_cells,cell_area_median,cell_area_mean,cell_area_std,nucleus_area_median,nucleus_area_mean,nucleus_area_std,nc_ratio_median
L5 IT_2,SCZ,3718,219.8,212.3,54.0,54.1,50.2,19.9,0.237
L2/3 IT_10,SCZ,2882,219.3,213.8,73.7,53.2,53.3,29.4,0.245
L4 IT_2,Control,7993,219.1,213.0,61.1,57.0,53.1,23.0,0.249
L2/3 IT_10,Control,4109,218.9,216.9,81.7,52.6,55.3,33.4,0.245
L4 IT_2,SCZ,6218,218.1,211.0,56.3,55.8,52.0,20.2,0.247
Sncg_5,Control,477,218.0,209.1,61.0,50.4,46.8,22.7,0.225
L6 CT_3,SCZ,1276,217.9,210.4,70.1,53.5,52.6,27.4,0.243
Sst_23,SCZ,117,217.7,206.4,50.1,54.2,49.3,16.7,0.236
Sst_2,SCZ,546,216.8,209.1,48.6,51.6,49.6,16.7,0.236
Sst_1,Control,253,216.0,212.6,68.7,57.8,57.0,26.2,0.267
Vip_16,SCZ,430,215.6,207.9,57.6,53.1,51.4,19.6,0.244
Vip_16,Control,374,214.8,209.0,62.4,54.5,52.7,23.3,0.25
Lamp5_3,SCZ,903,214.4,204.4,63.5,50.3,46.1,23.7,0.23
Vip_9,Control,426,213.7,211.8,64.1,52.6,51.5,25.5,0.236
L6 IT_2,Control,9325,213.3,216.7,88.9,50.6,56.3,37.4,0.245
Vip_12,Control,1141,212.7,205.7,55.6,52.4,47.9,20.0,0.234
Lamp5_1,Control,1653,212.3,203.6,62.8,48.3,46.1,23.8,0.225
Pax6_3,Control,352,212.1,214.4,87.5,58.7,58.3,35.5,0.264
L5 IT_7,Control,5376,211.9,216.8,85.9,52.1,57.0,37.2,0.248
L6 IT_2,SCZ,9313,211.7,211.9,79.7,50.8,54.0,32.5,0.246
Sst_4,SCZ,427,211.6,204.6,62.4,51.7,51.1,22.1,0.246
Sst_4,Control,349,211.5,207.1,65.2,54.7,52.7,23.4,0.255
Sncg_5,SCZ,390,210.4,204.5,52.9,49.9,45.7,19.5,0.225
Sst_20,Control,1612,209.3,201.8,54.1,48.6,44.9,18.8,0.224
Sst_9,SCZ,429,209.0,205.8,57.3,52.9,50.2,19.3,0.242
Vip_12,SCZ,698,208.6,203.2,50.0,50.7,47.0,17.8,0.231
Sst_9,Control,533,208.3,204.8,61.8,54.1,51.9,22.8,0.252
Sst_20,SCZ,1722,208.3,199.9,50.5,47.1,44.6,17.0,0.223
Vip_9,SCZ,336,208.3,206.2,60.3,53.2,49.3,23.4,0.243
Sst_13,SCZ,1012,207.7,203.5,48.2,49.3,47.9,16.0,0.232
Vip_23,Control,1349,207.6,202.1,55.0,51.2,47.5,19.4,0.235
Sncg_4,Control,1147,206.9,199.5,60.0,46.7,42.4,22.1,0.216
Vip_14,Control,96,206.6,203.5,68.1,45.8,46.5,26.0,0.231
Vip_18,Control,921,206.5,198.3,55.1,49.1,44.7,19.9,0.226
Sst_13,Control,1052,206.3,201.1,52.2,50.9,48.6,17.5,0.24
L6b_6,SCZ,3149,206.2,206.6,74.4,51.4,54.6,30.2,0.258
Lamp5_1,SCZ,1955,205.8,200.7,57.9,48.0,45.5,22.0,0.226
Astro_2,Control,49724,205.6,200.0,61.8,47.7,45.3,21.8,0.225
Micro-PVM_2,Control,5469,204.9,200.6,58.8,49.4,49.3,18.0,0.242
Vip_14,SCZ,87,204.9,204.5,54.9,44.8,47.1,20.2,0.239
Micro-PVM_3-SEAAD,SCZ,5943,204.8,200.4,60.4,47.7,46.9,19.7,0.231
Micro-PVM_2,SCZ,3199,204.5,200.4,57.0,48.0,48.3,17.5,0.236
Micro-PVM_3-SEAAD,Control,7183,204.4,199.5,59.5,47.8,46.4,19.0,0.23
Pax6_3,SCZ,198,204.3,208.5,78.0,51.7,55.3,32.4,0.258
Vip_18,SCZ,786,204.3,196.9,53.1,47.5,43.5,18.1,0.222
Vip_19,Control,1226,204.2,201.2,56.1,52.2,49.0,19.3,0.244
Pvalb_7,SCZ,53,204.1,197.9,59.8,57.5,53.5,24.6,0.26
Vip_2,Control,823,204.0,201.5,57.0,49.4,45.4,20.6,0.228
Astro_6-SEAAD,SCZ,9465,203.3,194.8,59.3,45.4,42.0,20.6,0.216
