Layer,n,min,p10,p25,median,p75,p90,max,mean,std
L1,11468,-0.06934789855004046,0.027185820475613586,0.04667222186581285,0.07238934173144344,0.09884812018211178,0.12456553599934621,0.21102475816479507,0.07410164832994146,0.03853255478037949
L2/3,120356,0.03069508363848171,0.14048684111061938,0.19261366470927788,0.2778770990787135,0.37359173927518885,0.4419689025812761,0.6995326886766613,0.28611439119768367,0.11398965503555011
L4,59302,0.3002139390572742,0.4013637064091036,0.46405220061332375,0.5141868781619381,0.5611647537608334,0.6036659211470478,0.7987043634206562,0.5104064765257641,0.07837828928782485
L5,59644,0.39768910964949694,0.5209421652461834,0.5773976901762494,0.6329024848171994,0.6824129047206965,0.7254887291681555,0.8759047978376591,0.6276775921579656,0.0806582208823181
L6,90825,0.5083459461145526,0.6932332693467863,0.7478391177410723,0.8105076714066938,0.8721286766474567,0.9178208317453311,1.0,0.806794103126088,0.08775912918046029
