celltype,merfish_mean,merfish_std,xenium_mean_uncrop,xenium_std_uncrop,xenium_mean_crop,xenium_std_crop
Astro_1,0.07832649924110126,0.028417765998348103,0.00025710680049452565,0.0004739365905113064,0.00011104130213909594,0.00010846614925145926
Astro_2,0.0029329798724342447,0.0025010133759521477,0.037109556198193915,0.014097276330295094,0.04663562328200741,0.016864924662919535
Astro_3,0.04004877328109158,0.013511048313205425,0.00367519263087513,0.0021592610904800245,0.0003749302341852257,0.0007370206639501314
Astro_4,0.003740291226330368,0.002397483972822003,0.04840680400448206,0.01395620280534957,0.0480731813606845,0.01671744500845978
Astro_5,0.0029881514058063075,0.0030111393847949146,0.018585961335504834,0.007276706197103724,0.0218759536763915,0.00898560761306773
Astro_6-SEAAD,0.00028709138297974195,0.0003206550868648907,,,,
Chandelier_1,0.0022820778776545766,0.0006751514266235959,0.0002061125227665403,0.00010646468067074037,0.0002695079670526489,0.00015179399805229432
Chandelier_2,0.000792432903595573,0.0003982238249936204,0.011297314512269195,0.0030649121289348844,0.014017087899600059,0.0031534611793569206
Endo_1,0.0032448958298935075,0.001974435331663999,0.11022643699602395,0.014170518701037513,0.10570146584993534,0.010257619466891719
Endo_2,0.03856826038096918,0.010633884616625218,0.05156795702922571,0.0076444612296328665,0.05837759981259403,0.009294829550840369
Endo_3,0.010777415971775636,0.0035381747761130196,9.324415317645733e-05,0.00016500060303272762,3.394431448839393e-05,3.498546812744857e-05
L2/3 IT_1,0.04479739468970943,0.016928284311778362,0.00011145088046042496,8.25761832617337e-05,0.00014312036436000557,0.00010387165479593268
L2/3 IT_10,0.014783507060644255,0.006682832824080284,,,,
L2/3 IT_12,0.002839515239159874,0.002296452638454471,0.032420551617792635,0.008137445685580998,0.04039142690759297,0.007560804901336446
L2/3 IT_13,0.018682144657623884,0.008423616174697593,0.04530198658545819,0.010272154723462015,0.05769572384918933,0.010067323089975273
L2/3 IT_2,0.011950667551742223,0.00661337846397787,0.009734375933933477,0.0022430642449092803,0.01168130755961593,0.0025969999219099846
L2/3 IT_3,0.003410262663622133,0.0022205446576646476,0.004512421848332067,0.0013750714549273,0.005736446646998298,0.001384936181887113
L2/3 IT_5,0.002775419827335901,0.0013196923777247034,0.0015857422068496108,0.00046951855634444364,0.002050018279394353,0.0005790361249010516
L2/3 IT_6,0.017840669031416057,0.007409513233433124,5.376412924389689e-05,4.405717375387309e-05,6.636247700386626e-05,5.6045388001768555e-05
L2/3 IT_7,0.0004502067515151456,0.0003293894748270729,0.050589671488564414,0.01372345075912271,0.06409473129265962,0.014778506897544057
L2/3 IT_8,0.0002451097905781443,0.00021319690196275063,0.02320829276732182,0.006874199609147356,0.02913288277711883,0.0076964457914168085
L4 IT_1,0.013712332878613443,0.004708311254671159,0.02122970622775235,0.004847447989883268,0.026776433761019125,0.004916885531715927
L4 IT_2,0.04009280969664773,0.006434339319330863,0.01395369130116996,0.0049372012906601535,0.01791178634104644,0.006073274699267914
L4 IT_3,0.00849990620612381,0.002902996269416745,0.0003057057928280439,8.453042365190164e-05,0.0003951802273193623,0.00011641607489432934
L4 IT_4,0.0058072017441177905,0.0022987442864006893,0.0016704279091064366,0.0004575874955078895,0.0021463513396010625,0.0005511369421193074
L5 ET_1,0.001365335871850322,0.0006223775753912603,4.6467056130390396e-05,2.2186586392099734e-05,5.1807374352594524e-05,2.9436368600610535e-05
L5 ET_2,0.002837123731789867,0.001544149896279872,0.001976286123754198,0.0007698748348505411,0.002500050209653708,0.0007307646216686098
L5 IT_1,0.01808029109119959,0.006835079623110656,1.6721848767599747e-05,,0.0,
L5 IT_2,0.012299284878869585,0.004695794038713877,0.003480289317010774,0.0007682122544719454,0.0044324571042521155,0.0008799100627958262
L5 IT_3,0.007739441423589517,0.002630207153323387,5.4205954929437845e-05,3.898739065521652e-05,6.22599010784407e-05,4.155101080869196e-05
L5 IT_5,0.006125229003364988,0.0034251520858495383,,,,
L5 IT_6,0.009741917440614482,0.003288030358395638,0.009647747530172167,0.00313600070794461,0.012268422443521705,0.0031192733299670538
L5 IT_7,0.01241876562975325,0.005926355013338941,0.0008811333251228865,0.0007194821211506579,0.0011122836412256604,0.0008201695618702687
L5/6 NP_1,0.0016153049544105583,0.0012180938552050886,0.0002511815973754556,0.00011077595957011808,0.0003037137651444078,0.00012537679447870089
L5/6 NP_2,0.0035556847529340553,0.0015352790522442463,3.7473653817061694e-05,2.7087501005823288e-05,4.06669170953899e-05,2.7603403649149566e-05
L5/6 NP_3,0.0023868509052750197,0.0009397392075681895,0.0035086812395125743,0.0012977745716622822,0.0042740492787590656,0.0013117635241014234
L5/6 NP_4,0.00042690826901401634,0.0002213600477447554,0.00011362628278763031,6.449332829210339e-05,0.0001298452359114696,7.024550898974693e-05
L5/6 NP_6,0.0011462463985343725,0.0005043187011317781,0.0003149979160441529,0.00020301996225882704,0.00038451937120917,0.0002472291799360575
L6 CT_1,0.0018252102025928779,0.001161937552677398,0.00012759708370008418,5.3057387474561426e-05,4.741350573574459e-05,3.2618191079935544e-05
L6 CT_2,0.0037801338005825085,0.0021118722307256984,9.945708092322558e-05,7.459329565301853e-05,6.682020034319164e-05,5.151033620396039e-05
L6 CT_3,0.007980215965067356,0.0027306993464727455,0.0026490768385670914,0.0008303323228548489,0.0023625142435690235,0.0008985466162934284
L6 CT_4,0.00029317833012482966,0.0002257465992943805,0.00011824314356730611,9.128026198640884e-05,5.6570874835819566e-05,4.1347397844139654e-05
L6 IT Car3_1,0.004637426200158925,0.002372767718864309,1.6721848767599747e-05,,0.0,
L6 IT Car3_2,0.0075091145327211275,0.0054489932232092,,,,
L6 IT Car3_3,0.016913329693401296,0.007428892796220964,0.0007924225930298429,0.0005218748968998892,0.0007846750226539962,0.0005013912619870823
L6 IT_1,0.01735756342464319,0.0063856150778669315,0.00019827731597813226,0.00014606118430129572,5.982180772048576e-05,7.722260394178318e-05
L6 IT_2,0.03385791834004833,0.01188207561372091,0.01654779210129527,0.0036954614376121827,0.014533019527380757,0.0038625535613807612
L6b_1,0.0010137218011881488,0.0006706590599349624,0.012118270151302886,0.003085702081791556,0.01176826404768519,0.003750438986455838
L6b_2,0.001170451642269116,0.0007562293130941855,0.005157532988651798,0.0014763623616885545,0.003992812017667685,0.0015019053217296904
L6b_3,0.0026554673343865427,0.0015837259206212889,0.0007167342477925823,0.00028805672607282737,0.0006357938605233189,0.00026955585719297637
L6b_4,0.0006608166894312623,0.00035767672381791513,0.00031037322021093083,0.00017024619673328383,8.295199911832576e-05,6.814017279175503e-05
L6b_5,0.004642237288044345,0.001853771940719717,0.0005790631158192253,0.00026937704146017644,0.00029242219277667757,0.00019336897296526217
L6b_6,0.009653050322821276,0.004438526987154549,0.005820129666805271,0.0018685532699265345,0.0035652179195857,0.0013147980490983728
Lamp5_1,0.006094533994054152,0.005252517412708756,1.8007054608194308e-05,4.572700020737225e-06,0.0,0.0
Lamp5_2,0.004532859711730921,0.001642210744963908,0.0034031120024538403,0.0006928001418536549,0.004190535317210669,0.0007845866706118253
Lamp5_3,0.0025957755139119276,0.001069187131843448,0.0014516309765032,0.00038574439691902937,0.001855093118322882,0.000518587182319978
Lamp5_4,0.0003272773602325102,0.00026861258812536145,3.3100526298368146e-05,,2.0328095460736283e-05,
Lamp5_5,0.001144123216759542,0.0008772432240907531,0.005633071515276057,0.0014441426735310968,0.007276504128716471,0.0022100538856194467
Lamp5_6,0.00032075228660947676,0.00029789192109109185,4.2759945433968616e-05,2.7466356577020763e-05,4.504039196811861e-05,3.954406442724453e-05
