sample_id,n_pass,class_label_changed,class_label_pct_changed,subclass_label_changed,subclass_label_pct_changed,supertype_label_changed,supertype_label_pct_changed
Br2039,42753,1947,4.554066381306575,8328,19.479334783523964,28969,67.75898767337965
Br2719,59419,3500,5.890371766606641,14078,23.692758208653796,31692,53.33647486494219
Br6432,39816,2110,5.299377134820173,9023,22.661744022503516,21913,55.0356640546514
Br1113,56291,3536,6.281643601996767,13122,23.311008864649768,32056,56.946936455205986
Br5373,65163,4160,6.383990915089852,14710,22.574160182925894,37070,56.888111351533844
Br5590,55127,4178,7.57886335189653,18191,32.99834926623977,40015,72.58693562138335
Br5400,45718,2860,6.25574172098517,11131,24.347084299400674,25222,55.16864254779299
Br5622,69772,4787,6.86091841999656,16322,23.39333830189761,39186,56.16293068852835
Br6437,57618,3285,5.701343330209309,14000,24.297962442292338,34247,59.4380228400847
Br5314,47080,2259,4.7982158028887,9702,20.60747663551402,23929,50.82625318606627
Br5588,60982,3522,5.77547473024827,15887,26.051949755665607,42763,70.12397100783838
Br5746,44300,2884,6.510158013544018,11237,25.36568848758465,27493,62.06094808126411
Br5639,60422,3342,5.531097944457317,15399,25.485750223428553,38317,63.41564330872861
Br8433,59802,3180,5.317547908096719,12836,21.464165078091035,32188,53.82428681315006
Br8772,55495,2743,4.942787638525993,12856,23.166050995585188,31813,57.325885214884224
Br1139,58427,4079,6.981361356906909,18685,31.980077703801324,42868,73.3701884402759
Br5973,43107,1804,4.184935161342706,8235,19.103625861229034,21870,50.73421950031317
Br8667,67688,2810,4.1514005436709605,11863,17.526001654650752,33373,49.30416026474412
Br5436,45433,2182,4.802676468646138,10069,22.162304932538024,25570,56.280677040917396
Br5931,44535,2464,5.532727068597732,10427,23.41304591894016,25495,57.24710901538116
Br6496,57908,2985,5.154728189542032,10659,18.40678317330939,29582,51.08447882848657
Br2421,64307,4051,6.2994697311334695,17171,26.701603246924908,42379,65.90106831293639
Br6032,46284,3400,7.345951084608072,11786,25.46452337740904,26035,56.2505401434621
Br6389,51240,0,0.0,0,0.0,0,0.0
