level,method,accuracy,n_pred_types,n_true_types,n_shared,n_cells,time_s
Class,correlation,0.9427069927069927,3,3,3,46620,1.0987699031829834
Class,knn,0.93993993993994,3,3,3,46620,12.378898859024048
Subclass,correlation,0.8796868296868297,24,24,24,46620,1.0987699031829834
Subclass,knn,0.8441012441012441,24,24,24,46620,12.378898859024048
Supertype,correlation,0.5717503217503217,126,137,125,46620,1.0987699031829834
Supertype,knn,0.33168168168168166,121,137,120,46620,12.378898859024048
