,MERFISH,Xenium_Corr,Xenium_kNN,Ratio_Corr,Ratio_kNN
Oligodendrocyte,0.3066594834322088,0.22649907214103457,0.21795987009974485,0.7386012315875607,0.7107553552894699
Astrocyte,0.11205263043583057,0.12054917652516818,0.12831999536070518,1.0758263867281843,1.1451761093122261
Microglia-PVM,0.10362716258530753,0.053322894919972164,0.06606645789839945,0.5145648456414689,0.6375399678053761
L2/3 IT,0.09069892977222896,0.12586986778009743,0.10737067965669218,1.3877767697611514,1.1838141853088098
L4 IT,0.0515481830283902,0.0439863140802598,0.07467814892136396,0.8533048401732085,1.4487057454621615
L5 IT,0.048171109306473545,0.023921363952679194,0.030097425191370913,0.4965915109093094,0.6248024100895311
Endothelial,0.040693870783359266,0.12934933890048714,0.09472860125260961,3.1785951154438052,2.3278346205234053
OPC,0.03976683093812724,0.00969902574808629,0.02518267223382046,0.24389737676549825,0.6332582114225268
VLMC,0.03443237880013498,0.09739619577824171,0.028038738111807005,2.8286223366554015,0.8143131287721861
L6 IT,0.03338085074711465,0.0329389932730225,0.0013917884481558804,0.9867631452104214,0.041694217403257246
L6 IT Car3,0.01933328353805022,0.00027545813036418463,0.003638946880074229,0.014247871026256353,0.18822187513633395
L6b,0.017708579992149295,0.017237879842263975,0.008974135931338436,0.9734196558903089,0.506767676195207
Pvalb,0.017612167848245167,0.006074576664347019,0.024544769195082347,0.34490794754447424,1.3936256687178874
Vip,0.015438656713966888,0.020572372999304107,0.024617258176757133,1.3325235077409876,1.5945207301932325
Sst,0.014818864360297479,0.02339944328462074,0.13092959870099743,1.579030802610775,8.835332824273797
L6 CT,0.012768252222644246,0.0052482022732544655,0.002856065877986546,0.41103529141967304,0.2236849514079436
Lamp5,0.011177451848226097,0.006466017165390861,0.013468452795175133,0.5784875885121386,1.2049662998380644
Lamp5 Lhx6,0.0087109961228545,0.0029140570633263744,0.0023051496172581767,0.3345262725672606,0.264625260389027
L5/6 NP,0.0066121779132492006,0.004769774994200881,0.004740779401530967,0.7213621679240375,0.7169769875719156
Sncg,0.004202404052700361,0.005509162607283693,0.009525052192066806,1.3109550005653645,2.266572198345907
L5 ET,0.0035460598422760894,0.0028850614706564604,0.00011598237067965669,0.8135963855603301,0.03270739238433487
Sst Chodl,0.002576111295636185,0.004233356529807469,0.0,1.643312746999162,0.0
Chandelier,0.002396530434188382,0.019934469960565995,0.0,8.318054165382247,0.0
Pax6,0.0020670339863402003,0.016947923915564832,0.00044943168638366966,8.199151067453943,0.21742830033453572
