pool,subclass,outcome,n_samples,n_obs,interaction_pval,diagnosis_coef,converged,interaction_fdr
Neuronal,Chandelier,proportion,24,420,0.22930594016750747,0.4458334806086382,True,0.3930958974300128
Neuronal,Chandelier,density,24,420,0.13238249068964,0.2402383738237598,True,0.28033939204864944
Neuronal,L2/3 IT,proportion,24,445,0.09375269545157922,1.011807117598423,True,0.2250064690837901
Neuronal,L2/3 IT,density,24,445,3.5984503060081898e-09,0.6143004184855168,True,6.477210550814742e-08
Neuronal,L4 IT,proportion,24,386,0.14538193540171282,0.3850792770389974,True,0.29076387080342564
Neuronal,L4 IT,density,24,386,0.6700140021500554,-0.09825129760686435,True,0.770153708315012
Neuronal,L5 ET,proportion,24,302,0.018808786531152123,2.2983947969827567,True,0.0735495396954282
Neuronal,L5 ET,density,24,302,0.29612174259063734,0.9785498615597285,True,0.43617511518652635
Neuronal,L5 IT,proportion,24,359,2.113811433104413e-13,5.905362139973991,True,7.609721159175888e-12
Neuronal,L5 IT,density,24,359,0.006684595329769591,2.616364840985436,True,0.04010757197861755
Neuronal,L5/6 NP,proportion,24,296,0.02683606659375621,-2.166115793523429,True,0.08050819978126864
Neuronal,L5/6 NP,density,24,296,0.37068055894629603,-0.21474802798077466,True,0.49424074526172806
Neuronal,L6 CT,proportion,24,342,0.02336915089597811,-1.0684086078755277,True,0.07648085747774654
Neuronal,L6 CT,density,24,342,0.10986628116754477,-0.8179399802366369,True,0.24719913262697574
Neuronal,L6 IT,proportion,24,390,0.7329163133676563,0.9543536069967264,True,0.770153708315012
Neuronal,L6 IT,density,24,390,0.7160302119898223,-0.37807029840260814,True,0.770153708315012
Neuronal,L6 IT Car3,proportion,24,232,0.004958490884744072,-12.52538679499346,True,0.03570113437015732
Neuronal,L6 IT Car3,density,24,232,0.011014481545652058,-4.659334256864887,True,0.04956516695543426
Neuronal,L6b,proportion,24,293,0.0019707640778504174,0.30479023019110957,True,0.02364916893420501
Neuronal,L6b,density,24,293,0.38730191004974074,0.838616921644739,True,0.4979595986353809
Neuronal,Lamp5,proportion,24,471,0.46153923170462974,-0.21529028802295283,True,0.5538470780455557
Neuronal,Lamp5,density,24,471,0.07020357948151187,0.20795162151222174,True,0.18052349009531624
Neuronal,Lamp5 Lhx6,proportion,23,87,0.27027775578735064,0.17168307957270704,True,0.43617511518652635
Neuronal,Lamp5 Lhx6,density,23,87,0.9695266060551675,0.685035025818458,True,0.9695266060551675
Neuronal,Pax6,proportion,24,359,0.7305958620395285,-0.2573307728072408,True,0.770153708315012
Neuronal,Pax6,density,24,359,0.30289938554619883,0.13861085911101872,True,0.43617511518652635
Neuronal,Pvalb,proportion,24,408,0.0034297287065314422,0.41148495355991593,True,0.030867558358782982
Neuronal,Pvalb,density,24,408,0.3559035132819843,0.3433697285692144,True,0.4927894799289013
Neuronal,Sncg,proportion,24,384,0.0204304276931745,-0.02016198533084299,True,0.0735495396954282
Neuronal,Sncg,density,24,384,0.03286862021833242,0.2921615798227859,True,0.0910207944507667
Neuronal,Sst,proportion,24,442,0.3011284998054514,0.5686542471445889,True,0.43617511518652635
Neuronal,Sst,density,24,442,0.15422821057538266,0.3071918917691153,True,0.29222187266914607
Neuronal,Sst Chodl,proportion,24,303,0.748760549750706,-0.6902121429678945,True,0.770153708315012
Neuronal,Sst Chodl,density,24,303,0.4519759863970384,-0.028639649426848147,True,0.5538470780455557
Neuronal,Vip,proportion,24,463,0.009068242794333072,-0.2017097162255931,True,0.046636677227998656
Neuronal,Vip,density,24,463,0.1843390442692015,0.20863084197286091,True,0.33181027968456267
Non-neuronal,Astrocyte,proportion,24,478,0.07960016722485287,0.07612303251609084,True,0.11940025083727931
Non-neuronal,Astrocyte,density,24,478,0.0004437700402396688,0.30822694836947323,True,0.0017750801609586753
Non-neuronal,Endothelial,proportion,24,478,0.3338409490821849,-0.06288554839660285,True,0.4006091388986219
Non-neuronal,Endothelial,density,24,478,0.028892044643288543,0.24350241473245726,True,0.04952921938849464
Non-neuronal,Microglia-PVM,proportion,24,478,0.4379680344272121,0.17745309748996335,True,0.47778331028423143
Non-neuronal,Microglia-PVM,density,24,478,0.004191092331455912,0.3548212017362586,True,0.010058621595494187
Non-neuronal,OPC,proportion,24,478,0.16532064478873762,-0.12153902422117567,True,0.2204275263849835
Non-neuronal,OPC,density,24,478,0.0002778460959064872,0.10538085727049827,True,0.001667076575438923
Non-neuronal,Oligodendrocyte,proportion,24,478,0.0008867864092608695,-0.19657721203493878,True,0.002660359227782609
Non-neuronal,Oligodendrocyte,density,24,478,6.239017935634902e-05,0.15263744011411823,True,0.0007486821522761883
Non-neuronal,VLMC,proportion,24,478,0.7220576030134751,0.044479052334740164,True,0.7220576030134751
Non-neuronal,VLMC,density,24,478,0.02624286164444743,0.28071094555850185,True,0.04952921938849464
