pool,subclass,depth_bin,n_ctrl,n_scz,ctrl_mean_density,scz_mean_density,log2fc,coef,se,pval,fdr
Neuronal,Chandelier,0.041666666666666664,12,11,0.0027818032547772876,0.0,,-0.003018900670402338,0.0030391967125444137,0.33371951067002026,0.7094688403864788
Neuronal,Chandelier,0.125,12,12,0.4906621538654687,0.5559439949983173,0.1802095586143303,0.11840618445212281,0.11731051312147542,0.3254937604496696,0.7094688403864788
Neuronal,Chandelier,0.20833333333333331,12,12,2.9564277776332397,2.5624335733809,-0.20634042828578095,-0.005713510669384456,0.14552523318749955,0.9690916658923319,0.9934366328029326
Neuronal,Chandelier,0.29166666666666663,12,12,2.19395194904107,1.7426078421832019,-0.3322839880409833,-0.0968012359882574,0.08984504327972992,0.29478082679982237,0.7094688403864788
Neuronal,Chandelier,0.375,12,12,1.6279748805840324,1.2238211811582007,-0.41168566540472545,-0.1650780199289935,0.07839196957644361,0.04875060599016785,0.32338141408849497
Neuronal,Chandelier,0.4583333333333333,12,12,1.0398586021009695,1.4715222039180322,0.500921944476929,0.22850020044510735,0.1170474458117376,0.0658094090116694,0.3832460713541358
Neuronal,Chandelier,0.5416666666666666,12,12,2.1899812920171877,2.597368952457724,0.24613241567951535,0.10718826012737354,0.11359709928800404,0.35722783616702825,0.7094688403864788
Neuronal,Chandelier,0.625,12,12,1.250086963501888,1.374284708688257,0.13665245543668023,0.06070669709172963,0.1045627119983387,0.5683485369294166,0.91200114065418
Neuronal,Chandelier,0.7083333333333333,12,12,0.4067958751566951,0.5709599920015594,0.4890846068074607,0.11451802568718988,0.06931947064665238,0.11495844209438233,0.48564076558239067
Neuronal,Chandelier,0.7916666666666666,12,12,0.593171758581272,0.9890640434091895,0.7376140292457104,0.20658408015326826,0.08846722592572102,0.030656553422307258,0.32338141408849497
Neuronal,Chandelier,0.875,12,12,0.9365471323410374,1.2175810827500382,0.37859434336918785,0.13831092449872862,0.14085178660041556,0.33845872797281973,0.7094688403864788
Neuronal,Chandelier,0.9583333333333333,11,12,0.28374071856120797,0.2371049917368269,-0.25904716520946236,-0.04086062708444797,0.06658192341310723,0.5470984931989246,0.8988046673982332
Neuronal,L2/3 IT,0.041666666666666664,12,11,0.25376802524831604,0.5766457633640244,1.184175034380887,0.17905500808999775,0.13549922843399625,0.20290384862780303,0.6492415809623681
Neuronal,L2/3 IT,0.125,12,12,24.905702177544402,29.2763845433344,0.23326131437111602,0.24089035154692373,0.17181764545005151,0.17703806754332116,0.6211335590079234
Neuronal,L2/3 IT,0.20833333333333331,12,12,57.17192896959164,51.698324239874815,-0.14518944985455473,-0.04997820874269432,0.14039653723228646,0.7257783625193535,0.968257186147818
Neuronal,L2/3 IT,0.29166666666666663,12,12,29.9646335019371,23.010758473468215,-0.38095219037161127,-0.25241293225946426,0.14897205907938998,0.10652509523376019,0.4642143428218265
Neuronal,L2/3 IT,0.375,12,12,17.601339219947384,12.537322937285184,-0.4894558762809353,-0.3553915491908647,0.109889588243715,0.004367166793487605,0.10044483625021491
Neuronal,L2/3 IT,0.4583333333333333,12,12,5.529698077973826,6.061970414682448,0.13258609976920993,0.09513445340593268,0.157849013907031,0.553839289400793,0.9027144323304264
Neuronal,L2/3 IT,0.5416666666666666,12,12,2.246354119919912,2.4694708882656373,0.13661658628256737,0.09296031977215441,0.09384409388084933,0.33433787524871894,0.7094688403864788
Neuronal,L2/3 IT,0.625,12,12,0.8948784609247364,0.868431546500411,-0.043279620183438346,-0.020338514748529504,0.09074507655107578,0.8250501628982759,0.9871987498262608
Neuronal,L2/3 IT,0.7083333333333333,12,12,0.16788250533181437,0.2814574185374672,0.7454647766448959,0.09199938454378499,0.061909472827701276,0.1536761761376342,0.5783812447361869
Neuronal,L2/3 IT,0.7916666666666666,12,12,0.39353552629315897,0.7964764986428845,1.017137912831128,0.2675515861649135,0.10300236938934502,0.0176781979439779,0.2814913057233404
Neuronal,L2/3 IT,0.875,12,12,1.0204082502847758,1.2856906316848224,0.33339706835410754,0.13719541864312185,0.12279008425710528,0.2777889157319133,0.7094688403864788
Neuronal,L2/3 IT,0.9583333333333333,11,12,0.37645774533929033,0.5346001484325559,0.5059722962530695,0.12496157982056988,0.09965632127288712,0.2259103802034254,0.6777311406102763
Neuronal,L4 IT,0.041666666666666664,12,11,0.009894711070020212,0.002835480543126167,-1.8030643238873123,-0.00507748930687636,0.01068168655521252,0.6402581431615961,0.9504625534981306
Neuronal,L4 IT,0.125,12,12,0.013578658096682033,0.027541337625521207,1.0202577167800708,0.013023875439142709,0.012416528031887503,0.3073774670586153,0.7094688403864788
Neuronal,L4 IT,0.20833333333333331,12,12,0.10045201858379545,0.08827570436066673,-0.18641822277492207,0.0006460638515019979,0.02823885620291401,0.9819857265481535,0.9934366328029326
Neuronal,L4 IT,0.29166666666666663,12,12,0.32274153644977677,0.3795708798919453,0.23399005230655642,0.0747130908881633,0.05150351146160056,0.16318956097284795,0.5889961874879986
Neuronal,L4 IT,0.375,12,12,1.2077050601749493,1.1764068677170558,-0.03788105811216212,-0.004304306400941205,0.07678916008592121,0.9558843969150019,0.9934366328029326
Neuronal,L4 IT,0.4583333333333333,12,12,4.208204093524571,4.985904911159736,0.24465069315158347,0.3232321710204783,0.18462267609924227,0.09611512265957445,0.46269373001237
Neuronal,L4 IT,0.5416666666666666,12,12,20.643808786225712,24.90377669936974,0.2706553732004985,0.2216893452268106,0.1670156739737338,0.20012054938504265,0.6492415809623681
Neuronal,L4 IT,0.625,12,12,8.476082606525285,9.143767901289888,0.10939113565216164,0.022313620621722652,0.1551248306175601,0.887139143900519,0.9934366328029326
Neuronal,L4 IT,0.7083333333333333,12,12,1.4883622645328132,1.7823578918389646,0.2600613361533965,0.10706741129392965,0.10105189834515865,0.3026432800165928,0.7094688403864788
Neuronal,L4 IT,0.7916666666666666,12,12,1.6534463903029841,1.9291157030899566,0.22246340510752033,0.11033293511845318,0.14825655893044976,0.4658590174363252,0.8172272594010112
Neuronal,L4 IT,0.875,12,12,1.5462999821361956,1.5940138218238085,0.043843909912410474,0.055519870641945746,0.15166003269761394,0.7183490320573627,0.968257186147818
Neuronal,L4 IT,0.9583333333333333,11,12,0.1892920011767452,0.2111714375372782,0.1578012639211981,0.022106891330057214,0.05934169432149295,0.713844337623984,0.968257186147818
Neuronal,L5 ET,0.041666666666666664,12,11,0.0,0.0,,0.0,0.0,,
Neuronal,L5 ET,0.125,12,12,0.0,0.0,,0.0,0.0,,
Neuronal,L5 ET,0.20833333333333331,12,12,0.020974999494248168,0.016588145159965987,-0.3385181986941486,0.00197478070628269,0.013467450235939208,0.8849659067227602,0.9934366328029326
