region,subclass,outcome,n_ctrl,n_scz,ctrl_mean,scz_mean,log2fc,coef,pval,fdr
L2/3,L5/6 NP,density_per_mm2,7,9,0.042584723520170446,0.07673900803486727,0.8496241329281775,0.039871281018913796,0.08322483874387715,0.637147843060245
L2/3,L6 CT,density_per_mm2,11,11,0.14112973782592372,0.14047269058137152,-0.006732332010614199,0.018174975320733845,0.7347877904043669,0.9016555068705658
L2/3,L6 IT,density_per_mm2,12,12,1.3592450052781642,1.299632268187107,-0.06470205730063987,-0.03823407289531025,0.7965755899074729,0.919809699704145
L2/3,L6b,density_per_mm2,11,7,0.0811838988185113,0.15988820434547354,0.9777979772375095,0.05698456335974143,0.12970865902441694,0.637147843060245
L2/3,Lamp5,density_per_mm2,12,12,6.61129174805908,5.961603011323034,-0.1492318722979046,-0.0701248957530134,0.5207100799506251,0.8785164477379261
L2/3,Microglia-PVM,density_per_mm2,12,12,26.71281284476082,21.84437623022004,-0.2902699890057018,-0.09310588916308393,0.4670726289999678,0.8388355282422372
L2/3,OPC,density_per_mm2,12,12,12.815982177620008,11.5268412041031,-0.1529468331321581,-0.07479891422961105,0.419947020835021,0.8340505735396941
L2/3,Oligodendrocyte,density_per_mm2,12,12,25.59182134179784,15.522378672204525,-0.7213331708693129,-0.5269045404442265,0.0002583459805754807,0.03901024306689759
L2/3,Pax6,density_per_mm2,12,12,3.894707742604485,3.2317507667156478,-0.2691991316173549,-0.04261857008296285,0.7176082165232497,0.9016555068705658
L2/3,Pvalb,density_per_mm2,12,12,7.945473317012827,6.167444604022479,-0.36546031211650126,-0.1715133963935358,0.12235637819338899,0.637147843060245
L2/3,Sncg,density_per_mm2,12,12,2.5059346618743508,2.7512095198344433,0.13471721380214027,0.09823101421144015,0.45846449102763664,0.8355956133940464
L2/3,Sst,density_per_mm2,12,12,12.216114932895552,10.10390419413414,-0.2738726760452378,-0.1213332457513534,0.3952095406785315,0.8340505735396941
L2/3,Sst Chodl,density_per_mm2,12,11,0.3224493956730241,0.32612355321604636,0.016345873136751045,0.01621240519055771,0.7521181652026034,0.9070936051090329
L2/3,VLMC,density_per_mm2,12,12,14.47168107071561,16.261262746994284,0.16820677327906278,0.14372879292568497,0.4107121348096107,0.8340505735396941
L2/3,Vip,density_per_mm2,12,12,19.338520704728005,16.91633113640385,-0.1930607339967507,-0.044439563083454314,0.7345596670465806,0.9016555068705658
L4,Astrocyte,density_per_mm2,12,12,23.4556416324936,28.951918111122765,0.3037239657401297,0.21415728698579395,0.10517508628885901,0.637147843060245
