sample_id,panel_size,n_cells,hann_sup_conf_mean,hann_sup_conf_median,hann_sub_conf_mean,hann_n_supertypes,hann_sup_gt50,hann_sup_gt70,hann_sup_gt90,corr_sup_mean,corr_sup_median,corr_sub_mean,corr_n_supertypes,corr_sub_margin_median,hann_corr_sup_agree
H18.06.006_MTG_250_rep1,250,9021,0.5807294090397275,0.5699999928474426,0.8536814122602531,136,0.5964970624099324,0.32579536636736506,0.12138343864316595,0.6742555289244839,0.6955520510673523,0.6197101743601733,125,0.12195450067520142,0.5888482429885822
H18.06.006_MTG_4000_rep1,4000,3013,0.7180019915351193,0.7400000095367432,0.9495818139141357,124,0.8174576833720544,0.5406571523398606,0.2658479920345171,0.6008850687263497,0.5982306003570557,0.5970527501872636,109,0.12920260429382324,0.6561566544971789
H18.06.006_MTG_4000_rep2,4000,4004,0.6859765236157102,0.699999988079071,0.9359040975005001,102,0.7777222777222778,0.4865134865134865,0.19155844155844157,0.5773355587833113,0.578858882188797,0.5735859234522391,92,0.18860650062561035,0.6773226773226774
H18.06.006_MTG_4000_rep3,4000,3930,0.6468371497443463,0.6499999761581421,0.9209109441374853,132,0.7139949109414758,0.41806615776081424,0.1440203562340967,0.5539843423789694,0.5543141961097717,0.5485347326020248,119,0.11818921566009521,0.6330788804071247
H19.30.001_STG_4000_rep1,4000,4786,0.6932114502185441,0.699999988079071,0.9400376115606088,112,0.7908483075637276,0.49331383201002926,0.2026744671959883,0.5669610154146786,0.5726827085018158,0.5621419068701438,95,0.199263334274292,0.6945256999582115
H19.30.001_STG_4000_rep2,4000,5553,0.6773581846276533,0.6800000071525574,0.9541959329411809,108,0.7770574464253557,0.4619124797406807,0.15793264901854853,0.5427941095420054,0.5511729121208191,0.5296413905069288,85,0.22549603879451752,0.671889068971727
H20.30.001_STG_250_rep1,250,13683,0.5083899725750465,0.47999998927116394,0.8275816727268724,139,0.4564788423591318,0.20119856756559235,0.05473945772125996,0.6493297822151077,0.6604540944099426,0.6289827273081141,137,0.14394596219062805,0.5352627347803844
H20.30.001_STG_250_rep2,250,19822,0.5531010993380198,0.5299999713897705,0.8687730829772982,139,0.5401069518716578,0.25723943093532436,0.08137423065281,0.6773955649684544,0.6945369839668274,0.6567350545618618,138,0.15008583664894104,0.5722429623650489
H20.30.001_STG_4000_rep1,4000,6073,0.456500905132384,0.41999998688697815,0.7056183113263993,138,0.36686975135847194,0.14490367199077886,0.025522805862012186,0.3932669119669866,0.38654160499572754,0.3717288602374785,115,0.047209642827510834,0.2481475382842088
H20.30.001_STG_4000_rep2,4000,4822,0.5590045620582624,0.5400000214576721,0.8187245978718475,139,0.557445043550394,0.28681045209456657,0.08274574865201162,0.4248351714469891,0.4246208816766739,0.4052320568733866,124,0.09575647860765457,0.36603069265864785
H20.30.001_STG_4000_rep3,4000,3878,0.5608741615472872,0.550000011920929,0.7962325962184477,124,0.5644662197008767,0.29216090768437336,0.07890665291387312,0.4490812671067728,0.4484017789363861,0.4225483025496709,92,0.09666737914085388,0.3290355853532749
H22.26.401_MTG_250_rep1,250,5762,0.5414456784083834,0.5199999809265137,0.8738892772446714,138,0.5190905935439084,0.23412009718847623,0.06421381464769177,0.6678557882692532,0.6769895553588867,0.6411798754962357,133,0.15757334232330322,0.5671641791044776
H22.26.401_MTG_4000_rep1,4000,4277,0.6236263736289867,0.6200000047683716,0.8859083493938507,134,0.679448211363105,0.3899929857376666,0.12181435585690904,0.4784967379436778,0.48985734581947327,0.44606687705672066,117,0.13145717978477478,0.44166471826046294
H22.26.401_MTG_4000_rep2,4000,3476,0.6423762944388719,0.6399999856948853,0.9026553533795548,124,0.7200805523590333,0.4039125431530495,0.13722669735327964,0.4968001181034691,0.5046960115432739,0.4579081049502985,102,0.15901603549718857,0.4134062140391254
