gene,frac_detected,mean_raw_counts,max_raw_counts,n_cells_detected,in_v1
DST,0.9830699012972998,10.701800930818175,118,43724,False
GPHN,0.9819232412258021,16.230231355532073,155,43673,False
AKT3,0.9746835443037974,11.691638374890394,158,43351,False
TCF4,0.9746835443037974,15.884142365717112,134,43351,False
NCAM1,0.9731096971468399,11.126177574926366,154,43281,False
CTNND2,0.9729523124311442,27.523956202081976,381,43274,False
ATXN1,0.9724127076916159,11.54940755896306,189,43250,False
NCOA1,0.9657575825707669,7.85516109449828,79,42954,False
SIK3,0.9651055601771702,7.47161454234773,91,42925,False
MAGI1,0.9645209883760145,12.171346988331047,127,42899,False
APP,0.9642511860062504,10.9935921937181,125,42887,True
PRKN,0.9623625694179014,9.598196820828743,112,42803,False
PTK2,0.9615306787777953,10.18908649414304,183,42766,False
GRIA2,0.9604065022371113,14.949614407446546,198,42716,False
MAPK10,0.9591474245115453,17.807473525642468,231,42660,False
MEG3,0.9577984126627246,53.79787305798503,763,42600,False
NF1,0.9575510938237741,6.981293702363019,71,42589,False
NAV2,0.9563819502214628,10.327652494547744,114,42537,False
FAF1,0.953773860647076,6.434584167097601,79,42421,False
NTRK2,0.9516828922814039,15.602063988128696,348,42328,False
RTN4,0.9512781887267576,7.985767924994941,106,42310,False
PLCB1,0.9508734851721115,36.095869775389524,474,42292,False
SMYD3,0.9487825168064393,13.841648492479258,189,42199,False
DMD,0.948737549744812,21.25563774535153,327,42197,False
KCNMA1,0.9470737684645997,18.83377925669447,447,42123,False
GNAQ,0.9450727342221823,7.256222317152686,86,42034,False
PPP3CA,0.9417226881309441,12.32421251433325,189,41885,False
BCAS3,0.9408458304292106,6.723520021584189,105,41846,False
AGAP1,0.9401263574431729,7.897834835982643,145,41814,False
ERC1,0.9397666209501541,7.969489848685837,74,41798,False
UBR3,0.9397216538885267,6.113429412955011,59,41796,False
WDFY3,0.93906963149493,5.100681250983654,54,41767,False
ANKRD17,0.9387548620635384,6.116779459046248,74,41753,False
MAP2,0.9376306855228546,14.921689862175956,224,41703,False
RTN1,0.9342131888391753,10.651977426535064,156,41551,False
R3HDM1,0.9319873192886211,13.737752096589249,288,41452,False
PRKCE,0.9305483733165456,10.57679249949412,202,41388,False
THRB,0.9303460215392225,13.163815005508464,273,41379,False
PRKACB,0.9286147896665692,5.732558400971288,66,41302,False
DTNA,0.9274906131258853,9.918542167862041,133,41252,False
GTF2I,0.9267036895474066,4.280886750455291,36,41217,False
FMN2,0.9262315354003192,9.772669019942892,159,41196,False
CACNA1C,0.9249724576747532,13.92555702947591,438,41140,False
FTO,0.9248825235514986,5.132293095307687,50,41136,False
BRAF,0.9231063246172179,5.232749510983205,65,41057,False
MEF2C,0.9230388740247768,15.2567394383614,147,41054,False
ATRX,0.9229039728398948,4.586482901274816,33,41048,False
PTPRG,0.9227016210625717,13.155406164984148,269,41039,False
CPEB3,0.9217348292375834,5.668727656991254,54,40996,False
MYO5A,0.921487510398633,6.140791869955258,83,40985,False
MAPT,0.9212401915596825,5.777345594352137,81,40974,False
SNAP25,0.9211277739056142,12.914787418216157,211,40969,False
JAK1,0.9206556197585268,4.818467972210356,59,40948,False
VPS13B,0.9206331362277131,4.773680778829507,50,40947,False
SPTBN1,0.9197113114643524,5.376531690536682,70,40906,False
GRIN2B,0.9195988938102839,16.505025069136856,204,40901,False
NEBL,0.9194864761562156,8.348629628796907,148,40896,False
WWOX,0.9187670031701779,8.832115475414259,175,40864,False
FER,0.9170807383591519,5.470962519954133,67,40789,False
GRID1,0.9164511994963689,6.534928165119051,110,40761,False
MAP7,0.9128088675045529,5.637632933875936,48,40599,False
CACNA1D,0.9117746250871237,7.566090338826809,121,40553,False
R3HDM2,0.9114148885941048,6.021943926074151,80,40537,False
DCLK1,0.9113699215324774,18.4436225464847,348,40535,False
STAU2,0.9108303167929491,5.630640555792882,58,40511,False
TNKS,0.9101558108685388,4.464307394833285,58,40481,False
GSK3B,0.9086494143040224,4.472626301234346,46,40414,False
ENOX1,0.9084695460575128,11.130426962250151,198,40406,False
JAZF1,0.9084470625266992,6.76563167479821,90,40405,False
ATXN2,0.9073903365784562,4.086786428940801,42,40358,False
EHBP1,0.9073453695168289,5.404973357015986,84,40356,False
MAP1B,0.906918182431369,8.91926164084808,114,40337,False
TJP1,0.9067158306540459,5.34737055107134,73,40328,False
STXBP5,0.9059963576680082,6.77534456010972,126,40296,False
NCOA2,0.9044449940418643,4.487353013917305,59,40227,False
GLS,0.9037030375250129,6.37945454954246,97,40194,False
SCAPER,0.9030060480697889,4.18101490658093,52,40163,False
ZEB2,0.9029161139465341,7.03837938709895,93,40159,False
RASA1,0.9027587292308384,4.792971648267644,57,40152,False
KMT2A,0.9021966409604965,4.126537311419385,34,40127,False
ATP2B1,0.9021741574296828,9.472941070665737,124,40126,False
CACNA1B,0.9021741574296828,10.144276817231377,164,40126,False
NFAT5,0.9012073656046946,4.851608696629719,61,40083,False
HECTD4,0.9008925961733031,4.893473031004789,58,40069,False
GABRB3,0.9004878926186568,11.021809024889269,128,40051,False
UBR5,0.8997459361018054,4.3212896553274724,47,40018,False
GABBR2,0.8997459361018054,9.010949479506262,140,40018,False
BTBD9,0.899566067855296,6.541425905524203,105,40010,False
MON2,0.8991613643006497,4.021651640173573,41,39992,False
GRIA1,0.899003979584954,12.201362501967308,269,39985,False
CDK14,0.8983969242529847,7.978146008049104,154,39958,False
APC,0.8979697371675248,4.057243069451626,40,39939,False
ACACA,0.8968455606268408,4.69168334195202,55,39889,False
PBX1,0.8965083076646356,8.216628819389797,106,39874,False
TSPAN7,0.8960361535175484,4.691480990174697,57,39853,False
DPYSL2,0.8955190323088338,4.425478337118061,67,39830,False
ADCY2,0.8949119769768644,9.261663331609595,116,39803,False
SMARCA2,0.8943049216448952,5.070755671470648,67,39776,False
SYT16,0.8933156462890932,6.096251995413359,71,39732,False
ARHGEF7,0.8930008768577017,4.850934190705308,66,39718,False
SENP6,0.8922364368100366,3.5525552532769744,37,39684,False
BMPR2,0.8888863907187985,4.735436292915439,55,39535,False
SOS1,0.8879195988938103,4.260674056253794,64,39492,False
UBE3A,0.8876048294624188,4.732625851563729,58,39478,False
POU2F1,0.8872900600310273,4.287047237898239,56,39464,False
MAP4K3,0.8867279717606853,3.945230118937878,58,39439,False
MIAT,0.8865930705758033,8.506396564516491,128,39433,False
HDAC9,0.8848393551723363,9.454122355374688,234,39355,False
DNM1,0.8825685185601547,5.340040920026081,51,39254,False
FAM168A,0.882546035029341,4.12901049980889,47,39253,False
TBCK,0.8822762326595769,4.041954268498325,40,39241,False
CAMSAP2,0.8818040785124897,3.7070171099669493,36,39220,False
GABRB2,0.8815342761427255,11.197675202913866,117,39208,False
ASTN2,0.8794208242462396,11.92629898599276,248,39114,False
MAP2K4,0.8792859230613576,4.045124446343054,43,39108,False
GNAO1,0.8775322076578906,4.155563549699845,90,39030,False
VWA8,0.875688558131169,3.8329923331159925,39,38948,False
HDAC8,0.8755536569462868,4.2746588124199025,65,38942,False
PDE10A,0.8749466016143175,11.634013085414933,427,38915,False
MAPK8,0.8749466016143175,4.261910650448546,58,38915,False
SPIN1,0.8749016345526901,3.3427389437237225,29,38913,False
SCN8A,0.8746093486521124,5.846145198641994,79,38900,False
POGZ,0.8735526227038695,3.3764192728826137,47,38853,False
TRPC1,0.8735301391730558,3.8057198102389997,38,38852,False
HIVEP2,0.872878116779459,5.690109494795062,90,38823,False
CCDC91,0.872675765002136,4.578523731366774,59,38814,False
ATG7,0.8720911932009803,4.38831306068305,60,38788,False
FUT8,0.8719338084852846,3.809497043415698,53,38781,False
PREPL,0.8719338084852846,3.9198012455876072,31,38781,False
GRM5,0.8708321154754143,19.40560289587877,195,38732,False
RAPGEF6,0.8700227083661218,4.304629358994537,63,38696,False
MAP4K4,0.8680216741237043,3.6741461879173505,50,38607,False
IGF1R,0.867909256469636,4.386851631180161,97,38602,False
TMEFF2,0.8675720035074308,8.85320502731749,156,38587,False
ACYP2,0.8671448164219709,4.122355374688041,66,38568,False
PICALM,0.8664927940283742,3.2125593003125212,31,38539,False
DAB1,0.8658632551655912,19.218944623063607,293,38511,False
CCNY,0.8640420891696832,4.000337252962205,54,38430,False
MEF2A,0.8628279785057446,3.888301818917643,62,38376,False
LRBA,0.8617712525575016,3.9317400004496705,51,38329,False
NCOR1,0.860489691301122,3.0294983924275467,37,38272,False
PTPRJ,0.8604672077703083,3.3447399779661398,36,38271,False
PI4KA,0.8598601524383389,4.646041774400252,127,38244,False
MPDZ,0.8585336241203319,3.812487353013917,69,38185,False
DYRK1A,0.857679249949412,3.2392022843267307,39,38147,False
GRM7,0.8568248757784922,15.128628279785058,350,38109,False
GRIN1,0.856285271038964,3.962677338849293,31,38085,False
ZSWIM6,0.8550261933133979,4.567057130651798,96,38029,False
DIP2B,0.8544641050430559,3.166692897452616,34,38004,False
DMXL1,0.8538795332419004,3.0321964161251884,52,37978,False
CLSTN1,0.8524630708006385,3.427232052521528,36,37915,False
PSPC1,0.8516761472221598,3.2086021988893134,49,37880,False
ROCK2,0.8515412460372777,4.444207118285855,59,37874,False
MAPRE2,0.8513613777907683,3.454392157744452,44,37866,False
NPTN,0.8504395530274074,3.5187400229332013,40,37825,False
OSBP2,0.850124783596016,3.726510331182409,78,37811,False
PRKCB,0.8498774647570655,10.985857859118196,223,37800,False
UBE2D3,0.8494053106099781,3.049935921937181,30,37779,False
MBNL1,0.8482586505384806,3.629583829844639,69,37728,False
FYN,0.8480787822919711,3.0847179441059422,98,37720,False
RALGPS1,0.8477864963913933,3.2135710591991367,39,37707,False
FNDC3A,0.8473368257751197,3.5146030532634844,64,37687,False
CDKAL1,0.8470445398745419,3.1596555523079344,34,37674,False
DOCK9,0.8461002315803674,3.7263529464667133,49,37632,False
CSNK1A1,0.8455156597792117,2.790026305731052,25,37606,False
BTRC,0.844728736200733,3.132383029430942,42,37571,False
DLG1,0.8443689997077141,6.233468983969242,150,37555,False
MYO6,0.8436944937833037,3.131528655260022,37,37525,False
MAP2K5,0.8433797243519122,3.7258358252579984,65,37511,False
GABRG3,0.8431099219821481,12.481192526474358,241,37499,False
SCN3A,0.841086404208917,4.153360163680104,55,37409,False
PTBP2,0.8397373923600963,2.890864941430402,31,37349,False
SFPQ,0.8394451064595184,2.7039143827146614,30,37336,False
RCAN2,0.8393102052746363,4.8402769970996244,86,37330,False
MAP4K5,0.8386806664118533,2.8416934595408865,41,37302,False
ZEB1,0.8380286440182566,4.994401600827394,76,37273,False
IQSEC1,0.8370843357240821,4.6713582300964545,179,37231,False
CAMK2B,0.8356004226903793,3.362591901432201,41,37165,False
EPB41L3,0.8353755873822425,4.758032241383187,73,37155,False
BICRAL,0.8351057850124783,2.9124716145423477,33,37143,False
PKD2,0.8348809497043416,3.0519369561795986,36,37133,False
FBXW7,0.8343413449648133,6.222676889178676,92,37109,False
NOL4,0.8308114306270656,3.7303100478899207,43,36952,False
CMSS1,0.8299795399869595,3.546866919981114,49,36915,False
RUNX1T1,0.8297996717404501,6.5219326843087435,109,36907,False
ZBTB16,0.829732221148009,4.343368482586506,78,36904,False
FOXP1,0.8291026822852261,6.150707107044091,115,36876,False
PAM,0.8287429457922072,6.514782921509994,102,36860,False
SLC23A2,0.828405692830002,2.7823369381927736,29,36845,False
ESRRG,0.8281358904602378,5.829642287024754,263,36833,False
MRTFB,0.8268093621422308,6.368932257121658,120,36774,False
