n_addon,gene_added,total_genes,mean_cov,median_cov,types_ge3,types_ge5,types_zero,panels
56,PLXNA4,322,3.4523809523809526,4.0,88,31,2,M4K
57,CHRM3,323,3.492063492063492,4.0,89,33,2,M4K
58,PRKD1,324,3.515873015873016,4.0,90,33,2,M4K
59,TRPM3,325,3.5396825396825395,4.0,92,34,2,M250+M4K
60,LRRC4C,326,3.5793650793650795,4.0,93,35,2,MERFISH
61,WDR49,327,3.5952380952380953,4.0,95,35,2,M4K
62,NOVA1,328,3.611111111111111,4.0,95,35,2,M4K
63,KIRREL3,329,3.6507936507936507,4.0,96,36,2,MERFISH
64,GRM8,330,3.6746031746031744,4.0,98,36,2,MERFISH
65,KAZN,331,3.6904761904761907,4.0,98,37,1,MERFISH+M4K
66,SLC1A2,332,3.7063492063492065,4.0,100,37,1,M4K
67,RPS6KA2,333,3.7222222222222223,4.0,101,37,1,M4K
68,MAN1A1,334,3.738095238095238,4.0,101,38,1,M4K
69,CSMD3,335,3.753968253968254,4.0,102,38,1,M4K
70,TOX,336,3.7857142857142856,4.0,102,39,1,MERFISH+M250+M4K
71,RASGRF2,337,3.8095238095238093,4.0,102,40,1,M4K
72,NELL2,338,3.8412698412698414,4.0,103,42,1,M4K
73,NECAB1,339,3.865079365079365,4.0,104,42,1,M4K
74,MALAT1,340,3.880952380952381,4.0,105,42,1,M250+M4K
75,ADAMTSL3,341,3.9047619047619047,4.0,106,44,1,M4K
76,NCKAP5,342,3.9206349206349205,4.0,107,44,1,M250+M4K
77,GLIS3,343,3.9285714285714284,4.0,107,44,1,M250+M4K
78,SH3RF3,344,3.9365079365079363,4.0,107,44,1,M4K
79,STXBP6,345,3.9523809523809526,4.0,107,44,1,MERFISH+M250+M4K
80,FRAS1,346,3.9761904761904763,4.0,107,46,1,M250+M4K
81,IL1RAPL1,347,3.992063492063492,4.0,108,47,1,M4K
82,EXOC6B,348,4.0,4.0,108,47,1,M4K
83,COL21A1,349,4.015873015873016,4.0,109,48,1,M250+M4K
