gene,n_types_needing,avg_rank,types
KCNN2,2,2.5,"L5 ET_1, L5 ET_2"
AC090578.1,2,5.5,"L6 CT_1, L6 CT_2"
EYS,2,1.5,"Pvalb_6, Sst_2"
GRM8,2,4.5,"L5 ET_1, L5 ET_2"
RALYL,2,2.0,"L6 CT_1, L6 CT_2"
RYR3,2,1.5,"Vip_11, Vip_13"
SYNPR,2,7.0,"Vip_1, Vip_9"
PDE4D,2,6.0,"L5 IT_3, Vip_14"
FER1L6-AS2,2,7.5,"L5/6 NP_2, L5/6 NP_6"
SLC22A3,2,9.5,"Vip_12, Vip_18"
LINC02306,2,4.0,"L2/3 IT_1, L2/3 IT_6"
TRMT9B,2,7.5,"L5/6 NP_1, L5/6 NP_2"
ANO4,2,5.0,"Pvalb_10, Sst_7"
LINC00299,2,4.0,"Astro_2, Astro_5"
SRRM4,2,8.0,"Pvalb_10, Pvalb_13"
CLSTN2,2,5.0,"L5 IT_7, L6 CT_1"
SNTG1,2,3.0,"Vip_16, Vip_18"
AL136114.1,2,7.0,"Pvalb_3, Vip_9"
SEC24D,2,8.0,"L6 CT_2, L6 CT_4"
TENM3,2,7.0,"Pvalb_6, Sst_1"
GALNT13,2,8.0,"Vip_2, Vip_16"
RGS12,2,8.5,"L6 IT Car3_2, Sncg_3"
KCTD16,2,5.0,"L6 IT Car3_2, L6 IT Car3_3"
CCNG2,2,5.5,"Vip_1, Vip_19"
TMEM132D,2,9.5,"Chandelier_1, L6 IT Car3_2"
POU6F2,2,6.5,"L4 IT_3, L4 IT_4"
AC060765.2,2,5.5,"L5 IT_2, L5 IT_5"
MDGA2,2,5.5,"L6 CT_3, L6b_2"
EPS8,2,6.5,"Pax6_3, VLMC_2"
PLCXD3,2,8.0,"Pax6_4, Pvalb_1"
AC110023.1,2,6.5,"L6 IT Car3_1, L6 IT Car3_2"
AC046195.2,2,3.0,"Chandelier_2, Pvalb_7"
ZMAT4,2,7.0,"Vip_6, Vip_9"
AC046195.1,2,7.5,"Chandelier_2, Pvalb_7"
ZBTB20,2,5.0,"Vip_15, Vip_23"
ATP10A,1,2.0,Endo_2
XKR4,1,7.0,Pvalb_8
GULP1,1,1.0,Sst Chodl_2
RPS6KA2,1,2.0,Pvalb_8
CRHBP,1,10.0,Sst Chodl_1
KHDRBS2,1,9.0,Pvalb_9
ZNRF3,1,4.0,Astro_5
DPP6,1,7.0,Sncg_3
TAFA2,1,10.0,Pvalb_9
TMTC1,1,7.0,Sst Chodl_1
COL12A1,1,9.0,Chandelier_2
FRMD5,1,9.0,Pvalb_12
NXPH1,1,7.0,Pvalb_13
LUZP2,1,3.0,Pvalb_14
SGO1-AS1,1,7.0,Sncg_8
PLXNA4,1,4.0,Pvalb_14
AC006305.1,1,3.0,Sncg_6
MIR4300HG,1,10.0,Sncg_4
CHSY3,1,8.0,Sncg_2
ADAMTS9-AS2,1,7.0,Sncg_4
AL356124.1,1,8.0,Sncg_3
