supertype,rank,gene,score,logfoldchange,pval_adj,in_5k,in_v1
Endo_2,5,SLC7A1,14.80209,5.5797906,9.057666593773509e-46,False,False
Endo_2,6,A2M,14.762887,7.504758,1.351005394776963e-45,False,False
Endo_2,7,COBLL1,14.746858,6.3639193,1.4685664324336742e-45,True,False
Endo_2,8,ESYT2,14.638596,3.72474,6.35171101219414e-45,False,False
Endo_2,9,ST6GALNAC3,14.5967245,4.4490986,1.044194715858155e-44,False,False
Endo_2,10,SLC7A5,14.575977,6.5121465,1.1579054430478673e-44,True,False
L2/3 IT_1,1,CBLN2,36.082405,4.2956405,1.365685566744112e-280,False,False
L2/3 IT_1,2,DGKB,33.784775,2.4417205,5.263196447355432e-246,False,False
L2/3 IT_1,3,LINC02306,33.71556,5.286647,3.635284053730523e-245,False,False
L2/3 IT_1,4,LINC01250,33.359436,2.6295474,4.238853662771024e-240,False,False
L2/3 IT_1,5,AC021613.1,33.162605,4.1914854,2.3774183584460132e-237,False,False
L2/3 IT_1,6,LINC01378,32.71793,3.8329635,4.615797216287144e-231,False,False
L2/3 IT_1,7,TESPA1,32.67022,3.510445,1.885048727322937e-230,False,True
L2/3 IT_1,8,LRRTM4,32.482327,2.1911714,7.552203010196009e-228,False,False
L2/3 IT_1,9,PDZD2,32.4078,2.9616506,7.552579799040397e-227,False,False
L2/3 IT_1,10,AC011287.1,32.288418,3.9261842,3.2439132660274994e-225,False,False
L2/3 IT_2,1,CBLN2,17.709454,4.3170967,1.130591477465869e-65,False,False
L2/3 IT_2,2,DGKB,17.257748,2.5423746,1.5604389266460289e-62,False,False
L2/3 IT_2,3,ACVR1C,16.280146,5.015519,1.4515903257660386e-55,False,False
L2/3 IT_2,4,MOXD1,15.655377,3.7156765,2.4342214773977473e-51,False,False
L2/3 IT_2,5,ADGRV1,15.531867,2.97038,1.1223223211901318e-50,False,False
L2/3 IT_2,6,TESPA1,15.1284,3.1151612,4.194858014926016e-48,False,True
L2/3 IT_2,7,CSMD1,14.931769,1.5066844,7.255961426294338e-47,False,False
L2/3 IT_2,8,PSD3,14.68874,1.9812194,2.206896138217123e-45,True,False
L2/3 IT_2,9,SLIT3,14.65457,2.8330307,3.347475070526681e-45,True,True
L2/3 IT_2,10,KCNQ5,14.515138,2.0030947,2.3836893411791314e-44,False,False
L2/3 IT_3,1,COL5A2,36.904716,4.8944225,1.238168683259128e-293,True,False
L2/3 IT_3,2,NTNG1,36.63587,4.2126336,1.2249584212090379e-289,False,True
L2/3 IT_3,3,ARL15,36.479034,2.3429198,2.535103619024841e-287,False,False
L2/3 IT_3,4,IQCJ-SCHIP1,35.83924,3.1448429,2.1569410414148427e-277,False,False
L2/3 IT_3,5,COBLL1,35.38329,4.1372433,1.9684885007119486e-270,True,False
L2/3 IT_3,6,AJ009632.2,34.53766,4.4326677,1.1608792413580623e-257,False,False
L2/3 IT_3,7,RORB,34.497463,4.2130036,3.989102975653815e-257,True,True
L2/3 IT_3,8,SLC38A11,34.038296,3.9184246,2.4109814848400014e-250,False,False
L2/3 IT_3,9,LINC02296,33.790825,3.8921509,9.532603701960417e-247,False,False
L2/3 IT_3,10,CA10,33.722954,3.4074166,8.497685195498137e-246,True,False
L2/3 IT_5,1,COL5A2,35.90184,4.550835,9.118625705604278e-278,True,False
L2/3 IT_5,2,LINC02296,35.593037,4.6073384,2.8628465021824016e-273,False,False
L2/3 IT_5,3,AJ009632.2,34.827496,4.5711017,9.920505217229562e-262,False,False
L2/3 IT_5,4,IQCJ-SCHIP1,32.427628,2.844334,8.929759818309246e-227,False,False
L2/3 IT_5,5,NTNG1,32.286926,3.3605127,6.808006115696921e-225,False,True
L2/3 IT_5,6,AP000829.1,32.27906,3.611296,7.315759852242202e-225,False,False
L2/3 IT_5,7,R3HDM1,32.162926,1.7545912,2.6544300420408455e-223,True,False
L2/3 IT_5,8,GLIS3,31.212317,3.0202444,2.8910498483993175e-210,False,False
L2/3 IT_5,9,CA10,31.205587,3.1005058,3.170973106158225e-210,True,False
L2/3 IT_5,10,TAFA1,31.113207,3.644649,5.091591442710879e-209,False,False
L2/3 IT_6,1,LINC01331,36.523445,4.872293,1.5015878138286377e-287,False,False
L2/3 IT_6,2,AC011287.1,35.568226,4.538964,6.926611636193648e-273,False,False
L2/3 IT_6,3,PDZD2,35.424885,3.398297,7.514449133743052e-271,False,False
L2/3 IT_6,4,LINC00507,34.18917,4.2900743,2.792954628435698e-252,False,False
L2/3 IT_6,5,LINC02306,33.75793,4.967461,5.216580304563544e-246,False,False
L2/3 IT_6,6,ENC1,33.691273,2.9336796,4.124180148084411e-245,False,False
L2/3 IT_6,7,ADAMTS3,33.657818,3.7975156,1.0917097393748468e-244,False,True
L2/3 IT_6,8,LRRTM4,33.480175,2.245684,3.7342785847059547e-242,False,False
L2/3 IT_6,9,AC008574.1,33.270164,3.893822,3.69703745250499e-239,False,False
L2/3 IT_6,10,DGKB,33.19932,2.3358204,3.511609519092044e-238,False,False
L2/3 IT_7,1,CBLN2,35.415848,4.01098,3.105683097754225e-270,False,False
L2/3 IT_7,2,PDZD2,35.350056,3.3875704,1.2088338861603365e-269,False,False
L2/3 IT_7,3,LINC01331,35.346443,4.6035805,1.2088338861603365e-269,False,False
L2/3 IT_7,4,ENC1,35.02939,3.188244,6.4047985383634e-265,False,False
L2/3 IT_7,5,SERPINE2,34.97466,3.8361688,3.4850859504801565e-264,False,False
L2/3 IT_7,6,AC011287.1,34.710705,4.3402834,2.8871929542577337e-260,False,False
L2/3 IT_7,7,R3HDM1,34.438885,2.0077822,3.009410336122281e-256,True,False
L2/3 IT_7,8,CCBE1,34.40845,3.7926795,7.514490658651246e-256,True,False
L2/3 IT_7,9,NECTIN3,34.378063,2.85381,1.9011721409336445e-255,True,False
L2/3 IT_7,10,ITPR2,33.71866,3.306178,9.824234949335452e-246,False,False
L2/3 IT_8,1,LINC02822,35.79084,4.2000475,4.89003082650025e-276,False,False
