rank,gene,selection_category,target_group,selection_reason,wilcoxon_score,log2_fold_change,merscope_detection_efficiency,predicted_spatial_detection_rate,dropout_adjusted_score,spatially_validated_r_gt_0.7,best_cross_platform_pearson_r
52,LHFPL3,3_Supertype_Round2,L6b_4,supertype_marker,17.6420,2.8703,0.4517,0.4429,7.8142,False,
53,SLC1A2,3_Supertype_Round2,L6b_2,supertype_marker,16.6020,1.0811,0.6349,0.6349,10.5399,False,
54,GALNT17,3_Supertype_Round2,L6b_4,supertype_marker,13.9285,0.8350,0.4517,0.4517,6.2921,False,
55,PDZD2,3_Supertype_Round2,L6b_2,supertype_marker,17.3423,1.4927,0.3753,0.3753,9.7625,True,0.7889
56,SCUBE1,3_Supertype_Round2,L6b_1,supertype_marker,14.2556,3.2492,1.6090,1.0000,21.3834,True,0.9358
57,CBLN4,3_Supertype_Round2,Sst_25,supertype_marker,29.9787,3.6741,0.7580,0.6761,20.2691,False,
58,KCNMB2,3_Supertype_Round2,L6b_6,supertype_marker,27.9949,4.3571,0.4517,0.4481,18.8181,True,0.8321
59,CBLN2,3_Supertype_Round2,Sst_5,supertype_marker,27.7656,3.2972,0.4517,0.4021,16.7449,True,0.8999
60,ITPR2,3_Supertype_Round2,L6b_6,supertype_marker,27.3437,3.1925,0.5253,0.5253,14.3631,False,
61,SH3GL3,3_Supertype_Round2,Sst_5,supertype_marker,30.9698,1.5674,0.4517,0.4508,13.9624,False,
62,ZBTB20,3_Supertype_Round2,Sst_25,supertype_marker,30.7990,3.2165,0.4517,0.4517,13.9133,False,
63,LRP1B,3_Supertype_Round2,Sst_20,supertype_marker,24.7341,1.5395,0.3656,0.3656,13.5639,True,0.8536
64,MSR1,3_Supertype_Round2,Sst_25,supertype_marker,23.8336,3.9942,0.7646,0.5505,13.1205,False,
65,CTNNA2,3_Supertype_Round2,Sst_19,supertype_marker,28.9512,1.5266,0.4517,0.4517,13.0786,False,
66,FRY,3_Supertype_Round2,Sst_5,supertype_marker,29.1059,1.8655,0.4517,0.4490,13.0696,False,
67,CDH18,3_Supertype_Round2,Sst_25,supertype_marker,28.9842,1.9027,0.4517,0.4508,13.0672,False,
68,FSTL5,3_Supertype_Round2,Sst_23,supertype_marker,28.8829,1.9677,0.4517,0.4517,13.0477,False,
69,NTRK3,3_Supertype_Round2,Sst_23,supertype_marker,28.8985,2.4488,0.4517,0.4428,12.7976,False,
70,ITGAV,3_Supertype_Round2,Sst_25,supertype_marker,24.4525,2.9851,0.6613,0.5224,12.7743,False,
