supertype,subclass,v1_cov_top10,m250_cov_top10,deficit,genes_to_add
Astro_1,Astrocyte,1,3,2,DPP10; DPP10-AS3
Astro_2,Astrocyte,0,3,3,GRM3; SLC1A3; SGCD
Astro_3,Astrocyte,1,2,1,LINC00609
Astro_4,Astrocyte,0,2,2,SLC38A1; GRIA1
Astro_5,Astrocyte,0,3,3,DPP10; BICD1; SHISA6
Chandelier_1,Chandelier,0,3,3,PCDH9; CHRM3; SLC35F4
Chandelier_2,Chandelier,1,4,3,GALNTL6; LINGO2; ADAMTS9-AS2
L2/3 IT_1,L2/3 IT,1,4,3,AC021613.1; PCDH7; ZNF804A
L2/3 IT_10,L2/3 IT,1,2,1,AC008696.2
L2/3 IT_12,L2/3 IT,0,2,2,LARGE1; LINC02822
L2/3 IT_13,L2/3 IT,2,3,1,KAZN
L2/3 IT_2,L2/3 IT,1,4,3,SORCS3; MOXD1; ZNF804A
L2/3 IT_3,L2/3 IT,4,4,0,
L2/3 IT_5,L2/3 IT,2,2,0,
L2/3 IT_6,L2/3 IT,0,5,5,PDZD2; STXBP6; PDE8B; THSD7A; LINC01331
L2/3 IT_7,L2/3 IT,1,5,4,ITPR2; CCBE1; GRID2; NTM
L2/3 IT_8,L2/3 IT,0,3,3,PRKD1; ITPR2; LINC02822
L4 IT_1,L4 IT,0,5,5,GRIK2; GRID2; PDE4B; TLL1; PDE1C
L4 IT_2,L4 IT,0,3,3,TOX; INPP4B; IL1RAPL2
L4 IT_3,L4 IT,3,4,1,PTPRK
L4 IT_4,L4 IT,1,5,4,RMST; LRRC4C; LCORL; MGAT4C
L5 ET_1,L5 ET,0,2,2,UTRN; RGS6
L5 ET_2,L5 ET,0,0,0,
L5 IT_1,L5 IT,1,2,1,LINC02196
L5 IT_2,L5 IT,2,4,2,PCDH7; SORCS3
L5 IT_3,L5 IT,0,6,6,NPAS3; SGCD; ADAMTS17; DCHS2; PRKD1; PDE4D
L5 IT_5,L5 IT,1,3,2,RMST; NLGN1
L5 IT_6,L5 IT,0,1,1,GRM7
L5 IT_7,L5 IT,2,6,4,MCTP1; ROBO1; MYO1D; COL24A1
L5/6 NP_1,L5/6 NP,1,2,1,EDIL3
L5/6 NP_2,L5/6 NP,1,4,3,ADAMTSL1; RASGRF2; NRXN3
L5/6 NP_3,L5/6 NP,2,4,2,COL24A1; GPC5
L5/6 NP_4,L5/6 NP,1,4,3,GPC6; PDE1A; TAFA2
L5/6 NP_6,L5/6 NP,0,2,2,PRKG1; AC008574.1
L6 CT_1,L6 CT,1,4,3,OPCML; LSAMP; SGCZ
L6 CT_2,L6 CT,0,5,5,LINGO2; AC021613.1; MALAT1; PCDH15; AC008696.2
L6 CT_3,L6 CT,1,2,1,HS6ST3
L6 CT_4,L6 CT,0,1,1,SYT17
L6 IT Car3_1,L6 IT Car3,3,6,3,PTPRT; TMTC2; SNTB1
L6 IT Car3_2,L6 IT Car3,1,3,2,ROBO2; NR2F2-AS1
L6 IT Car3_3,L6 IT Car3,1,4,3,GRM1; LDB2; PEX5L
L6 IT_1,L6 IT,0,2,2,C8orf34; SORBS2
L6 IT_2,L6 IT,2,4,2,LRP1B; ROBO1
L6b_1,L6b,2,6,4,ZNF385D; NCAM2; CDH13; DCC
L6b_2,L6b,1,4,3,SLC35F3; NRG1; HTR4
L6b_3,L6b,1,2,1,IL1RAP
L6b_4,L6b,2,6,4,INPP4B; KCNIP4; LHFPL3; FRAS1
L6b_5,L6b,0,3,3,KCNIP4; TENM3; LHFPL3
L6b_6,L6b,3,3,0,
Lamp5_1,Lamp5,0,2,2,NECAB1; PBX3
Lamp5_2,Lamp5,0,4,4,CDH13; SLIT2; ZBTB20; LDB2
Lamp5_3,Lamp5,2,7,5,MACROD2; CLSTN2; CNTNAP5; NRG1; LRP1B
Lamp5_4,Lamp5,1,4,3,CTNNA2; CADM2; CACNA2D1
Lamp5_5,Lamp5,2,5,3,GALNTL6; CHRM3; NCAM2
