supertype,rank,gene,score,logfoldchange,pval_adj
Astro_1,1,AQP4,15.8348875,7.3333817,4.7019021761380864e-54
Astro_1,2,FGFR3,14.739464,6.546724,4.729101080750989e-47
Astro_1,3,PTPRZ1,14.195727,3.634121,6.57467981297875e-44
Astro_1,4,APOE,14.193863,5.912864,6.57467981297875e-44
Astro_1,5,RYR3,13.81989,3.442897,8.475851839733603e-42
Astro_1,6,ARHGAP24,13.582345,4.4659863,1.914933393248657e-40
Astro_1,7,TTYH1,13.549251,3.8202913,2.6314258868456753e-40
Astro_1,8,SPON1,12.95758,4.1947975,6.220185264250047e-37
Astro_1,9,MEIS2,12.887492,3.6804523,1.3922449119430877e-36
Astro_1,10,MGST1,12.288184,3.9482079,2.5065109068232102e-33
Astro_2,1,FGFR3,36.089214,7.7849774,8.806804055714096e-283
Astro_2,2,PTPRZ1,35.142075,3.896154,2.0201299399414884e-268
Astro_2,3,ARHGAP24,35.08622,5.099121,9.588503942093807e-268
Astro_2,4,APOE,34.21769,6.6312447,6.940353881658565e-255
Astro_2,5,RYR3,33.748566,3.5986176,4.91841586077797e-248
Astro_2,6,TTYH1,33.624733,4.329013,2.742452275502659e-246
Astro_2,7,MEIS2,33.120453,4.153421,4.960499621641455e-239
Astro_2,8,SPON1,30.740332,4.160999,4.811536517893285e-206
Astro_2,9,AQP4,30.398323,6.1572,1.520267861946154e-201
Astro_2,10,RORB,29.807802,3.6393883,7.400336589158196e-194
Astro_3,1,AQP4,24.684223,7.590929,2.2758812662507353e-132
Astro_3,2,APOE,24.680536,6.879846,2.2758812662507353e-132
Astro_3,3,VCAN,23.175562,5.274203,7.042319427900749e-117
Astro_3,4,RYR3,22.842178,3.5213516,9.233063047781511e-114
Astro_3,5,SPON1,22.841993,4.6745543,9.233063047781511e-114
Astro_3,6,FGFR3,21.215662,6.449409,2.5720372180902724e-98
Astro_3,7,PTPRZ1,20.998945,3.2093756,2.2045043172898315e-96
Astro_3,8,MEIS2,20.820395,3.8042173,8.265477597179278e-95
Astro_3,9,TTYH1,18.264793,3.518102,4.150349491797649e-73
Astro_3,10,SOX2,17.02561,3.8239324,1.162376135708154e-63
Astro_4,1,FGFR3,11.053827,6.8126287,5.524689624660149e-26
Astro_4,2,AQP4,10.815125,6.9809914,3.8383948539738227e-25
Astro_4,3,PTPRZ1,9.602865,3.2069025,6.816294721260275e-20
Astro_4,4,APOE,9.306627,5.2534523,8.67608000106202e-19
Astro_4,5,VCAN,8.472378,4.2272773,1.0539025312995771e-15
Astro_4,6,MEIS2,8.209201,3.2441373,6.783282258562205e-15
Astro_4,7,SPON1,8.204202,3.8410234,6.783282258562205e-15
Astro_4,8,SEMA5A,8.115136,3.6023436,1.2761787252669287e-14
Astro_4,9,SOX2,8.069351,3.7769816,1.689718346419473e-14
Astro_4,10,PLCE1,7.299984,2.9440844,5.822452224368707e-12
Astro_5,1,AQP4,14.94675,7.088685,4.301058902829355e-48
Astro_5,2,PTPRZ1,14.545149,3.8509574,8.244295748185728e-46
Astro_5,3,FGFR3,14.117149,6.529793,2.610660244521127e-43
Astro_5,4,TTYH1,12.510407,3.5864053,3.4446438056212787e-34
Astro_5,5,MEIS2,12.172176,3.549263,1.9166812977123434e-32
Astro_5,6,SPON1,12.101802,4.159776,3.8817994020929303e-32
Astro_5,7,FGFR2,11.415319,3.6511202,1.1526477108812688e-28
Astro_5,8,APOE,10.571472,4.9754333,9.661722571549154e-25
Astro_5,9,MGST1,10.207566,3.485292,4.0196709792212764e-23
Astro_5,10,RYR3,10.044412,2.3738117,1.966964527574393e-22
Chandelier_1,1,SDK1,34.60855,3.736091,4.94114969478974e-260
Chandelier_1,2,ALK,32.81193,3.524752,5.2328722056494e-234
Chandelier_1,3,MYO16,31.956844,3.370359,3.804958933017247e-222
Chandelier_1,4,TENM1,31.913734,2.9325185,1.1321860815214435e-221
Chandelier_1,5,CNTNAP3B,31.741814,3.0468593,2.1664030420591148e-219
Chandelier_1,6,TMEM132C,30.616158,3.352531,3.2700335039151046e-204
Chandelier_1,7,ANK1,30.596394,2.793397,5.135626022332333e-204
Chandelier_1,8,UNC5B,30.450798,4.048934,3.8435294047133744e-202
Chandelier_1,9,NPNT,30.139614,5.0900407,4.2882083207768145e-198
Chandelier_1,10,PVALB,27.237478,5.4874067,6.150490931700702e-162
Chandelier_2,1,ALK,24.156137,3.995034,1.69270913549183e-126
Chandelier_2,2,COL12A1,23.796103,3.6386294,4.819335702054304e-123
Chandelier_2,3,SDK1,23.292963,3.5751796,4.580158932271415e-118
Chandelier_2,4,UNC5B,22.007175,3.925564,1.6163983354743828e-105
Chandelier_2,5,CDH6,21.513092,3.4029577,6.175772379061249e-101
Chandelier_2,6,NPNT,21.10404,5.117548,3.200822667887035e-97
Chandelier_2,7,PTCHD4,20.87965,2.747194,3.080517706340412e-95
Chandelier_2,8,TMEM132C,20.740189,3.2256608,4.942204190078229e-94
Chandelier_2,9,ANK1,20.421305,2.6181264,3.1599596604706965e-91
Chandelier_2,10,MYO16,19.655447,2.8872306,1.3657691540191898e-84
Endo_2,1,THSD4,15.034621,6.9341383,1.145446667687121e-48
Endo_2,2,FLT1,14.8721695,8.814101,6.570685952938763e-48
Endo_2,3,RNF144B,12.082965,5.312559,1.1392060174825615e-31
Endo_2,4,CEMIP2,11.075235,4.071121,1.087805492159737e-26
Endo_2,5,KLF2,9.54225,7.355873,4.5948331200900734e-20
Endo_2,6,PECAM1,9.07156,6.492333,3.4284909015575535e-18
Endo_2,7,IFITM3,8.659442,7.6603074,1.0390215804367305e-16
Endo_2,8,NRP1,7.4322824,3.4043236,1.6513246154934482e-12
Endo_2,9,NOTCH1,5.9205503,5.410966,2.8129246640934547e-08
Endo_2,10,PHLDB2,4.8248487,3.1041677,7.051810945529202e-06
L2/3 IT_1,1,TESPA1,32.67022,3.510445,1.0881305324057088e-231
L2/3 IT_1,2,PDGFD,30.138227,4.262783,2.0121215749139108e-197
L2/3 IT_1,3,MEIS2,28.913513,3.053192,7.078843601651342e-182
L2/3 IT_1,4,ADAMTS3,28.774376,3.3420186,2.951637353609317e-180
L2/3 IT_1,5,CUX2,27.601212,2.7440965,5.660098729415133e-166
L2/3 IT_1,6,SLIT3,27.535578,2.5751026,2.8873348022247103e-165
L2/3 IT_1,7,RFTN1,26.789387,2.2329075,1.6139974357323944e-156
L2/3 IT_1,8,FSTL4,25.699516,2.202314,3.458449854705355e-144
L2/3 IT_1,9,LAMP5,23.530672,2.9249573,5.2081642754642975e-121
L2/3 IT_1,10,CDH12,21.634064,2.0697994,1.882089196138369e-102
L2/3 IT_2,1,TESPA1,15.1284,3.1151612,2.7673725467671077e-49
L2/3 IT_2,2,SLIT3,14.65457,2.8330307,1.6562617694450514e-46
L2/3 IT_2,3,SNTB2,14.471779,2.226206,1.6015395828166894e-45
L2/3 IT_2,4,NNAT,12.973138,2.6851614,1.1425208535478863e-36
L2/3 IT_2,5,SEMA5A,12.511927,2.7206106,3.379386857636554e-34
L2/3 IT_2,6,SLC17A7,11.438195,1.8836256,8.857623110069401e-29
L2/3 IT_2,7,PDGFD,10.674271,2.8735874,3.532304773105543e-25
L2/3 IT_2,8,MEIS2,9.956559,1.8656955,5.174382684605796e-22
L2/3 IT_2,9,CALCRL,9.169482,2.4860036,9.615605960635637e-19
L2/3 IT_2,10,CUX2,8.679308,1.6080076,6.981495027397336e-17
L2/3 IT_3,1,NTNG1,36.63587,4.2126336,2.0202807185148897e-291
L2/3 IT_3,2,RORB,34.497463,4.2130036,1.1513401966228754e-258
L2/3 IT_3,3,LAMA2,31.76797,3.895898,1.572212870628598e-219
L2/3 IT_3,4,RIT2,31.660872,2.959678,3.533048198118797e-218
L2/3 IT_3,5,CUX2,31.484924,3.2110345,7.349013263232238e-216
L2/3 IT_3,6,TRHDE,31.153154,3.2392058,2.0149892611420674e-211
L2/3 IT_3,7,LRRK1,30.62537,2.720151,2.113302471266136e-204
L2/3 IT_3,8,KCNH5,30.341791,2.626304,1.059941980333775e-200
L2/3 IT_3,9,POU6F2,29.59075,2.913191,5.743260844685238e-191
L2/3 IT_3,10,SPHKAP,27.075607,2.3212187,5.0184595958836896e-160
L2/3 IT_5,1,NTNG1,32.286926,3.3605127,2.8070510902522345e-226
L2/3 IT_5,2,RORB,30.41921,3.386043,4.0249056378335305e-201
L2/3 IT_5,3,ANO3,30.255545,2.7849433,3.866766402345275e-199
L2/3 IT_5,4,CUX2,30.07307,3.0416393,7.169224289923817e-197
L2/3 IT_5,5,TESPA1,28.332415,2.7390783,7.251456862848259e-175
L2/3 IT_5,6,RIT2,27.070953,2.395257,9.488853466988494e-160
L2/3 IT_5,7,LRRK1,26.916145,2.2801864,5.340807502514301e-158
L2/3 IT_5,8,KCNH5,26.709122,2.1806488,1.2124441678940102e-155
L2/3 IT_5,9,CRYM,25.48559,2.0366404,8.32224524153896e-142
L2/3 IT_5,10,POU6F2,25.391218,2.4018607,8.292421782415083e-141
L2/3 IT_6,1,ADAMTS3,33.657818,3.7975156,6.301814285859257e-246
L2/3 IT_6,2,TESPA1,32.198376,3.2896607,2.4456937761548057e-225
L2/3 IT_6,3,CUX2,29.576542,2.9878447,2.6245005125527377e-190
L2/3 IT_6,4,SLIT3,28.657309,2.6621814,8.5462227078644e-179
L2/3 IT_6,5,RFTN1,28.220757,2.2576768,1.7113414188732348e-173
L2/3 IT_6,6,MEIS2,27.11902,2.5154629,2.5753303836968825e-160
L2/3 IT_6,7,ANO3,27.083666,2.4292517,5.762111818159483e-160
L2/3 IT_6,8,FSTL4,26.82845,2.3316598,4.948557807204766e-157
L2/3 IT_6,9,NWD2,26.456686,2.2024186,8.931864822365576e-153
L2/3 IT_6,10,LAMP5,24.605124,2.8152587,2.928120758761591e-132
L2/3 IT_7,1,TESPA1,33.24874,3.50758,5.598631618182406e-240
L2/3 IT_7,2,MEIS2,31.44901,3.3972611,5.694389909141632e-215
L2/3 IT_7,3,ADAMTS3,29.656954,3.2015939,2.4187388803206563e-191
L2/3 IT_7,4,CUX2,28.589855,2.852133,5.906400235493346e-178
L2/3 IT_7,5,CDH12,27.53023,2.5563247,4.015271813647062e-165
L2/3 IT_7,6,ANO3,25.234638,2.1848402,7.320509836145081e-139
L2/3 IT_7,7,SLIT3,25.200817,2.1881266,1.474277483402194e-138
L2/3 IT_7,8,OTOGL,24.301088,2.3373377,6.276185112733287e-129
L2/3 IT_7,9,NWD2,23.523878,1.9392098,6.7917141682720595e-121
L2/3 IT_7,10,BRINP3,22.562988,1.8086063,2.3939208638549016e-111
L2/3 IT_8,1,TESPA1,34.266136,3.641632,6.596687721383094e-255
