supertype,markers,n_markers,n_in_5k,pct_in_5k,missing_from_5k,n_in_v1,pct_in_v1,missing_from_v1
Astro_1,"AQP4, GPM6A, ADGRV1, OBI1-AS1, DTNA, SLC1A2, GPC5, LINC00499, GLIS3, SLC1A3",10,4,40.0,"GPM6A, ADGRV1, OBI1-AS1, GPC5, LINC00499, GLIS3",1,10.0,"GPM6A, ADGRV1, OBI1-AS1, DTNA, SLC1A2, GPC5, LINC00499, GLIS3, SLC1A3"
Astro_2,"SLC1A2, GPM6A, SLC1A3, GPC5, ADGRV1, LINC00299, PREX2, COL5A3, OBI1-AS1, DTNA",10,3,30.0,"GPM6A, GPC5, ADGRV1, LINC00299, PREX2, COL5A3, OBI1-AS1",0,0.0,"SLC1A2, GPM6A, SLC1A3, GPC5, ADGRV1, LINC00299, PREX2, COL5A3, OBI1-AS1, DTNA"
Astro_3,"LINC00609, ADGRV1, OBI1-AS1, NKAIN3, SLC1A2, GLIS3, CTNND2, GPM6A, GFAP, AC012405.1",10,2,20.0,"LINC00609, ADGRV1, OBI1-AS1, NKAIN3, GLIS3, GPM6A, GFAP, AC012405.1",0,0.0,"LINC00609, ADGRV1, OBI1-AS1, NKAIN3, SLC1A2, GLIS3, CTNND2, GPM6A, GFAP, AC012405.1"
Astro_4,"ADGRV1, DCLK2, DPP10, DTNA, AHCYL2, MIR99AHG, SLC38A1, WDR49, MSI2, ARHGEF4",10,2,20.0,"ADGRV1, DCLK2, DPP10, AHCYL2, MIR99AHG, SLC38A1, WDR49, ARHGEF4",0,0.0,"ADGRV1, DCLK2, DPP10, DTNA, AHCYL2, MIR99AHG, SLC38A1, WDR49, MSI2, ARHGEF4"
Astro_5,"ADGRV1, LINC00299, DTNA, ZNRF3, SLC1A2, OBI1-AS1, DPP10, TNIK, ARHGEF4, AHCYL2",10,2,20.0,"ADGRV1, LINC00299, ZNRF3, OBI1-AS1, DPP10, TNIK, ARHGEF4, AHCYL2",0,0.0,"ADGRV1, LINC00299, DTNA, ZNRF3, SLC1A2, OBI1-AS1, DPP10, TNIK, ARHGEF4, AHCYL2"
Chandelier_1,"CNTN5, CA8, RORA, TRPS1, ZNF385D, SLC9A9, DPP10, SDK1, CALN1, TMEM132D",10,1,10.0,"CNTN5, CA8, RORA, ZNF385D, SLC9A9, DPP10, SDK1, CALN1, TMEM132D",1,10.0,"CNTN5, CA8, RORA, TRPS1, ZNF385D, SLC9A9, DPP10, CALN1, TMEM132D"
Chandelier_2,"RORA, GALNTL6, AC046195.2, ALK, ZNF385D, CA8, AC046195.1, TRPS1, COL12A1, THSD7A",10,2,20.0,"RORA, GALNTL6, AC046195.2, ZNF385D, CA8, AC046195.1, COL12A1, THSD7A",2,20.0,"RORA, GALNTL6, AC046195.2, ZNF385D, CA8, AC046195.1, TRPS1, THSD7A"
Endo_2,"ABCB1, ATP10A, THSD4, FLT1, SLC7A1, A2M, COBLL1, ESYT2, ST6GALNAC3, SLC7A5",10,3,30.0,"ATP10A, THSD4, FLT1, SLC7A1, A2M, ESYT2, ST6GALNAC3",2,20.0,"ABCB1, ATP10A, SLC7A1, A2M, COBLL1, ESYT2, ST6GALNAC3, SLC7A5"
L2/3 IT_1,"CBLN2, DGKB, LINC02306, LINC01250, AC021613.1, LINC01378, TESPA1, LRRTM4, PDZD2, AC011287.1",10,0,0.0,"CBLN2, DGKB, LINC02306, LINC01250, AC021613.1, LINC01378, TESPA1, LRRTM4, PDZD2, AC011287.1",1,10.0,"CBLN2, DGKB, LINC02306, LINC01250, AC021613.1, LINC01378, LRRTM4, PDZD2, AC011287.1"
L2/3 IT_10,"LINC00507, PDZD2, TESPA1, ENC1, AL157944.1, LINC01331, HOPX, AC013287.1, AC011287.1, AC008696.2",10,1,10.0,"LINC00507, PDZD2, TESPA1, ENC1, AL157944.1, LINC01331, AC013287.1, AC011287.1, AC008696.2",1,10.0,"LINC00507, PDZD2, ENC1, AL157944.1, LINC01331, HOPX, AC013287.1, AC011287.1, AC008696.2"
