supertype,markers,n_markers,n_in_5k,pct_in_5k,missing_from_5k,n_in_v1,pct_in_v1,missing_from_v1
L2/3 IT_12,"LINC02822, AJ009632.2, LINC00507, AC011287.1, HS6ST3, LRRTM4, LINC01378, RFX3, DGKB, TESPA1",10,0,0.0,"LINC02822, AJ009632.2, LINC00507, AC011287.1, HS6ST3, LRRTM4, LINC01378, RFX3, DGKB, TESPA1",1,10.0,"LINC02822, AJ009632.2, LINC00507, AC011287.1, HS6ST3, LRRTM4, LINC01378, RFX3, DGKB"
L2/3 IT_13,"AJ009632.2, GLIS3, TESPA1, CA10, COL5A2, FSTL4, ATRNL1, ENC1, LINC02296, NECAB1",10,2,20.0,"AJ009632.2, GLIS3, TESPA1, FSTL4, ATRNL1, ENC1, LINC02296, NECAB1",2,20.0,"AJ009632.2, GLIS3, CA10, COL5A2, ATRNL1, ENC1, LINC02296, NECAB1"
L2/3 IT_2,"CBLN2, DGKB, ACVR1C, MOXD1, ADGRV1, TESPA1, CSMD1, PSD3, SLIT3, KCNQ5",10,2,20.0,"CBLN2, DGKB, ACVR1C, MOXD1, ADGRV1, TESPA1, CSMD1, KCNQ5",2,20.0,"CBLN2, DGKB, ACVR1C, MOXD1, ADGRV1, CSMD1, PSD3, KCNQ5"
L2/3 IT_3,"COL5A2, NTNG1, ARL15, IQCJ-SCHIP1, COBLL1, AJ009632.2, RORB, SLC38A11, LINC02296, CA10",10,4,40.0,"NTNG1, ARL15, IQCJ-SCHIP1, AJ009632.2, SLC38A11, LINC02296",2,20.0,"COL5A2, ARL15, IQCJ-SCHIP1, COBLL1, AJ009632.2, SLC38A11, LINC02296, CA10"
L2/3 IT_5,"COL5A2, LINC02296, AJ009632.2, IQCJ-SCHIP1, NTNG1, AP000829.1, R3HDM1, GLIS3, CA10, TAFA1",10,3,30.0,"LINC02296, AJ009632.2, IQCJ-SCHIP1, NTNG1, AP000829.1, GLIS3, TAFA1",1,10.0,"COL5A2, LINC02296, AJ009632.2, IQCJ-SCHIP1, AP000829.1, R3HDM1, GLIS3, CA10, TAFA1"
L2/3 IT_6,"LINC01331, AC011287.1, PDZD2, LINC00507, LINC02306, ENC1, ADAMTS3, LRRTM4, AC008574.1, DGKB",10,0,0.0,"LINC01331, AC011287.1, PDZD2, LINC00507, LINC02306, ENC1, ADAMTS3, LRRTM4, AC008574.1, DGKB",1,10.0,"LINC01331, AC011287.1, PDZD2, LINC00507, LINC02306, ENC1, LRRTM4, AC008574.1, DGKB"
L2/3 IT_7,"CBLN2, PDZD2, LINC01331, ENC1, SERPINE2, AC011287.1, R3HDM1, CCBE1, NECTIN3, ITPR2",10,3,30.0,"CBLN2, PDZD2, LINC01331, ENC1, SERPINE2, AC011287.1, ITPR2",0,0.0,"CBLN2, PDZD2, LINC01331, ENC1, SERPINE2, AC011287.1, R3HDM1, CCBE1, NECTIN3, ITPR2"
L2/3 IT_8,"LINC02822, LINC01331, CBLN2, TESPA1, LINC00507, ENC1, PDZD2, LINC01378, AC011287.1, NECTIN3",10,1,10.0,"LINC02822, LINC01331, CBLN2, TESPA1, LINC00507, ENC1, PDZD2, LINC01378, AC011287.1",1,10.0,"LINC02822, LINC01331, CBLN2, LINC00507, ENC1, PDZD2, LINC01378, AC011287.1, NECTIN3"
L4 IT_1,"AC073091.3, CASC15, AC109466.1, CADPS2, AC008415.1, RORB, LRRK1, TLL1, ADAMTSL1, PHACTR2",10,1,10.0,"AC073091.3, CASC15, AC109466.1, CADPS2, AC008415.1, LRRK1, TLL1, ADAMTSL1, PHACTR2",2,20.0,"AC073091.3, CASC15, AC109466.1, CADPS2, AC008415.1, TLL1, ADAMTSL1, PHACTR2"
L4 IT_2,"SLC22A10, TSHZ2, RORB, DCC, COBLL1, AC073091.3, SCHLAP1, AL117329.1, LINC01725, FSTL4",10,2,20.0,"SLC22A10, TSHZ2, DCC, AC073091.3, SCHLAP1, AL117329.1, LINC01725, FSTL4",3,30.0,"SLC22A10, DCC, COBLL1, AC073091.3, SCHLAP1, AL117329.1, LINC01725"
L4 IT_3,"RORB, SLC38A11, SCHLAP1, DCC, AC073365.1, POU6F2, TSHZ2, ANO3, COBLL1, EFNA5",10,3,30.0,"SLC38A11, SCHLAP1, DCC, AC073365.1, POU6F2, TSHZ2, EFNA5",4,40.0,"SLC38A11, SCHLAP1, DCC, AC073365.1, COBLL1, EFNA5"
L4 IT_4,"RMST, OTOGL, PLCH1, PTPRD, AC073365.1, AC034268.2, POU6F2, RORB, CPNE4, LINC01821",10,1,10.0,"RMST, OTOGL, PLCH1, PTPRD, AC073365.1, AC034268.2, POU6F2, CPNE4, LINC01821",4,40.0,"RMST, PTPRD, AC073365.1, AC034268.2, CPNE4, LINC01821"
L5 ET_1,"ERG, ONECUT1, KCNN2, GRM8, TAFA1, ESRRG, PTCHD1-AS, SORCS1, DGKH, SEMA3D",10,4,40.0,"ONECUT1, KCNN2, GRM8, TAFA1, PTCHD1-AS, DGKH",1,10.0,"ERG, ONECUT1, KCNN2, GRM8, TAFA1, ESRRG, PTCHD1-AS, DGKH, SEMA3D"
L5 ET_2,"ESRRG, KCNN2, RIT2, VAT1L, GRM8, CHST8, CABP1, COL24A1, LINC00326, TAFA1",10,2,20.0,"KCNN2, RIT2, VAT1L, GRM8, CABP1, COL24A1, LINC00326, TAFA1",1,10.0,"ESRRG, KCNN2, VAT1L, GRM8, CHST8, CABP1, COL24A1, LINC00326, TAFA1"
L5 IT_1,"LINC02196, CTNNA2, IL1RAPL2, LINC02232, TOX, CASC15, FOXP2, AC073578.2, DCC, RORB",10,3,30.0,"LINC02196, CTNNA2, IL1RAPL2, LINC02232, CASC15, AC073578.2, DCC",1,10.0,"LINC02196, CTNNA2, IL1RAPL2, LINC02232, TOX, CASC15, FOXP2, AC073578.2, DCC"
L5 IT_2,"FSTL4, CASC15, PHACTR1, LRRK1, RORB, AC060765.2, AC016687.2, RXFP1, IPCEF1, IL1RAPL2",10,2,20.0,"FSTL4, CASC15, PHACTR1, LRRK1, AC060765.2, AC016687.2, IPCEF1, IL1RAPL2",4,40.0,"CASC15, PHACTR1, AC060765.2, AC016687.2, IPCEF1, IL1RAPL2"
L5 IT_3,"AC099517.1, TOX, PDE4D, CTNNA2, FOXP2, DACH1, RXFP1, OPCML, LRP1B, CPNE4",10,4,40.0,"AC099517.1, PDE4D, CTNNA2, OPCML, LRP1B, CPNE4",1,10.0,"AC099517.1, TOX, PDE4D, CTNNA2, FOXP2, DACH1, OPCML, LRP1B, CPNE4"
L5 IT_5,"AC109466.1, PHACTR1, AC008415.1, TAFA1, AC060765.2, CASC15, AC073091.3, IL1RAPL2, LRRK1, KCNH7",10,0,0.0,"AC109466.1, PHACTR1, AC008415.1, TAFA1, AC060765.2, CASC15, AC073091.3, IL1RAPL2, LRRK1, KCNH7",1,10.0,"AC109466.1, PHACTR1, AC008415.1, TAFA1, AC060765.2, CASC15, AC073091.3, IL1RAPL2, KCNH7"
L5 IT_6,"TAFA1, PHACTR1, AC109466.1, ARL15, AC008415.1, CADPS2, TRABD2A, AC021134.1, AL445207.1, LRRK1",10,0,0.0,"TAFA1, PHACTR1, AC109466.1, ARL15, AC008415.1, CADPS2, TRABD2A, AC021134.1, AL445207.1, LRRK1",1,10.0,"TAFA1, PHACTR1, AC109466.1, ARL15, AC008415.1, CADPS2, TRABD2A, AC021134.1, AL445207.1"
L5 IT_7,"PHACTR1, HS3ST2, CPNE4, CTNNA2, SORCS1, RYR2, CLSTN2, AC109466.1, PRUNE2, AC008415.1",10,2,20.0,"PHACTR1, CPNE4, CTNNA2, RYR2, CLSTN2, AC109466.1, PRUNE2, AC008415.1",2,20.0,"PHACTR1, CPNE4, CTNNA2, RYR2, CLSTN2, AC109466.1, PRUNE2, AC008415.1"
L5/6 NP_1,"IFNG-AS1, AC068587.4, HTR2C, NPSR1-AS1, TRMT9B, TSHZ2, CRYM, SORCS2, CDH6, DIRAS2",10,3,30.0,"IFNG-AS1, AC068587.4, NPSR1-AS1, TRMT9B, TSHZ2, CRYM, DIRAS2",4,40.0,"IFNG-AS1, AC068587.4, NPSR1-AS1, TRMT9B, SORCS2, DIRAS2"
L5/6 NP_2,"AC068587.4, HTR2C, NPSR1-AS1, ASIC2, TSHZ2, CRYM, SORCS2, FER1L6-AS2, TLL1, TRMT9B",10,2,20.0,"AC068587.4, NPSR1-AS1, ASIC2, TSHZ2, CRYM, FER1L6-AS2, TLL1, TRMT9B",3,30.0,"AC068587.4, NPSR1-AS1, ASIC2, SORCS2, FER1L6-AS2, TLL1, TRMT9B"
L5/6 NP_3,"AC068587.4, HTR2C, COL24A1, TSHZ2, GHR, ASIC2, CRYM, SORCS2, NPSR1-AS1, CALCRL",10,4,40.0,"AC068587.4, COL24A1, TSHZ2, ASIC2, CRYM, NPSR1-AS1",4,40.0,"AC068587.4, COL24A1, GHR, ASIC2, SORCS2, NPSR1-AS1"
L5/6 NP_4,"IFNG-AS1, HTR2C, TSHZ2, AC068587.4, ASIC2, SEMA5B, LRRC4C, TLL1, NPSR1, SORCS2",10,3,30.0,"IFNG-AS1, TSHZ2, AC068587.4, ASIC2, SEMA5B, LRRC4C, TLL1",2,20.0,"IFNG-AS1, AC068587.4, ASIC2, SEMA5B, LRRC4C, TLL1, NPSR1, SORCS2"
L5/6 NP_6,"HTR2C, AC068587.4, TSHZ2, ASIC2, TLL1, KCNB2, FER1L6-AS2, IFNG-AS1, CRYM, MPP7",10,2,20.0,"AC068587.4, TSHZ2, ASIC2, TLL1, KCNB2, FER1L6-AS2, IFNG-AS1, CRYM",3,30.0,"AC068587.4, ASIC2, TLL1, KCNB2, FER1L6-AS2, IFNG-AS1, MPP7"
L6 CT_1,"RALYL, SEMA3E, CLSTN2, AC090578.1, TRPM3, ZFPM2, HS3ST4, FOXP2, ADAMTSL1, LRP1B",10,2,20.0,"RALYL, SEMA3E, CLSTN2, AC090578.1, ZFPM2, HS3ST4, ADAMTSL1, LRP1B",1,10.0,"RALYL, SEMA3E, CLSTN2, AC090578.1, TRPM3, ZFPM2, FOXP2, ADAMTSL1, LRP1B"
L6 CT_2,"ADAMTSL1, SEMA3E, RALYL, HS3ST4, COL24A1, DLC1, AC090578.1, TRPM3, KHDRBS3, SEC24D",10,1,10.0,"ADAMTSL1, SEMA3E, RALYL, HS3ST4, COL24A1, DLC1, AC090578.1, KHDRBS3, SEC24D",1,10.0,"ADAMTSL1, SEMA3E, RALYL, COL24A1, DLC1, AC090578.1, TRPM3, KHDRBS3, SEC24D"
L6 CT_3,"SEMA3E, ADAMTSL1, COL24A1, FRMPD4, RXFP1, TLE4, KHDRBS3, HS3ST4, MDGA2, HS3ST2",10,2,20.0,"SEMA3E, ADAMTSL1, COL24A1, FRMPD4, TLE4, KHDRBS3, HS3ST4, MDGA2",3,30.0,"SEMA3E, ADAMTSL1, COL24A1, FRMPD4, TLE4, KHDRBS3, MDGA2"
L6 CT_4,"ZFPM2, FRMPD4, NAV3, HS3ST2, ANO3, SEC24D, ADAMTSL1, SEMA3E, HS3ST4, KHDRBS3",10,2,20.0,"ZFPM2, FRMPD4, NAV3, SEC24D, ADAMTSL1, SEMA3E, HS3ST4, KHDRBS3",3,30.0,"ZFPM2, FRMPD4, NAV3, SEC24D, ADAMTSL1, SEMA3E, KHDRBS3"
L6 IT Car3_1,"CUX1, SORBS2, AC110023.1, SNTB1, AC091078.1, KCNIP4, ERC2, NWD2, ITGA11, SEMA6D",10,0,0.0,"CUX1, SORBS2, AC110023.1, SNTB1, AC091078.1, KCNIP4, ERC2, NWD2, ITGA11, SEMA6D",1,10.0,"CUX1, SORBS2, AC110023.1, SNTB1, AC091078.1, KCNIP4, ERC2, ITGA11, SEMA6D"
L6 IT Car3_2,"SORBS2, ERC2, NTNG2, KCNIP4, CACNA1E, ZNF804B, KCTD16, RGS12, TMEM132D, AC110023.1",10,1,10.0,"SORBS2, ERC2, KCNIP4, CACNA1E, ZNF804B, KCTD16, RGS12, TMEM132D, AC110023.1",1,10.0,"SORBS2, ERC2, KCNIP4, CACNA1E, ZNF804B, KCTD16, RGS12, TMEM132D, AC110023.1"
L6 IT Car3_3,"ERC2, KCNIP4, KCTD16, AC092691.1, NTNG2, CADPS2, SORBS2, ITGB8, PDE1A, LSAMP",10,1,10.0,"ERC2, KCNIP4, KCTD16, AC092691.1, CADPS2, SORBS2, ITGB8, PDE1A, LSAMP",1,10.0,"ERC2, KCNIP4, KCTD16, AC092691.1, CADPS2, SORBS2, ITGB8, PDE1A, LSAMP"
L6 IT_1,"AC019211.1, AC067956.1, AC093607.1, SLIT3, CBLN2, AC034268.2, AL117329.1, PTPRK, CTNNA2, SLC35F3",10,1,10.0,"AC019211.1, AC067956.1, AC093607.1, CBLN2, AC034268.2, AL117329.1, PTPRK, CTNNA2, SLC35F3",1,10.0,"AC019211.1, AC067956.1, AC093607.1, CBLN2, AC034268.2, AL117329.1, PTPRK, CTNNA2, SLC35F3"
L6 IT_2,"SLC35F3, CTNNA2, MYO1D, AC019211.1, LRP1B, SYN3, AC067956.1, MCTP1, ADAMTS3, SLIT3",10,2,20.0,"SLC35F3, CTNNA2, AC019211.1, LRP1B, SYN3, AC067956.1, MCTP1, ADAMTS3",2,20.0,"SLC35F3, CTNNA2, MYO1D, AC019211.1, LRP1B, SYN3, AC067956.1, MCTP1"
L6b_1,"AL391117.1, FRMPD4, CCBE1, SDK2, LMO3, HCRTR2, ADAMTSL1, VCAN, PDZRN4, ARPP21",10,3,30.0,"AL391117.1, FRMPD4, LMO3, ADAMTSL1, VCAN, PDZRN4, ARPP21",1,10.0,"AL391117.1, FRMPD4, CCBE1, SDK2, LMO3, HCRTR2, ADAMTSL1, PDZRN4, ARPP21"
L6b_2,"FRMPD4, MDGA2, ROBO2, CCBE1, ZFHX3, LMO3, ARPP21, MIR137HG, ZFPM2, ADD3-AS1",10,2,20.0,"FRMPD4, MDGA2, ROBO2, LMO3, ARPP21, MIR137HG, ZFPM2, ADD3-AS1",0,0.0,"FRMPD4, MDGA2, ROBO2, CCBE1, ZFHX3, LMO3, ARPP21, MIR137HG, ZFPM2, ADD3-AS1"
L6b_3,"MDFIC, TLE4, CDH10, EPHA5, ZFHX3, DPP4, KIAA1217, HS3ST4, SORCS3, NRXN1",10,3,30.0,"TLE4, CDH10, EPHA5, KIAA1217, HS3ST4, SORCS3, NRXN1",1,10.0,"MDFIC, TLE4, CDH10, EPHA5, ZFHX3, DPP4, KIAA1217, SORCS3, NRXN1"
L6b_4,"HS3ST4, LMO3, ZFHX3, CNTNAP5, PDZRN4, CDH10, PCSK5, CCBE1, SORCS3, TLE4",10,2,20.0,"HS3ST4, LMO3, CNTNAP5, PDZRN4, CDH10, PCSK5, SORCS3, TLE4",1,10.0,"LMO3, ZFHX3, CNTNAP5, PDZRN4, CDH10, PCSK5, CCBE1, SORCS3, TLE4"
L6b_5,"ZFHX3, MDFIC, HS3ST4, CELF2, STXBP5, CNTNAP5, ERG, CDH10, TLE4, MARCH1",10,4,40.0,"HS3ST4, CELF2, CNTNAP5, CDH10, TLE4, MARCH1",1,10.0,"ZFHX3, MDFIC, CELF2, STXBP5, CNTNAP5, ERG, CDH10, TLE4, MARCH1"
L6b_6,"MARCH1, ZFHX3, DLC1, LINC02232, MDFIC, SEMA3D, HS3ST4, TLE4, AC022126.1, ARSJ",10,3,30.0,"MARCH1, DLC1, LINC02232, HS3ST4, TLE4, AC022126.1, ARSJ",1,10.0,"MARCH1, ZFHX3, DLC1, LINC02232, MDFIC, SEMA3D, TLE4, AC022126.1, ARSJ"
Lamp5_1,"UNC13C, KIT, FGF13, EYA4, FGF14, FBXL7, NFIB, SLC6A1, PTCHD4, SOX2-OT",10,5,50.0,"UNC13C, FGF14, FBXL7, NFIB, PTCHD4",3,30.0,"UNC13C, FGF13, FGF14, FBXL7, NFIB, SLC6A1, SOX2-OT"
Lamp5_2,"KIT, FGF13, UNC13C, TRPC3, FBXL7, PRELID2, FGF14, AC132803.1, EYA4, SLC6A1",10,5,50.0,"UNC13C, FBXL7, PRELID2, FGF14, AC132803.1",2,20.0,"FGF13, UNC13C, TRPC3, FBXL7, PRELID2, FGF14, AC132803.1, SLC6A1"
Lamp5_3,"MACROD2, KIT, FGF13, TRPC3, GRIN2A, CACNA2D1, FGF14, EYA4, PTCHD4, FREM1",10,6,60.0,"MACROD2, GRIN2A, FGF14, PTCHD4",3,30.0,"MACROD2, FGF13, TRPC3, GRIN2A, CACNA2D1, FGF14, FREM1"
Lamp5_4,"FREM1, CACNA2D1, RELN, TRPC3, FGF14, GRIN2A, SV2C, FRAS1, INPP4B, NEBL",10,8,80.0,"FGF14, GRIN2A",1,10.0,"FREM1, CACNA2D1, TRPC3, FGF14, GRIN2A, SV2C, FRAS1, INPP4B, NEBL"
Lamp5_5,"RELN, INPP4B, SV2C, HS3ST5, FRAS1, FREM1, FSTL5, CXCL14, COL5A2, SLC6A1",10,8,80.0,"FSTL5, CXCL14",2,20.0,"INPP4B, SV2C, HS3ST5, FRAS1, FREM1, FSTL5, COL5A2, SLC6A1"
Lamp5_6,"INPP4B, RELN, HS3ST5, FSTL5, CXCL14, COL5A2, SV2C, EGFR, CNTNAP4, PRELID2",10,7,70.0,"FSTL5, CXCL14, PRELID2",3,30.0,"INPP4B, HS3ST5, FSTL5, COL5A2, SV2C, CNTNAP4, PRELID2"
Lamp5_Lhx6_1,"PDGFD, FGF13, UNC5D, NTNG1, EYA4, CHST9, GRIA4, MYO16, FBXL7, GRIN2A",10,3,30.0,"UNC5D, NTNG1, CHST9, GRIA4, MYO16, FBXL7, GRIN2A",4,40.0,"FGF13, UNC5D, CHST9, GRIA4, FBXL7, GRIN2A"
Micro-PVM_1,"MRC1, SLC9A9, LRMDA, STARD13, ITPR2, ARHGAP24, DISC1, NEAT1, MBNL1, SELENOP",10,3,30.0,"SLC9A9, LRMDA, STARD13, ITPR2, ARHGAP24, NEAT1, SELENOP",1,10.0,"MRC1, SLC9A9, LRMDA, STARD13, ITPR2, DISC1, NEAT1, MBNL1, SELENOP"
Micro-PVM_2,"PLXDC2, DOCK4, LRMDA, MEF2A, SFMBT2, ARHGAP24, SRGAP2, SORL1, DOCK8, ITPR2",10,2,20.0,"PLXDC2, DOCK4, LRMDA, SFMBT2, ARHGAP24, SRGAP2, DOCK8, ITPR2",1,10.0,"PLXDC2, DOCK4, LRMDA, MEF2A, SFMBT2, SRGAP2, SORL1, DOCK8, ITPR2"
Micro-PVM_2_3-SEAAD,"DOCK8, SYNDIG1, DOCK4, PLXDC2, INPP5D, LRMDA, MEF2A, ARHGAP24, SRGAP2, SORL1",10,3,30.0,"DOCK8, SYNDIG1, DOCK4, PLXDC2, LRMDA, ARHGAP24, SRGAP2",1,10.0,"DOCK8, SYNDIG1, DOCK4, PLXDC2, INPP5D, LRMDA, MEF2A, SRGAP2, SORL1"
OPC_1,"BCAS1, GPR17, TNS3, FYN, SEMA5A, CRB1, TNR, TMEM163, DSCAM, OPHN1",10,3,30.0,"BCAS1, TNS3, SEMA5A, CRB1, TMEM163, DSCAM, OPHN1",1,10.0,"BCAS1, GPR17, TNS3, FYN, CRB1, TNR, TMEM163, DSCAM, OPHN1"
OPC_2,"PTPRZ1, TNR, LHFPL3, DSCAM, PCDH15, VCAN, NOVA1, LRRC4C, XYLT1, EPN2",10,2,20.0,"LHFPL3, DSCAM, PCDH15, VCAN, NOVA1, LRRC4C, XYLT1, EPN2",2,20.0,"TNR, LHFPL3, DSCAM, PCDH15, NOVA1, LRRC4C, XYLT1, EPN2"
OPC_2_1-SEAAD,"PTPRZ1, TNR, VCAN, LHFPL3, XYLT1, EPN2, DSCAM, PCDH15, LRRC4C, AC004852.2",10,2,20.0,"VCAN, LHFPL3, XYLT1, EPN2, DSCAM, PCDH15, LRRC4C, AC004852.2",2,20.0,"TNR, LHFPL3, XYLT1, EPN2, DSCAM, PCDH15, LRRC4C, AC004852.2"
Oligo_1,"ST18, TF, MBP, RNF220, QKI, MOBP, CTNNA3, SLC44A1, PLP1, MAP7",10,1,10.0,"ST18, TF, MBP, RNF220, QKI, MOBP, CTNNA3, SLC44A1, PLP1",3,30.0,"TF, MBP, RNF220, QKI, SLC44A1, PLP1, MAP7"
Oligo_2,"PIP4K2A, ST18, CTNNA3, SLC44A1, PHLPP1, MBP, RNF220, SIK3, PLP1, QKI",10,3,30.0,"ST18, CTNNA3, SLC44A1, MBP, RNF220, PLP1, QKI",2,20.0,"PIP4K2A, SLC44A1, PHLPP1, MBP, RNF220, SIK3, PLP1, QKI"
Oligo_2_1-SEAAD,"SIK3, KCNH8, PHLPP1, ENPP2, CTNNA3, PDE4B, RNF220, IL1RAPL1, ST18, DOCK5",10,4,40.0,"KCNH8, CTNNA3, RNF220, IL1RAPL1, ST18, DOCK5",2,20.0,"SIK3, KCNH8, PHLPP1, ENPP2, PDE4B, RNF220, IL1RAPL1, DOCK5"
Oligo_3,"PLP1, CREB5, PIP4K2A, SIK3, TTLL7, SLC44A1, MBP, ERBIN, TRIM2, QKI",10,3,30.0,"PLP1, TTLL7, SLC44A1, MBP, ERBIN, TRIM2, QKI",0,0.0,"PLP1, CREB5, PIP4K2A, SIK3, TTLL7, SLC44A1, MBP, ERBIN, TRIM2, QKI"
Oligo_4,"PLP1, SLC44A1, MBP, PIP4K2A, ST18, CTNNA3, PTGDS, QKI, SIK3, RNF220",10,2,20.0,"PLP1, SLC44A1, MBP, ST18, CTNNA3, PTGDS, QKI, RNF220",2,20.0,"PLP1, SLC44A1, MBP, PIP4K2A, PTGDS, QKI, SIK3, RNF220"
Pax6_1,"RELN, DDR2, SORCS3, CDH4, CXCL14, CCK, IL1RAPL2, CNR1, WIF1, RBMS3",10,5,50.0,"SORCS3, CDH4, CXCL14, IL1RAPL2, WIF1",6,60.0,"SORCS3, IL1RAPL2, CNR1, RBMS3"
Pax6_2,"CDH4, ALK, KLHL29, DDR2, RELN, SPHKAP, HMBOX1, SORCS3, ANGPT1, RASGEF1B",10,4,40.0,"CDH4, KLHL29, SPHKAP, HMBOX1, SORCS3, RASGEF1B",6,60.0,"KLHL29, HMBOX1, SORCS3, RASGEF1B"
Pax6_3,"CNR1, SGCD, ZNF385D, YJEFN3, PCLO, SORCS3, ARHGAP6, DOCK8, EEPD1, EPS8",10,2,20.0,"SGCD, ZNF385D, PCLO, SORCS3, ARHGAP6, DOCK8, EEPD1, EPS8",0,0.0,"CNR1, SGCD, ZNF385D, YJEFN3, PCLO, SORCS3, ARHGAP6, DOCK8, EEPD1, EPS8"
Pax6_4,"CNR1, ADARB2, CCK, KCNQ5, SGCD, CHRNA7, PLCXD3, MAML3, SORCS3, NRXN3",10,3,30.0,"ADARB2, KCNQ5, SGCD, PLCXD3, MAML3, SORCS3, NRXN3",1,10.0,"CNR1, ADARB2, KCNQ5, SGCD, CHRNA7, PLCXD3, MAML3, SORCS3, NRXN3"
Pvalb_1,"SLIT2, FGF12, PLCE1, PRKG1, TMEM132C, CHRM2, ADAMTS17, KCNC2, PLCXD3, GPC6",10,3,30.0,"FGF12, PRKG1, TMEM132C, ADAMTS17, KCNC2, PLCXD3, GPC6",2,20.0,"SLIT2, FGF12, PRKG1, CHRM2, ADAMTS17, KCNC2, PLCXD3, GPC6"
Pvalb_10,"FGF12, CNTNAP3B, PCDH15, KCNC2, GPC5, ERBB4, SRRM4, ANO4, RUNX2, MYO5B",10,2,20.0,"FGF12, CNTNAP3B, PCDH15, KCNC2, GPC5, ERBB4, SRRM4, ANO4",2,20.0,"FGF12, PCDH15, KCNC2, GPC5, ERBB4, SRRM4, ANO4, RUNX2"
