supertype,gene,frac_snrna,detection_efficiency,predicted_spatial,calibration_source,in_merscope_4k,in_merscope_250,in_xenium_5k,in_xenium_v1
Sst_1,TENM3,0.9961977186311787,0.21026417992254784,0.20946469634869785,MERSCOPE_4K,True,True,False,False
Sst_1,GABRG3,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,True,False
Sst_1,PDE4B,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,True,False
Sst_1,BACH2,1.0,0.07475729800864973,0.07475729800864973,MERSCOPE_4K,True,False,True,False
Sst_10,TRHDE,1.0,0.11284358556967201,0.11284358556967201,MERSCOPE_4K,True,True,False,True
Sst_10,CACNA2D3,1.0,0.2690096757509605,0.2690096757509605,MERSCOPE_4K,True,False,False,False
Sst_10,PCDH7,1.0,0.254251071692692,0.254251071692692,MERSCOPE_4K,True,True,False,False
Sst_10,SPHKAP,0.9658119658119658,0.3997311042664793,0.38606508360779623,estimated,False,False,False,True
Sst_10,TRPC6,0.9572649572649573,0.3114137540584262,0.2981054739704593,MERSCOPE_4K,True,True,True,True
Sst_10,PALM2-AKAP2,0.9971509971509972,0.3997311042664793,0.3985922692115891,estimated,False,False,False,False
Sst_10,CACNB2,0.9971509971509972,0.3997311042664793,0.3985922692115891,estimated,False,False,False,False
Sst_10,ASTN2,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,True,False
Sst_10,COL19A1,0.9643874643874644,0.12972634943618394,0.1251064651970036,MERSCOPE_4K,True,True,False,False
Sst_10,SHISA6,0.9943019943019943,0.3997311042664793,0.39745343415669876,estimated,False,False,False,False
Sst_11,SMARCA2,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,True,False
Sst_11,KIF26B,0.9973474801061007,0.152482899317762,0.1520784353938422,MERSCOPE_4K,True,False,False,False
Sst_11,TMEFF2,1.0,0.14479753818977234,0.14479753818977234,MERSCOPE_4K,True,False,True,False
Sst_11,CDH12,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,True
Sst_11,SOX6,1.0,0.29433254495288674,0.29433254495288674,MERSCOPE_4K,True,True,True,False
Sst_11,GRIK1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_11,NKAIN2,1.0,0.2707043254904834,0.2707043254904834,MERSCOPE_4K,True,False,False,False
Sst_11,PTPRO,0.9946949602122016,0.2670198565760525,0.2656033056127843,MERSCOPE_4K,True,False,False,False
Sst_11,KIAA1217,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_11,SPOCK3,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_12,TRHDE,1.0,0.11284358556967201,0.11284358556967201,MERSCOPE_4K,True,True,False,True
Sst_12,ROBO1,1.0,0.27588367369714106,0.27588367369714106,MERSCOPE_4K,True,True,False,False
Sst_12,GRID2,1.0,0.17710610045365896,0.17710610045365896,MERSCOPE_4K,True,True,False,False
Sst_12,GRIK1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_12,SHISA6,0.9947916666666666,0.3997311042664793,0.39764917143175804,estimated,False,False,False,False
Sst_12,WLS,0.98828125,0.3997311042664793,0.3950467553883565,estimated,False,False,False,False
Sst_12,TMTC2,0.9973958333333334,0.3997311042664793,0.39869013784911866,estimated,False,False,False,False
Sst_12,PAM,0.9986979166666666,0.3997311042664793,0.399210621057799,estimated,False,False,True,False
Sst_12,KCTD8,0.9934895833333334,0.3997311042664793,0.39712868822307773,estimated,False,False,False,False
Sst_12,COL19A1,0.9635416666666666,0.12972634943618394,0.12499674294632307,MERSCOPE_4K,True,True,False,False
Sst_13,ASTN2,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,True,False
Sst_13,CACNA2D3,1.0,0.2690096757509605,0.2690096757509605,MERSCOPE_4K,True,False,False,False
Sst_13,TRHDE,0.9993943064809206,0.11284358556967201,0.11277523694122278,MERSCOPE_4K,True,True,False,True
Sst_13,GRIN3A,0.9939430648092066,0.23261379893620382,0.23120487223156297,MERSCOPE_4K,True,True,False,False
Sst_13,CDH9,0.9993943064809206,0.3997311042664793,0.39948898972725067,estimated,False,False,False,False
Sst_13,NETO1,0.9957601453664445,0.3997311042664793,0.3980363024918788,estimated,False,False,True,False
Sst_13,NPAS3,1.0,0.16849887520501033,0.16849887520501033,MERSCOPE_4K,True,True,False,False
Sst_13,GRIK1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_13,KCNMB2,0.9993943064809206,0.3997311042664793,0.39948898972725067,estimated,False,False,False,False
Sst_13,RBFOX1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_19,PCDH15,0.9994259471871412,0.12951923080812436,0.12944487992935963,MERSCOPE_4K,True,True,False,False
Sst_19,GRIK1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_19,ASTN2,0.9994259471871412,0.3997311042664793,0.39950163750168793,estimated,False,False,True,False
Sst_19,NETO1,0.9971297359357061,0.3997311042664793,0.3985837704425227,estimated,False,False,True,False
Sst_19,PHACTR2,0.9793340987370838,0.14906448304002928,0.1459839311517164,MERSCOPE_4K,True,False,False,False
Sst_19,NPAS3,1.0,0.16849887520501033,0.16849887520501033,MERSCOPE_4K,True,True,False,False
Sst_19,GRIN3A,0.9896670493685419,0.23261379893620382,0.2302102120356001,MERSCOPE_4K,True,True,False,False
Sst_19,MGAT4C,1.0,0.03359641481564278,0.03359641481564278,MERSCOPE_4K,True,True,False,False
Sst_19,ROBO1,1.0,0.27588367369714106,0.27588367369714106,MERSCOPE_4K,True,True,False,False
Sst_19,PLCH1,0.9925373134328358,0.35504642257443075,0.35239682240596487,MERSCOPE_4K,True,True,False,True
Sst_2,PCSK5,0.9754768392370572,0.12270725031326356,0.11969808068705273,MERSCOPE_4K,True,False,False,False
Sst_2,EYS,0.9209809264305178,0.03585071726143437,0.033017826796634384,MERSCOPE_4K,True,False,False,False
Sst_2,SOX6,0.9945504087193461,0.29433254495288674,0.2927285528822988,MERSCOPE_4K,True,True,True,False
Sst_2,KIF26B,0.9945504087193461,0.152482899317762,0.1516519298391911,MERSCOPE_4K,True,False,False,False
Sst_2,DLGAP1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_2,TIAM1,0.9945504087193461,0.3997311042664793,0.39755273312606254,estimated,False,False,True,False
Sst_2,GRIK1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_2,PLCH1,0.989100817438692,0.35504642257443075,0.35117670679705276,MERSCOPE_4K,True,True,False,True
Sst_2,RASGRF2,0.9918256130790191,0.3130902774684391,0.3105309563992148,MERSCOPE_4K,True,False,False,False
