supertype,gene,frac_snrna,detection_efficiency,predicted_spatial_frac,calibration_source,in_5k,in_v1
Sst Chodl_1,NPY,1.0,4.64,4.64,calibrated,False,False
Sst Chodl_1,NOS1,1.0,2.170588235294118,2.170588235294118,calibrated,True,False
Sst Chodl_1,MPPED2,1.0,1.1273721881390593,1.1273721881390593,estimated,True,False
Sst Chodl_1,SOX6,1.0,1.5400000000000003,1.5400000000000003,calibrated,True,False
Sst Chodl_1,SOX2-OT,1.0,1.1273721881390593,1.1273721881390593,estimated,True,False
Sst Chodl_1,TACR1,0.9873417721518988,3.3600000000000003,3.31746835443038,calibrated,True,True
Sst Chodl_1,TMTC1,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst Chodl_1,PLCB1,1.0,0.6357142857142857,0.6357142857142857,calibrated,True,False
Sst Chodl_1,LRP8,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst Chodl_1,CRHBP,0.9620253164556962,1.1273721881390593,1.0845605860578291,estimated,False,True
Sst Chodl_2,GULP1,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst Chodl_2,NPY,0.9625,4.64,4.466,calibrated,False,False
Sst Chodl_2,GRIK1,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst Chodl_2,RBFOX1,1.0,0.7478787878787879,0.7478787878787879,calibrated,False,False
Sst Chodl_2,NELL1,1.0,1.1273721881390593,1.1273721881390593,estimated,True,False
Sst Chodl_2,SOX6,1.0,1.5400000000000003,1.5400000000000003,calibrated,True,False
Sst Chodl_2,CADPS,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst Chodl_2,IL1RAPL2,0.95,1.1273721881390593,1.0710035787321062,estimated,False,False
Sst Chodl_2,KIF26B,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst Chodl_2,LRP8,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_1,CDH9,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_1,EPB41L4A,0.9809885931558935,1.1273721881390593,1.105939256805617,estimated,False,False
Sst_1,KCND2,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_1,TRHDE,1.0,1.1273721881390593,1.1273721881390593,estimated,False,True
Sst_1,SAMD5,0.9923954372623575,1.1273721881390593,1.1187990156056824,estimated,True,True
Sst_1,PAM,1.0,1.1273721881390593,1.1273721881390593,estimated,True,False
Sst_1,TENM3,0.9961977186311787,1.1273721881390593,1.1230856018723707,estimated,False,False
Sst_1,GABRG3,1.0,1.1273721881390593,1.1273721881390593,estimated,True,False
Sst_1,PDE4B,1.0,0.6581875993640699,0.6581875993640699,calibrated,True,False
Sst_1,BACH2,1.0,1.1273721881390593,1.1273721881390593,estimated,True,False
Sst_10,TRHDE,1.0,1.1273721881390593,1.1273721881390593,estimated,False,True
Sst_10,CACNA2D3,1.0,0.8156028368794326,0.8156028368794326,calibrated,False,False
Sst_10,PCDH7,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_10,SPHKAP,0.9658119658119658,1.1273721881390593,1.0888295492283222,estimated,False,True
Sst_10,TRPC6,0.9572649572649573,1.1273721881390593,1.0791938895006379,estimated,True,True
Sst_10,PALM2-AKAP2,0.9971509971509972,1.1273721881390593,1.1241603015631645,estimated,False,False
Sst_10,CACNB2,0.9971509971509972,1.1273721881390593,1.1241603015631645,estimated,False,False
Sst_10,ASTN2,1.0,0.7033333333333334,0.7033333333333334,calibrated,True,False
Sst_10,COL19A1,0.9643874643874644,1.1273721881390593,1.0872236059403748,estimated,False,False
Sst_10,SHISA6,0.9943019943019943,1.1273721881390593,1.1209484149872697,estimated,False,False
Sst_11,SMARCA2,1.0,1.1273721881390593,1.1273721881390593,estimated,True,False
Sst_11,KIF26B,0.9973474801061007,1.1273721881390593,1.1243818109821917,estimated,False,False
Sst_11,TMEFF2,1.0,1.1273721881390593,1.1273721881390593,estimated,True,False
Sst_11,CDH12,1.0,1.1273721881390593,1.1273721881390593,estimated,False,True
Sst_11,SOX6,1.0,1.5400000000000003,1.5400000000000003,calibrated,True,False
Sst_11,GRIK1,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_11,NKAIN2,1.0,0.6621158008658009,0.6621158008658009,calibrated,False,False
Sst_11,PTPRO,0.9946949602122016,1.1273721881390593,1.1213914338253241,estimated,False,False
Sst_11,KIAA1217,1.0,0.8030450849963046,0.8030450849963046,calibrated,False,False
Sst_11,SPOCK3,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_12,TRHDE,1.0,1.1273721881390593,1.1273721881390593,estimated,False,True
Sst_12,ROBO1,1.0,0.7698203801851669,0.7698203801851669,calibrated,False,False
Sst_12,GRID2,1.0,0.6179577464788732,0.6179577464788732,calibrated,False,False
Sst_12,GRIK1,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_12,SHISA6,0.9947916666666666,1.1273721881390593,1.1215004579925016,estimated,False,False
Sst_12,WLS,0.98828125,1.1273721881390593,1.1141607953093047,estimated,False,False
Sst_12,TMTC2,0.9973958333333334,1.1273721881390593,1.1244363230657806,estimated,False,False
Sst_12,PAM,0.9986979166666666,1.1273721881390593,1.12590425560242,estimated,True,False
Sst_12,KCTD8,0.9934895833333334,1.1273721881390593,1.1200325254558623,estimated,False,False
Sst_12,COL19A1,0.9635416666666666,1.1273721881390593,1.086270077113156,estimated,False,False
Sst_13,ASTN2,1.0,0.7033333333333334,0.7033333333333334,calibrated,True,False
Sst_13,CACNA2D3,1.0,0.8156028368794326,0.8156028368794326,calibrated,False,False
Sst_13,TRHDE,0.9993943064809206,1.1273721881390593,1.1266893461111132,estimated,False,True
Sst_13,GRIN3A,0.9939430648092066,0.9705265610438023,0.9646481445626164,calibrated,False,False
Sst_13,CDH9,0.9993943064809206,1.1273721881390593,1.1266893461111132,estimated,False,False
Sst_13,NETO1,0.9957601453664445,1.1273721881390593,1.1225922939434363,estimated,True,False
Sst_13,NPAS3,1.0,0.4901694915254237,0.4901694915254237,calibrated,False,False
Sst_13,GRIK1,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_13,KCNMB2,0.9993943064809206,0.2561428561737231,0.2559877121057802,calibrated,False,False
Sst_13,RBFOX1,1.0,0.7478787878787879,0.7478787878787879,calibrated,False,False
Sst_19,PCDH15,0.9994259471871412,1.1273721881390593,1.1267250169633192,estimated,False,False
Sst_19,GRIK1,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_19,ASTN2,0.9994259471871412,0.7033333333333334,0.702929582854956,calibrated,True,False
Sst_19,NETO1,0.9971297359357061,1.1273721881390593,1.1241363322603593,estimated,True,False
Sst_19,PHACTR2,0.9793340987370838,1.1273721881390593,1.1040740258124195,estimated,False,False
Sst_19,NPAS3,1.0,0.4901694915254237,0.4901694915254237,calibrated,False,False
Sst_19,GRIN3A,0.9896670493685419,0.9705265610438023,0.9604981580020179,calibrated,False,False
Sst_19,MGAT4C,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_19,ROBO1,1.0,0.7698203801851669,0.7698203801851669,calibrated,False,False
Sst_19,PLCH1,0.9925373134328358,1.1273721881390593,1.1189589628544394,estimated,False,True
Sst_2,PCSK5,0.9754768392370572,1.1273721881390593,1.0997254587296545,estimated,False,False
Sst_2,EYS,0.9209809264305178,1.1273721881390593,1.0382882822643107,estimated,False,False
Sst_2,SOX6,0.9945504087193461,1.5400000000000003,1.5316076294277932,calibrated,True,False
Sst_2,KIF26B,0.9945504087193461,1.1273721881390593,1.1212284704925248,estimated,False,False
Sst_2,DLGAP1,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_2,TIAM1,0.9945504087193461,1.1273721881390593,1.1212284704925248,estimated,True,False
Sst_2,GRIK1,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_2,PLCH1,0.989100817438692,1.1273721881390593,1.1150847528459904,estimated,False,True
Sst_2,RASGRF2,0.9918256130790191,1.1273721881390593,1.1181566116692576,estimated,False,False
Sst_2,COL25A1,0.9373297002724795,1.1273721881390593,1.0567194352039138,estimated,True,True
Sst_20,RBMS3,1.0,1.1273721881390593,1.1273721881390593,estimated,True,False
Sst_20,NRXN3,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_20,CDH12,0.9974489795918368,1.1273721881390593,1.124496238679521,estimated,False,True
Sst_20,RBFOX1,1.0,0.7478787878787879,0.7478787878787879,calibrated,False,False
Sst_20,KIF26B,0.9948979591836735,1.1273721881390593,1.1216202892199825,estimated,False,False
Sst_20,ROBO2,1.0,0.655,0.655,calibrated,False,False
Sst_20,GRIK1,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_20,SPOCK3,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_20,SOX6,0.9948979591836735,1.5400000000000003,1.5321428571428575,calibrated,True,False
Sst_20,TIAM1,0.9974489795918368,1.1273721881390593,1.124496238679521,estimated,True,False
Sst_22,GRIK1,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_22,NRXN3,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_22,RBFOX1,1.0,0.7478787878787879,0.7478787878787879,calibrated,False,False
Sst_22,RBMS3,0.9957264957264957,1.1273721881390593,1.122554358275217,estimated,True,False
Sst_22,CDH12,1.0,1.1273721881390593,1.1273721881390593,estimated,False,True
Sst_22,MAN1A1,0.9829059829059829,1.1273721881390593,1.1081008686836906,estimated,True,False
Sst_22,EYA2,0.9230769230769231,1.1273721881390593,1.0406512505899008,estimated,False,False
Sst_22,TMEFF2,1.0,1.1273721881390593,1.1273721881390593,estimated,True,False
Sst_22,SPOCK3,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_22,KIF26B,0.9914529914529915,1.1273721881390593,1.117736528411375,estimated,False,False
Sst_23,KIRREL3,1.0,0.9333333333333333,0.9333333333333333,calibrated,False,False
Sst_23,CDH12,1.0,1.1273721881390593,1.1273721881390593,estimated,False,True
Sst_23,COL25A1,0.9824945295404814,1.1273721881390593,1.1076370076027082,estimated,True,True
Sst_23,SOX6,1.0,1.5400000000000003,1.5400000000000003,calibrated,True,False
Sst_23,PTPRT,0.9978118161925602,1.1273721881390593,1.1249052905720154,estimated,False,False
Sst_23,TIAM1,1.0,1.1273721881390593,1.1273721881390593,estimated,True,False
Sst_23,KIAA1217,1.0,0.8030450849963046,0.8030450849963046,calibrated,False,False
Sst_23,DMD,1.0,1.1273721881390593,1.1273721881390593,estimated,True,False
Sst_23,GRIK1,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_23,RASGRF2,0.9978118161925602,1.1273721881390593,1.1249052905720154,estimated,False,False
Sst_25,SGCZ,1.0,1.1273721881390593,1.1273721881390593,estimated,False,False
Sst_25,CDH12,1.0,1.1273721881390593,1.1273721881390593,estimated,False,True
Sst_25,GRID2,1.0,0.6179577464788732,0.6179577464788732,calibrated,False,False
