supertype,n_markers,markers,n_in_MERSCOPE_250,pct_MERSCOPE_250,missing_MERSCOPE_250,n_in_MERSCOPE_4K,pct_MERSCOPE_4K,missing_MERSCOPE_4K,n_in_Xenium_5K,pct_Xenium_5K,missing_Xenium_5K,n_in_Xenium_v1,pct_Xenium_v1,missing_Xenium_v1
Sncg_6,10,"CNR1, CCK, AC006305.1, CNTN5, CHRNA7, FSTL5, ADARB2, WWP1, NPAS3, KCNQ5",2,20.0,"AC006305.1, CCK, CHRNA7, CNR1, CNTN5, FSTL5, KCNQ5, WWP1",4,40.0,"AC006305.1, CCK, CHRNA7, CNTN5, FSTL5, WWP1",4,40.0,"AC006305.1, ADARB2, CNTN5, FSTL5, KCNQ5, NPAS3",1,10.0,"AC006305.1, ADARB2, CHRNA7, CNR1, CNTN5, FSTL5, KCNQ5, NPAS3, WWP1"
Sncg_8,10,"INPP4B, GRIK2, CXCL14, COL21A1, AL589740.1, FSTL5, SGO1-AS1, CCNH, NCAM2, CNR1",3,30.0,"AL589740.1, CCNH, CNR1, CXCL14, FSTL5, GRIK2, SGO1-AS1",4,40.0,"AL589740.1, CCNH, CXCL14, FSTL5, GRIK2, SGO1-AS1",2,20.0,"AL589740.1, CCNH, COL21A1, CXCL14, FSTL5, GRIK2, NCAM2, SGO1-AS1",1,10.0,"AL589740.1, CCNH, CNR1, COL21A1, FSTL5, GRIK2, INPP4B, NCAM2, SGO1-AS1"
Sst Chodl_1,10,"NPY, NOS1, MPPED2, SOX6, SOX2-OT, TACR1, TMTC1, PLCB1, LRP8, CRHBP",2,20.0,"CRHBP, LRP8, MPPED2, NPY, PLCB1, SOX2-OT, TACR1, TMTC1",7,70.0,"CRHBP, LRP8, NPY",6,60.0,"CRHBP, LRP8, NPY, TMTC1",2,20.0,"LRP8, MPPED2, NOS1, NPY, PLCB1, SOX2-OT, SOX6, TMTC1"
Sst Chodl_2,10,"GULP1, NPY, GRIK1, RBFOX1, NELL1, SOX6, CADPS, IL1RAPL2, KIF26B, LRP8",3,30.0,"CADPS, GRIK1, KIF26B, LRP8, NELL1, NPY, RBFOX1",5,50.0,"GRIK1, LRP8, NELL1, NPY, RBFOX1",2,20.0,"CADPS, GRIK1, GULP1, IL1RAPL2, KIF26B, LRP8, NPY, RBFOX1",0,0.0,"CADPS, GRIK1, GULP1, IL1RAPL2, KIF26B, LRP8, NELL1, NPY, RBFOX1, SOX6"
Sst_1,10,"CDH9, EPB41L4A, KCND2, TRHDE, SAMD5, PAM, TENM3, GABRG3, PDE4B, BACH2",2,20.0,"BACH2, CDH9, EPB41L4A, GABRG3, KCND2, PAM, PDE4B, SAMD5",6,60.0,"CDH9, GABRG3, PAM, PDE4B",5,50.0,"CDH9, EPB41L4A, KCND2, TENM3, TRHDE",2,20.0,"BACH2, CDH9, EPB41L4A, GABRG3, KCND2, PAM, PDE4B, TENM3"
Sst_10,10,"TRHDE, CACNA2D3, PCDH7, SPHKAP, TRPC6, PALM2-AKAP2, CACNB2, ASTN2, COL19A1, SHISA6",4,40.0,"ASTN2, CACNA2D3, CACNB2, PALM2-AKAP2, SHISA6, SPHKAP",5,50.0,"ASTN2, CACNB2, PALM2-AKAP2, SHISA6, SPHKAP",2,20.0,"CACNA2D3, CACNB2, COL19A1, PALM2-AKAP2, PCDH7, SHISA6, SPHKAP, TRHDE",3,30.0,"ASTN2, CACNA2D3, CACNB2, COL19A1, PALM2-AKAP2, PCDH7, SHISA6"
Sst_11,10,"SMARCA2, KIF26B, TMEFF2, CDH12, SOX6, GRIK1, NKAIN2, PTPRO, KIAA1217, SPOCK3",1,10.0,"CDH12, GRIK1, KIAA1217, KIF26B, NKAIN2, PTPRO, SMARCA2, SPOCK3, TMEFF2",5,50.0,"CDH12, GRIK1, KIAA1217, SMARCA2, SPOCK3",3,30.0,"CDH12, GRIK1, KIAA1217, KIF26B, NKAIN2, PTPRO, SPOCK3",1,10.0,"GRIK1, KIAA1217, KIF26B, NKAIN2, PTPRO, SMARCA2, SOX6, SPOCK3, TMEFF2"
Sst_12,10,"TRHDE, ROBO1, GRID2, GRIK1, SHISA6, WLS, TMTC2, PAM, KCTD8, COL19A1",4,40.0,"GRIK1, KCTD8, PAM, SHISA6, TMTC2, WLS",4,40.0,"GRIK1, KCTD8, PAM, SHISA6, TMTC2, WLS",1,10.0,"COL19A1, GRID2, GRIK1, KCTD8, ROBO1, SHISA6, TMTC2, TRHDE, WLS",1,10.0,"COL19A1, GRID2, GRIK1, KCTD8, PAM, ROBO1, SHISA6, TMTC2, WLS"
Sst_13,10,"ASTN2, CACNA2D3, TRHDE, GRIN3A, CDH9, NETO1, NPAS3, GRIK1, KCNMB2, RBFOX1",3,30.0,"ASTN2, CACNA2D3, CDH9, GRIK1, KCNMB2, NETO1, RBFOX1",4,40.0,"ASTN2, CDH9, GRIK1, KCNMB2, NETO1, RBFOX1",2,20.0,"CACNA2D3, CDH9, GRIK1, GRIN3A, KCNMB2, NPAS3, RBFOX1, TRHDE",1,10.0,"ASTN2, CACNA2D3, CDH9, GRIK1, GRIN3A, KCNMB2, NETO1, NPAS3, RBFOX1"
Sst_19,10,"PCDH15, GRIK1, ASTN2, NETO1, PHACTR2, NPAS3, GRIN3A, MGAT4C, ROBO1, PLCH1",6,60.0,"ASTN2, GRIK1, NETO1, PHACTR2",7,70.0,"ASTN2, GRIK1, NETO1",2,20.0,"GRIK1, GRIN3A, MGAT4C, NPAS3, PCDH15, PHACTR2, PLCH1, ROBO1",1,10.0,"ASTN2, GRIK1, GRIN3A, MGAT4C, NETO1, NPAS3, PCDH15, PHACTR2, ROBO1"
