supertype,n_markers,markers,n_in_MERSCOPE_250,pct_MERSCOPE_250,missing_MERSCOPE_250,n_in_MERSCOPE_4K,pct_MERSCOPE_4K,missing_MERSCOPE_4K,n_in_Xenium_5K,pct_Xenium_5K,missing_Xenium_5K,n_in_Xenium_v1,pct_Xenium_v1,missing_Xenium_v1
Astro_1,10,"AQP4, GPM6A, ADGRV1, OBI1-AS1, DTNA, SLC1A2, GPC5, LINC00499, GLIS3, SLC1A3",2,20.0,"ADGRV1, AQP4, DTNA, GPM6A, LINC00499, OBI1-AS1, SLC1A2, SLC1A3",6,60.0,"GPM6A, LINC00499, OBI1-AS1, SLC1A3",4,40.0,"ADGRV1, GLIS3, GPC5, GPM6A, LINC00499, OBI1-AS1",1,10.0,"ADGRV1, DTNA, GLIS3, GPC5, GPM6A, LINC00499, OBI1-AS1, SLC1A2, SLC1A3"
Astro_2,10,"SLC1A2, GPM6A, SLC1A3, GPC5, ADGRV1, LINC00299, PREX2, COL5A3, OBI1-AS1, DTNA",2,20.0,"ADGRV1, COL5A3, DTNA, GPM6A, OBI1-AS1, PREX2, SLC1A2, SLC1A3",6,60.0,"COL5A3, GPM6A, OBI1-AS1, SLC1A3",3,30.0,"ADGRV1, COL5A3, GPC5, GPM6A, LINC00299, OBI1-AS1, PREX2",0,0.0,"ADGRV1, COL5A3, DTNA, GPC5, GPM6A, LINC00299, OBI1-AS1, PREX2, SLC1A2, SLC1A3"
Astro_3,10,"LINC00609, ADGRV1, OBI1-AS1, NKAIN3, SLC1A2, GLIS3, CTNND2, GPM6A, GFAP, AC012405.1",1,10.0,"AC012405.1, ADGRV1, CTNND2, GFAP, GPM6A, LINC00609, NKAIN3, OBI1-AS1, SLC1A2",4,40.0,"AC012405.1, CTNND2, GPM6A, LINC00609, NKAIN3, OBI1-AS1",2,20.0,"AC012405.1, ADGRV1, GFAP, GLIS3, GPM6A, LINC00609, NKAIN3, OBI1-AS1",0,0.0,"AC012405.1, ADGRV1, CTNND2, GFAP, GLIS3, GPM6A, LINC00609, NKAIN3, OBI1-AS1, SLC1A2"
Astro_4,10,"ADGRV1, DCLK2, DPP10, DTNA, AHCYL2, MIR99AHG, SLC38A1, WDR49, MSI2, ARHGEF4",1,10.0,"ADGRV1, AHCYL2, ARHGEF4, DCLK2, DTNA, MIR99AHG, MSI2, SLC38A1, WDR49",7,70.0,"DCLK2, MIR99AHG, MSI2",2,20.0,"ADGRV1, AHCYL2, ARHGEF4, DCLK2, DPP10, MIR99AHG, SLC38A1, WDR49",0,0.0,"ADGRV1, AHCYL2, ARHGEF4, DCLK2, DPP10, DTNA, MIR99AHG, MSI2, SLC38A1, WDR49"
Astro_5,10,"ADGRV1, LINC00299, DTNA, ZNRF3, SLC1A2, OBI1-AS1, DPP10, TNIK, ARHGEF4, AHCYL2",2,20.0,"ADGRV1, AHCYL2, ARHGEF4, DTNA, OBI1-AS1, SLC1A2, TNIK, ZNRF3",7,70.0,"OBI1-AS1, TNIK, ZNRF3",2,20.0,"ADGRV1, AHCYL2, ARHGEF4, DPP10, LINC00299, OBI1-AS1, TNIK, ZNRF3",0,0.0,"ADGRV1, AHCYL2, ARHGEF4, DPP10, DTNA, LINC00299, OBI1-AS1, SLC1A2, TNIK, ZNRF3"
Chandelier_1,10,"CNTN5, CA8, RORA, TRPS1, ZNF385D, SLC9A9, DPP10, SDK1, CALN1, TMEM132D",6,60.0,"CA8, CNTN5, RORA, TRPS1",9,90.0,CNTN5,1,10.0,"CA8, CALN1, CNTN5, DPP10, RORA, SDK1, SLC9A9, TMEM132D, ZNF385D",1,10.0,"CA8, CALN1, CNTN5, DPP10, RORA, SLC9A9, TMEM132D, TRPS1, ZNF385D"
Chandelier_2,10,"RORA, GALNTL6, AC046195.2, ALK, ZNF385D, CA8, AC046195.1, TRPS1, COL12A1, THSD7A",3,30.0,"AC046195.1, AC046195.2, ALK, CA8, COL12A1, RORA, TRPS1",7,70.0,"AC046195.1, AC046195.2, ALK",2,20.0,"AC046195.1, AC046195.2, CA8, COL12A1, GALNTL6, RORA, THSD7A, ZNF385D",2,20.0,"AC046195.1, AC046195.2, CA8, GALNTL6, RORA, THSD7A, TRPS1, ZNF385D"
Endo_2,10,"ABCB1, ATP10A, THSD4, FLT1, SLC7A1, A2M, COBLL1, ESYT2, ST6GALNAC3, SLC7A5",1,10.0,"A2M, ABCB1, ATP10A, ESYT2, FLT1, SLC7A1, SLC7A5, ST6GALNAC3, THSD4",7,70.0,"ABCB1, ESYT2, ST6GALNAC3",3,30.0,"A2M, ATP10A, ESYT2, FLT1, SLC7A1, ST6GALNAC3, THSD4",2,20.0,"A2M, ABCB1, ATP10A, COBLL1, ESYT2, SLC7A1, SLC7A5, ST6GALNAC3"
L2/3 IT_1,10,"CBLN2, DGKB, LINC02306, LINC01250, AC021613.1, LINC01378, TESPA1, LRRTM4, PDZD2, AC011287.1",2,20.0,"AC011287.1, AC021613.1, CBLN2, DGKB, LINC01250, LINC01378, LINC02306, LRRTM4",4,40.0,"AC011287.1, AC021613.1, CBLN2, LINC01250, LINC02306, LRRTM4",0,0.0,"AC011287.1, AC021613.1, CBLN2, DGKB, LINC01250, LINC01378, LINC02306, LRRTM4, PDZD2, TESPA1",1,10.0,"AC011287.1, AC021613.1, CBLN2, DGKB, LINC01250, LINC01378, LINC02306, LRRTM4, PDZD2"
L2/3 IT_10,10,"LINC00507, PDZD2, TESPA1, ENC1, AL157944.1, LINC01331, HOPX, AC013287.1, AC011287.1, AC008696.2",2,20.0,"AC008696.2, AC011287.1, AC013287.1, AL157944.1, ENC1, HOPX, LINC00507, LINC01331",3,30.0,"AC008696.2, AC011287.1, AC013287.1, AL157944.1, ENC1, LINC00507, LINC01331",1,10.0,"AC008696.2, AC011287.1, AC013287.1, AL157944.1, ENC1, LINC00507, LINC01331, PDZD2, TESPA1",1,10.0,"AC008696.2, AC011287.1, AC013287.1, AL157944.1, ENC1, HOPX, LINC00507, LINC01331, PDZD2"
L2/3 IT_12,10,"LINC02822, AJ009632.2, LINC00507, AC011287.1, HS6ST3, LRRTM4, LINC01378, RFX3, DGKB, TESPA1",2,20.0,"AC011287.1, AJ009632.2, DGKB, HS6ST3, LINC00507, LINC01378, LINC02822, LRRTM4",5,50.0,"AC011287.1, AJ009632.2, LINC00507, LINC02822, LRRTM4",0,0.0,"AC011287.1, AJ009632.2, DGKB, HS6ST3, LINC00507, LINC01378, LINC02822, LRRTM4, RFX3, TESPA1",1,10.0,"AC011287.1, AJ009632.2, DGKB, HS6ST3, LINC00507, LINC01378, LINC02822, LRRTM4, RFX3"
L2/3 IT_13,10,"AJ009632.2, GLIS3, TESPA1, CA10, COL5A2, FSTL4, ATRNL1, ENC1, LINC02296, NECAB1",5,50.0,"AJ009632.2, ATRNL1, ENC1, LINC02296, NECAB1",7,70.0,"AJ009632.2, ENC1, LINC02296",2,20.0,"AJ009632.2, ATRNL1, ENC1, FSTL4, GLIS3, LINC02296, NECAB1, TESPA1",2,20.0,"AJ009632.2, ATRNL1, CA10, COL5A2, ENC1, GLIS3, LINC02296, NECAB1"
L2/3 IT_2,10,"CBLN2, DGKB, ACVR1C, MOXD1, ADGRV1, TESPA1, CSMD1, PSD3, SLIT3, KCNQ5",3,30.0,"ADGRV1, CBLN2, CSMD1, DGKB, KCNQ5, MOXD1, PSD3",6,60.0,"CBLN2, CSMD1, MOXD1, PSD3",2,20.0,"ACVR1C, ADGRV1, CBLN2, CSMD1, DGKB, KCNQ5, MOXD1, TESPA1",2,20.0,"ACVR1C, ADGRV1, CBLN2, CSMD1, DGKB, KCNQ5, MOXD1, PSD3"
L2/3 IT_3,10,"COL5A2, NTNG1, ARL15, IQCJ-SCHIP1, COBLL1, AJ009632.2, RORB, SLC38A11, LINC02296, CA10",5,50.0,"AJ009632.2, ARL15, IQCJ-SCHIP1, LINC02296, RORB",7,70.0,"AJ009632.2, IQCJ-SCHIP1, LINC02296",4,40.0,"AJ009632.2, ARL15, IQCJ-SCHIP1, LINC02296, NTNG1, SLC38A11",2,20.0,"AJ009632.2, ARL15, CA10, COBLL1, COL5A2, IQCJ-SCHIP1, LINC02296, SLC38A11"
L2/3 IT_5,10,"COL5A2, LINC02296, AJ009632.2, IQCJ-SCHIP1, NTNG1, AP000829.1, R3HDM1, GLIS3, CA10, TAFA1",4,40.0,"AJ009632.2, AP000829.1, IQCJ-SCHIP1, LINC02296, R3HDM1, TAFA1",4,40.0,"AJ009632.2, AP000829.1, IQCJ-SCHIP1, LINC02296, R3HDM1, TAFA1",3,30.0,"AJ009632.2, AP000829.1, GLIS3, IQCJ-SCHIP1, LINC02296, NTNG1, TAFA1",1,10.0,"AJ009632.2, AP000829.1, CA10, COL5A2, GLIS3, IQCJ-SCHIP1, LINC02296, R3HDM1, TAFA1"
L2/3 IT_6,10,"LINC01331, AC011287.1, PDZD2, LINC00507, LINC02306, ENC1, ADAMTS3, LRRTM4, AC008574.1, DGKB",2,20.0,"AC008574.1, AC011287.1, DGKB, ENC1, LINC00507, LINC01331, LINC02306, LRRTM4",3,30.0,"AC008574.1, AC011287.1, ENC1, LINC00507, LINC01331, LINC02306, LRRTM4",0,0.0,"AC008574.1, AC011287.1, ADAMTS3, DGKB, ENC1, LINC00507, LINC01331, LINC02306, LRRTM4, PDZD2",1,10.0,"AC008574.1, AC011287.1, DGKB, ENC1, LINC00507, LINC01331, LINC02306, LRRTM4, PDZD2"
L2/3 IT_7,10,"CBLN2, PDZD2, LINC01331, ENC1, SERPINE2, AC011287.1, R3HDM1, CCBE1, NECTIN3, ITPR2",4,40.0,"AC011287.1, CBLN2, ENC1, LINC01331, NECTIN3, R3HDM1",4,40.0,"AC011287.1, CBLN2, ENC1, LINC01331, NECTIN3, R3HDM1",3,30.0,"AC011287.1, CBLN2, ENC1, ITPR2, LINC01331, PDZD2, SERPINE2",0,0.0,"AC011287.1, CBLN2, CCBE1, ENC1, ITPR2, LINC01331, NECTIN3, PDZD2, R3HDM1, SERPINE2"
L2/3 IT_8,10,"LINC02822, LINC01331, CBLN2, TESPA1, LINC00507, ENC1, PDZD2, LINC01378, AC011287.1, NECTIN3",2,20.0,"AC011287.1, CBLN2, ENC1, LINC00507, LINC01331, LINC01378, LINC02822, NECTIN3",3,30.0,"AC011287.1, CBLN2, ENC1, LINC00507, LINC01331, LINC02822, NECTIN3",1,10.0,"AC011287.1, CBLN2, ENC1, LINC00507, LINC01331, LINC01378, LINC02822, PDZD2, TESPA1",1,10.0,"AC011287.1, CBLN2, ENC1, LINC00507, LINC01331, LINC01378, LINC02822, NECTIN3, PDZD2"
L4 IT_1,10,"AC073091.3, CASC15, AC109466.1, CADPS2, AC008415.1, RORB, LRRK1, TLL1, ADAMTSL1, PHACTR2",3,30.0,"AC008415.1, AC073091.3, AC109466.1, CADPS2, CASC15, PHACTR2, RORB",6,60.0,"AC008415.1, AC073091.3, AC109466.1, CADPS2",1,10.0,"AC008415.1, AC073091.3, AC109466.1, ADAMTSL1, CADPS2, CASC15, LRRK1, PHACTR2, TLL1",2,20.0,"AC008415.1, AC073091.3, AC109466.1, ADAMTSL1, CADPS2, CASC15, PHACTR2, TLL1"
L4 IT_2,10,"SLC22A10, TSHZ2, RORB, DCC, COBLL1, AC073091.3, SCHLAP1, AL117329.1, LINC01725, FSTL4",3,30.0,"AC073091.3, AL117329.1, DCC, LINC01725, RORB, SCHLAP1, SLC22A10",4,40.0,"AC073091.3, AL117329.1, DCC, LINC01725, SCHLAP1, SLC22A10",2,20.0,"AC073091.3, AL117329.1, DCC, FSTL4, LINC01725, SCHLAP1, SLC22A10, TSHZ2",3,30.0,"AC073091.3, AL117329.1, COBLL1, DCC, LINC01725, SCHLAP1, SLC22A10"
L4 IT_3,10,"RORB, SLC38A11, SCHLAP1, DCC, AC073365.1, POU6F2, TSHZ2, ANO3, COBLL1, EFNA5",4,40.0,"AC073365.1, ANO3, DCC, EFNA5, RORB, SCHLAP1",6,60.0,"AC073365.1, DCC, EFNA5, SCHLAP1",3,30.0,"AC073365.1, DCC, EFNA5, POU6F2, SCHLAP1, SLC38A11, TSHZ2",4,40.0,"AC073365.1, COBLL1, DCC, EFNA5, SCHLAP1, SLC38A11"
L4 IT_4,10,"RMST, OTOGL, PLCH1, PTPRD, AC073365.1, AC034268.2, POU6F2, RORB, CPNE4, LINC01821",2,20.0,"AC034268.2, AC073365.1, CPNE4, LINC01821, OTOGL, PTPRD, RMST, RORB",4,40.0,"AC034268.2, AC073365.1, CPNE4, LINC01821, PTPRD, RMST",1,10.0,"AC034268.2, AC073365.1, CPNE4, LINC01821, OTOGL, PLCH1, POU6F2, PTPRD, RMST",4,40.0,"AC034268.2, AC073365.1, CPNE4, LINC01821, PTPRD, RMST"
L5 ET_1,10,"ERG, ONECUT1, KCNN2, GRM8, TAFA1, ESRRG, PTCHD1-AS, SORCS1, DGKH, SEMA3D",4,40.0,"DGKH, GRM8, KCNN2, ONECUT1, PTCHD1-AS, TAFA1",5,50.0,"GRM8, KCNN2, ONECUT1, PTCHD1-AS, TAFA1",4,40.0,"DGKH, GRM8, KCNN2, ONECUT1, PTCHD1-AS, TAFA1",1,10.0,"DGKH, ERG, ESRRG, GRM8, KCNN2, ONECUT1, PTCHD1-AS, SEMA3D, TAFA1"
L5 ET_2,10,"ESRRG, KCNN2, RIT2, VAT1L, GRM8, CHST8, CABP1, COL24A1, LINC00326, TAFA1",2,20.0,"CABP1, CHST8, GRM8, KCNN2, LINC00326, RIT2, TAFA1, VAT1L",3,30.0,"CHST8, GRM8, KCNN2, LINC00326, RIT2, TAFA1, VAT1L",2,20.0,"CABP1, COL24A1, GRM8, KCNN2, LINC00326, RIT2, TAFA1, VAT1L",1,10.0,"CABP1, CHST8, COL24A1, ESRRG, GRM8, KCNN2, LINC00326, TAFA1, VAT1L"
L5 IT_1,10,"LINC02196, CTNNA2, IL1RAPL2, LINC02232, TOX, CASC15, FOXP2, AC073578.2, DCC, RORB",2,20.0,"AC073578.2, CASC15, CTNNA2, DCC, FOXP2, LINC02196, LINC02232, RORB",4,40.0,"AC073578.2, CTNNA2, DCC, FOXP2, LINC02196, LINC02232",3,30.0,"AC073578.2, CASC15, CTNNA2, DCC, IL1RAPL2, LINC02196, LINC02232",1,10.0,"AC073578.2, CASC15, CTNNA2, DCC, FOXP2, IL1RAPL2, LINC02196, LINC02232, TOX"
L5 IT_2,10,"FSTL4, CASC15, PHACTR1, LRRK1, RORB, AC060765.2, AC016687.2, RXFP1, IPCEF1, IL1RAPL2",4,40.0,"AC016687.2, AC060765.2, CASC15, IPCEF1, RORB, RXFP1",7,70.0,"AC016687.2, AC060765.2, RXFP1",2,20.0,"AC016687.2, AC060765.2, CASC15, FSTL4, IL1RAPL2, IPCEF1, LRRK1, PHACTR1",4,40.0,"AC016687.2, AC060765.2, CASC15, IL1RAPL2, IPCEF1, PHACTR1"
L5 IT_3,10,"AC099517.1, TOX, PDE4D, CTNNA2, FOXP2, DACH1, RXFP1, OPCML, LRP1B, CPNE4",3,30.0,"AC099517.1, CPNE4, CTNNA2, FOXP2, OPCML, PDE4D, RXFP1",5,50.0,"AC099517.1, CPNE4, CTNNA2, FOXP2, RXFP1",4,40.0,"AC099517.1, CPNE4, CTNNA2, LRP1B, OPCML, PDE4D",1,10.0,"AC099517.1, CPNE4, CTNNA2, DACH1, FOXP2, LRP1B, OPCML, PDE4D, TOX"
L5 IT_5,10,"AC109466.1, PHACTR1, AC008415.1, TAFA1, AC060765.2, CASC15, AC073091.3, IL1RAPL2, LRRK1, KCNH7",3,30.0,"AC008415.1, AC060765.2, AC073091.3, AC109466.1, CASC15, KCNH7, TAFA1",4,40.0,"AC008415.1, AC060765.2, AC073091.3, AC109466.1, KCNH7, TAFA1",0,0.0,"AC008415.1, AC060765.2, AC073091.3, AC109466.1, CASC15, IL1RAPL2, KCNH7, LRRK1, PHACTR1, TAFA1",1,10.0,"AC008415.1, AC060765.2, AC073091.3, AC109466.1, CASC15, IL1RAPL2, KCNH7, PHACTR1, TAFA1"
L5 IT_6,10,"TAFA1, PHACTR1, AC109466.1, ARL15, AC008415.1, CADPS2, TRABD2A, AC021134.1, AL445207.1, LRRK1",2,20.0,"AC008415.1, AC021134.1, AC109466.1, AL445207.1, ARL15, CADPS2, TAFA1, TRABD2A",4,40.0,"AC008415.1, AC021134.1, AC109466.1, AL445207.1, CADPS2, TAFA1",0,0.0,"AC008415.1, AC021134.1, AC109466.1, AL445207.1, ARL15, CADPS2, LRRK1, PHACTR1, TAFA1, TRABD2A",1,10.0,"AC008415.1, AC021134.1, AC109466.1, AL445207.1, ARL15, CADPS2, PHACTR1, TAFA1, TRABD2A"
L5 IT_7,10,"PHACTR1, HS3ST2, CPNE4, CTNNA2, SORCS1, RYR2, CLSTN2, AC109466.1, PRUNE2, AC008415.1",3,30.0,"AC008415.1, AC109466.1, CPNE4, CTNNA2, HS3ST2, PRUNE2, RYR2",4,40.0,"AC008415.1, AC109466.1, CPNE4, CTNNA2, HS3ST2, PRUNE2",2,20.0,"AC008415.1, AC109466.1, CLSTN2, CPNE4, CTNNA2, PHACTR1, PRUNE2, RYR2",2,20.0,"AC008415.1, AC109466.1, CLSTN2, CPNE4, CTNNA2, PHACTR1, PRUNE2, RYR2"
L5/6 NP_1,10,"IFNG-AS1, AC068587.4, HTR2C, NPSR1-AS1, TRMT9B, TSHZ2, CRYM, SORCS2, CDH6, DIRAS2",4,40.0,"AC068587.4, CRYM, HTR2C, IFNG-AS1, NPSR1-AS1, TRMT9B",5,50.0,"AC068587.4, CRYM, HTR2C, IFNG-AS1, TRMT9B",3,30.0,"AC068587.4, CRYM, DIRAS2, IFNG-AS1, NPSR1-AS1, TRMT9B, TSHZ2",4,40.0,"AC068587.4, DIRAS2, IFNG-AS1, NPSR1-AS1, SORCS2, TRMT9B"
L5/6 NP_2,10,"AC068587.4, HTR2C, NPSR1-AS1, ASIC2, TSHZ2, CRYM, SORCS2, FER1L6-AS2, TLL1, TRMT9B",3,30.0,"AC068587.4, ASIC2, CRYM, FER1L6-AS2, HTR2C, NPSR1-AS1, TRMT9B",5,50.0,"AC068587.4, CRYM, FER1L6-AS2, HTR2C, TRMT9B",2,20.0,"AC068587.4, ASIC2, CRYM, FER1L6-AS2, NPSR1-AS1, TLL1, TRMT9B, TSHZ2",3,30.0,"AC068587.4, ASIC2, FER1L6-AS2, NPSR1-AS1, SORCS2, TLL1, TRMT9B"
L5/6 NP_3,10,"AC068587.4, HTR2C, COL24A1, TSHZ2, GHR, ASIC2, CRYM, SORCS2, NPSR1-AS1, CALCRL",3,30.0,"AC068587.4, ASIC2, CALCRL, CRYM, GHR, HTR2C, NPSR1-AS1",5,50.0,"AC068587.4, CALCRL, CRYM, GHR, HTR2C",4,40.0,"AC068587.4, ASIC2, COL24A1, CRYM, NPSR1-AS1, TSHZ2",4,40.0,"AC068587.4, ASIC2, COL24A1, GHR, NPSR1-AS1, SORCS2"
L5/6 NP_4,10,"IFNG-AS1, HTR2C, TSHZ2, AC068587.4, ASIC2, SEMA5B, LRRC4C, TLL1, NPSR1, SORCS2",3,30.0,"AC068587.4, ASIC2, HTR2C, IFNG-AS1, LRRC4C, NPSR1, SEMA5B",4,40.0,"AC068587.4, HTR2C, IFNG-AS1, LRRC4C, NPSR1, SEMA5B",3,30.0,"AC068587.4, ASIC2, IFNG-AS1, LRRC4C, SEMA5B, TLL1, TSHZ2",2,20.0,"AC068587.4, ASIC2, IFNG-AS1, LRRC4C, NPSR1, SEMA5B, SORCS2, TLL1"
L5/6 NP_6,10,"HTR2C, AC068587.4, TSHZ2, ASIC2, TLL1, KCNB2, FER1L6-AS2, IFNG-AS1, CRYM, MPP7",2,20.0,"AC068587.4, ASIC2, CRYM, FER1L6-AS2, HTR2C, IFNG-AS1, KCNB2, MPP7",4,40.0,"AC068587.4, CRYM, FER1L6-AS2, HTR2C, IFNG-AS1, MPP7",2,20.0,"AC068587.4, ASIC2, CRYM, FER1L6-AS2, IFNG-AS1, KCNB2, TLL1, TSHZ2",3,30.0,"AC068587.4, ASIC2, FER1L6-AS2, IFNG-AS1, KCNB2, MPP7, TLL1"
L6 CT_1,10,"RALYL, SEMA3E, CLSTN2, AC090578.1, TRPM3, ZFPM2, HS3ST4, FOXP2, ADAMTSL1, LRP1B",5,50.0,"AC090578.1, FOXP2, HS3ST4, RALYL, ZFPM2",7,70.0,"AC090578.1, FOXP2, RALYL",2,20.0,"AC090578.1, ADAMTSL1, CLSTN2, HS3ST4, LRP1B, RALYL, SEMA3E, ZFPM2",1,10.0,"AC090578.1, ADAMTSL1, CLSTN2, FOXP2, LRP1B, RALYL, SEMA3E, TRPM3, ZFPM2"
L6 CT_2,10,"ADAMTSL1, SEMA3E, RALYL, HS3ST4, COL24A1, DLC1, AC090578.1, TRPM3, KHDRBS3, SEC24D",6,60.0,"AC090578.1, HS3ST4, RALYL, SEC24D",8,80.0,"AC090578.1, RALYL",1,10.0,"AC090578.1, ADAMTSL1, COL24A1, DLC1, HS3ST4, KHDRBS3, RALYL, SEC24D, SEMA3E",1,10.0,"AC090578.1, ADAMTSL1, COL24A1, DLC1, KHDRBS3, RALYL, SEC24D, SEMA3E, TRPM3"
L6 CT_3,10,"SEMA3E, ADAMTSL1, COL24A1, FRMPD4, RXFP1, TLE4, KHDRBS3, HS3ST4, MDGA2, HS3ST2",5,50.0,"FRMPD4, HS3ST2, HS3ST4, MDGA2, RXFP1",8,80.0,"HS3ST2, RXFP1",2,20.0,"ADAMTSL1, COL24A1, FRMPD4, HS3ST4, KHDRBS3, MDGA2, SEMA3E, TLE4",3,30.0,"ADAMTSL1, COL24A1, FRMPD4, KHDRBS3, MDGA2, SEMA3E, TLE4"
L6 CT_4,10,"ZFPM2, FRMPD4, NAV3, HS3ST2, ANO3, SEC24D, ADAMTSL1, SEMA3E, HS3ST4, KHDRBS3",3,30.0,"ANO3, FRMPD4, HS3ST2, HS3ST4, NAV3, SEC24D, ZFPM2",8,80.0,"HS3ST2, NAV3",2,20.0,"ADAMTSL1, FRMPD4, HS3ST4, KHDRBS3, NAV3, SEC24D, SEMA3E, ZFPM2",3,30.0,"ADAMTSL1, FRMPD4, KHDRBS3, NAV3, SEC24D, SEMA3E, ZFPM2"
L6 IT Car3_1,10,"CUX1, SORBS2, AC110023.1, SNTB1, AC091078.1, KCNIP4, ERC2, NWD2, ITGA11, SEMA6D",4,40.0,"AC091078.1, AC110023.1, CUX1, ERC2, NWD2, SEMA6D",6,60.0,"AC091078.1, AC110023.1, CUX1, ERC2",0,0.0,"AC091078.1, AC110023.1, CUX1, ERC2, ITGA11, KCNIP4, NWD2, SEMA6D, SNTB1, SORBS2",1,10.0,"AC091078.1, AC110023.1, CUX1, ERC2, ITGA11, KCNIP4, SEMA6D, SNTB1, SORBS2"
L6 IT Car3_2,10,"SORBS2, ERC2, NTNG2, KCNIP4, CACNA1E, ZNF804B, KCTD16, RGS12, TMEM132D, AC110023.1",6,60.0,"AC110023.1, CACNA1E, ERC2, KCTD16",7,70.0,"AC110023.1, CACNA1E, ERC2",1,10.0,"AC110023.1, CACNA1E, ERC2, KCNIP4, KCTD16, RGS12, SORBS2, TMEM132D, ZNF804B",1,10.0,"AC110023.1, CACNA1E, ERC2, KCNIP4, KCTD16, RGS12, SORBS2, TMEM132D, ZNF804B"
L6 IT Car3_3,10,"ERC2, KCNIP4, KCTD16, AC092691.1, NTNG2, CADPS2, SORBS2, ITGB8, PDE1A, LSAMP",4,40.0,"AC092691.1, CADPS2, ERC2, ITGB8, KCTD16, LSAMP",6,60.0,"AC092691.1, CADPS2, ERC2, LSAMP",1,10.0,"AC092691.1, CADPS2, ERC2, ITGB8, KCNIP4, KCTD16, LSAMP, PDE1A, SORBS2",1,10.0,"AC092691.1, CADPS2, ERC2, ITGB8, KCNIP4, KCTD16, LSAMP, PDE1A, SORBS2"
L6 IT_1,10,"AC019211.1, AC067956.1, AC093607.1, SLIT3, CBLN2, AC034268.2, AL117329.1, PTPRK, CTNNA2, SLC35F3",2,20.0,"AC019211.1, AC034268.2, AC067956.1, AC093607.1, AL117329.1, CBLN2, CTNNA2, PTPRK",2,20.0,"AC019211.1, AC034268.2, AC067956.1, AC093607.1, AL117329.1, CBLN2, CTNNA2, PTPRK",1,10.0,"AC019211.1, AC034268.2, AC067956.1, AC093607.1, AL117329.1, CBLN2, CTNNA2, PTPRK, SLC35F3",1,10.0,"AC019211.1, AC034268.2, AC067956.1, AC093607.1, AL117329.1, CBLN2, CTNNA2, PTPRK, SLC35F3"
L6 IT_2,10,"SLC35F3, CTNNA2, MYO1D, AC019211.1, LRP1B, SYN3, AC067956.1, MCTP1, ADAMTS3, SLIT3",4,40.0,"AC019211.1, AC067956.1, CTNNA2, MCTP1, MYO1D, SYN3",6,60.0,"AC019211.1, AC067956.1, CTNNA2, MYO1D",2,20.0,"AC019211.1, AC067956.1, ADAMTS3, CTNNA2, LRP1B, MCTP1, SLC35F3, SYN3",2,20.0,"AC019211.1, AC067956.1, CTNNA2, LRP1B, MCTP1, MYO1D, SLC35F3, SYN3"
L6b_1,10,"AL391117.1, FRMPD4, CCBE1, SDK2, LMO3, HCRTR2, ADAMTSL1, VCAN, PDZRN4, ARPP21",4,40.0,"AL391117.1, ARPP21, FRMPD4, HCRTR2, PDZRN4, SDK2",5,50.0,"AL391117.1, ARPP21, HCRTR2, PDZRN4, SDK2",3,30.0,"ADAMTSL1, AL391117.1, ARPP21, FRMPD4, LMO3, PDZRN4, VCAN",1,10.0,"ADAMTSL1, AL391117.1, ARPP21, CCBE1, FRMPD4, HCRTR2, LMO3, PDZRN4, SDK2"
L6b_2,10,"FRMPD4, MDGA2, ROBO2, CCBE1, ZFHX3, LMO3, ARPP21, MIR137HG, ZFPM2, ADD3-AS1",2,20.0,"ADD3-AS1, ARPP21, FRMPD4, MDGA2, MIR137HG, ROBO2, ZFHX3, ZFPM2",8,80.0,"ADD3-AS1, ARPP21",2,20.0,"ADD3-AS1, ARPP21, FRMPD4, LMO3, MDGA2, MIR137HG, ROBO2, ZFPM2",0,0.0,"ADD3-AS1, ARPP21, CCBE1, FRMPD4, LMO3, MDGA2, MIR137HG, ROBO2, ZFHX3, ZFPM2"
L6b_3,10,"MDFIC, TLE4, CDH10, EPHA5, ZFHX3, DPP4, KIAA1217, HS3ST4, SORCS3, NRXN1",2,20.0,"CDH10, EPHA5, HS3ST4, KIAA1217, MDFIC, NRXN1, SORCS3, ZFHX3",7,70.0,"EPHA5, KIAA1217, MDFIC",3,30.0,"CDH10, EPHA5, HS3ST4, KIAA1217, NRXN1, SORCS3, TLE4",1,10.0,"CDH10, DPP4, EPHA5, KIAA1217, MDFIC, NRXN1, SORCS3, TLE4, ZFHX3"
L6b_4,10,"HS3ST4, LMO3, ZFHX3, CNTNAP5, PDZRN4, CDH10, PCSK5, CCBE1, SORCS3, TLE4",4,40.0,"CDH10, HS3ST4, PCSK5, PDZRN4, SORCS3, ZFHX3",9,90.0,PDZRN4,2,20.0,"CDH10, CNTNAP5, HS3ST4, LMO3, PCSK5, PDZRN4, SORCS3, TLE4",1,10.0,"CCBE1, CDH10, CNTNAP5, LMO3, PCSK5, PDZRN4, SORCS3, TLE4, ZFHX3"
L6b_5,10,"ZFHX3, MDFIC, HS3ST4, CELF2, STXBP5, CNTNAP5, ERG, CDH10, TLE4, MARCH1",3,30.0,"CDH10, CELF2, HS3ST4, MARCH1, MDFIC, STXBP5, ZFHX3",7,70.0,"MARCH1, MDFIC, STXBP5",4,40.0,"CDH10, CELF2, CNTNAP5, HS3ST4, MARCH1, TLE4",1,10.0,"CDH10, CELF2, CNTNAP5, ERG, MARCH1, MDFIC, STXBP5, TLE4, ZFHX3"
