supertype,subclass,top5_in_panel,top5_genes,top10_in_panel,top10_genes,top20_in_panel,top20_genes,median_depth_merfish,median_depth_xenium,n_cells_xenium,depth_range_subclass,min_separation,layer_distinct,crumblr_logFC,crumblr_fdr,density_logFC,density_fdr,confidence
L6 CT_3,L6 CT,1,MCTP2,1,MCTP2,3,MCTP2; COL12A1; RXFP1,0.7987905905823,0.7982121215849427,2262.0,0.05793215867367285,0.011314626191379795,False,-0.168335647573415,0.626535660268612,0.0087700675329654,0.9694148485910544,LOW
Pvalb_8,Pvalb,0,,1,SYNPR,2,SYNPR; SST,0.2157951176396511,0.2726364468718239,137.0,0.5611991434268891,0.07461563370823882,False,0.142850199745872,0.658368514144141,0.1295183110989346,0.7655696255285502,LOW
L2/3 IT_7,L2/3 IT,0,,1,MEIS2,1,MEIS2,0.2054715008607041,0.2168334174132579,10403.0,0.2646337545583066,0.007096062578636292,False,0.128593928043207,0.662193052040585,0.2044780268841515,0.606651980162091,LOW
Chandelier_1,Chandelier,0,,0,,1,BRINP3,0.4785864511698124,0.5359745208094727,4121.0,0.2088976454859776,0.2088976454859776,True,-0.104787247416565,0.676775622355654,-0.079243475161628,0.8642047814424221,MEDIUM
L2/3 IT_1,L2/3 IT,1,PDGFD,1,PDGFD,2,PDGFD; MEIS2,0.1826441573313118,0.1913723277664937,32604.0,0.2646337545583066,0.015731280950755988,False,-0.0712995147706615,0.676775622355654,-0.0233462410186003,0.997552027056764,LOW
L6 CT_2,L6 CT,0,,0,,1,TESPA1,0.8110074353465027,0.8168891723678836,2253.0,0.05793215867367285,0.0009022185728229104,False,0.135003993110727,0.676775622355654,0.2449284551535545,0.8642047814424221,LOW
Sst_20,Sst,0,,1,CDH12,2,CDH12; TAC1,0.3072222781690367,0.2953085202956327,3248.0,0.6219978107039386,0.007776216104419698,False,0.0771954623386335,0.683286499301746,0.1742881691429175,0.606651980162091,LOW
Vip_14,Vip,0,,0,,1,CXCL14,0.3138310886470561,0.3355437765539657,176.0,0.38363344324376525,0.013694556270606784,False,-0.114654287704771,0.684487797948646,-0.0359532802571745,0.9609497550997438,LOW
L5/6 NP_4,L5/6 NP,0,,1,BRINP3,1,BRINP3,0.6585462511442799,0.631922012502875,1925.0,0.010373739005344107,0.0011508324881738252,False,-0.0855473427672994,0.706010476528917,0.0208781553256503,0.9523137044794024,LOW
Sst_22,Sst,0,,0,,1,STK32B,0.2454501232514271,0.2620328378430293,2296.0,0.6219978107039386,0.03611455028446389,False,-0.0738585705239524,0.706010476528917,0.0168490328935485,0.9694148485910544,LOW
L5 IT_5,L5 IT,1,PLCH1,1,PLCH1,1,PLCH1,0.5935674471517951,0.5837928919238106,11681.0,0.10588196586141585,0.00501343102691032,False,0.0605944026789413,0.706702193757554,0.1301363726871717,0.2571361304575083,LOW
L5 ET_1,L5 ET,0,,0,,0,,0.5686257160258493,0.541656032804253,5621.0,0.03932754421322315,0.03932754421322315,False,-0.108933681871959,0.706702193757554,-0.0696283377324507,0.8252159283291751,LOW
Oligo_3,Oligodendrocyte,0,,0,,1,OPALIN,0.6289101006916069,0.5766587493697262,11694.0,0.04868738075866763,0.028190183644687505,False,0.0871010562262345,0.707581297391613,0.2750766091591015,0.4287509793869548,LOW
L5/6 NP_6,L5/6 NP,0,,0,,0,,0.6525322493166984,0.6189438340466471,988.0,0.010373739005344107,0.0011397174849062663,False,0.0853316451737896,0.714507684528337,0.2402383615721437,0.5965230873579532,LOW
L2/3 IT_5,L2/3 IT,1,POU6F2,2,POU6F2; RORB,4,POU6F2; RORB; NTNG1; KCNH5,0.4173395615731466,0.3688397879715026,4737.0,0.2646337545583066,0.0016739956144686818,False,0.0695263103072976,0.742606137002684,0.1551843474257757,0.8274176710394193,MEDIUM
Lamp5_4,Lamp5,0,,1,RELN,2,RELN; POU6F2,0.0948547282975379,0.1251105180692154,1623.0,0.3854888231913217,0.010559958530436703,False,-0.0719345323145944,0.742606137002684,0.0131304605520495,0.9609497550997438,LOW
Sst Chodl_1,Sst Chodl,1,THSD4,3,THSD4; ALK; SORCS1,4,THSD4; ALK; SORCS1; NDST4,0.4816466465750201,0.6200671793251421,255.0,0.11956020620290742,0.11956020620290742,True,-0.113204931903,0.742606137002684,0.1389344855031328,0.8676501713961946,HIGH
