supertype,unrestricted_markers,panel_markers,n_overlap,overlap_genes
Astro_1,"ADGRV1, AQP4, DTNA, GLIS3, GPC5, GPM6A, LINC00499, OBI1-AS1, SLC1A2, SLC1A3","APOE, AQP4, ARHGAP24, FGFR3, MEIS2, MGST1, PTPRZ1, RYR3, SPON1, TTYH1",1,AQP4
Astro_2,"ADGRV1, COL5A3, DTNA, GPC5, GPM6A, LINC00299, OBI1-AS1, PREX2, SLC1A2, SLC1A3","APOE, AQP4, ARHGAP24, FGFR3, MEIS2, PTPRZ1, RORB, RYR3, SPON1, TTYH1",0,
Astro_3,"AC012405.1, ADGRV1, CTNND2, GFAP, GLIS3, GPM6A, LINC00609, NKAIN3, OBI1-AS1, SLC1A2","APOE, AQP4, FGFR3, MEIS2, PTPRZ1, RYR3, SOX2, SPON1, TTYH1, VCAN",0,
Astro_4,"ADGRV1, AHCYL2, ARHGEF4, DCLK2, DPP10, DTNA, MIR99AHG, MSI2, SLC38A1, WDR49","APOE, AQP4, FGFR3, MEIS2, PLCE1, PTPRZ1, SEMA5A, SOX2, SPON1, VCAN",0,
Astro_5,"ADGRV1, AHCYL2, ARHGEF4, DPP10, DTNA, LINC00299, OBI1-AS1, SLC1A2, TNIK, ZNRF3","APOE, AQP4, FGFR2, FGFR3, MEIS2, MGST1, PTPRZ1, RYR3, SPON1, TTYH1",0,
Chandelier_1,"CA8, CALN1, CNTN5, DPP10, RORA, SDK1, SLC9A9, TMEM132D, TRPS1, ZNF385D","ALK, ANK1, CNTNAP3B, MYO16, NPNT, PVALB, SDK1, TENM1, TMEM132C, UNC5B",1,SDK1
Chandelier_2,"AC046195.1, AC046195.2, ALK, CA8, COL12A1, GALNTL6, RORA, THSD7A, TRPS1, ZNF385D","ALK, ANK1, CDH6, COL12A1, MYO16, NPNT, PTCHD4, SDK1, TMEM132C, UNC5B",2,"ALK, COL12A1"
Endo_2,"A2M, ABCB1, ATP10A, COBLL1, ESYT2, FLT1, SLC7A1, SLC7A5, ST6GALNAC3, THSD4","CEMIP2, FLT1, IFITM3, KLF2, NOTCH1, NRP1, PECAM1, PHLDB2, RNF144B, THSD4",2,"FLT1, THSD4"
L2/3 IT_1,"AC011287.1, AC021613.1, CBLN2, DGKB, LINC01250, LINC01378, LINC02306, LRRTM4, PDZD2, TESPA1","ADAMTS3, CDH12, CUX2, FSTL4, LAMP5, MEIS2, PDGFD, RFTN1, SLIT3, TESPA1",1,TESPA1
L2/3 IT_10,"AC008696.2, AC011287.1, AC013287.1, AL157944.1, ENC1, HOPX, LINC00507, LINC01331, PDZD2, TESPA1","ADAMTS3, ANO3, CRYM, CUX2, FSTL4, NWD2, RFTN1, SLIT3, TESPA1, ZBBX",1,TESPA1
L2/3 IT_12,"AC011287.1, AJ009632.2, DGKB, HS6ST3, LINC00507, LINC01378, LINC02822, LRRTM4, RFX3, TESPA1","ADAMTS3, ANO3, CUX2, HTR2A, NTNG1, NWD2, OTOGL, SLIT3, TESPA1, ZBBX",1,TESPA1
L2/3 IT_13,"AJ009632.2, ATRNL1, CA10, COL5A2, ENC1, FSTL4, GLIS3, LINC02296, NECAB1, TESPA1","ANO3, CRYM, CUX2, FSTL4, HTR2A, NTNG1, RFTN1, RIT2, RORB, TESPA1",2,"FSTL4, TESPA1"
L2/3 IT_2,"ACVR1C, ADGRV1, CBLN2, CSMD1, DGKB, KCNQ5, MOXD1, PSD3, SLIT3, TESPA1","CALCRL, CUX2, MEIS2, NNAT, PDGFD, SEMA5A, SLC17A7, SLIT3, SNTB2, TESPA1",2,"SLIT3, TESPA1"
L2/3 IT_3,"AJ009632.2, ARL15, CA10, COBLL1, COL5A2, IQCJ-SCHIP1, LINC02296, NTNG1, RORB, SLC38A11","CUX2, KCNH5, LAMA2, LRRK1, NTNG1, POU6F2, RIT2, RORB, SPHKAP, TRHDE",2,"NTNG1, RORB"
L2/3 IT_5,"AJ009632.2, AP000829.1, CA10, COL5A2, GLIS3, IQCJ-SCHIP1, LINC02296, NTNG1, R3HDM1, TAFA1","ANO3, CRYM, CUX2, KCNH5, LRRK1, NTNG1, POU6F2, RIT2, RORB, TESPA1",1,NTNG1
L2/3 IT_6,"AC008574.1, AC011287.1, ADAMTS3, DGKB, ENC1, LINC00507, LINC01331, LINC02306, LRRTM4, PDZD2","ADAMTS3, ANO3, CUX2, FSTL4, LAMP5, MEIS2, NWD2, RFTN1, SLIT3, TESPA1",1,ADAMTS3
L2/3 IT_7,"AC011287.1, CBLN2, CCBE1, ENC1, ITPR2, LINC01331, NECTIN3, PDZD2, R3HDM1, SERPINE2","ADAMTS3, ANO3, BRINP3, CDH12, CUX2, MEIS2, NWD2, OTOGL, SLIT3, TESPA1",0,
L2/3 IT_8,"AC011287.1, CBLN2, ENC1, LINC00507, LINC01331, LINC01378, LINC02822, NECTIN3, PDZD2, TESPA1","ADAMTS3, ANO3, CUX2, MEIS2, NWD2, SLC17A7, SLIT3, SNTB2, TESPA1, ZBBX",1,TESPA1
L4 IT_1,"AC008415.1, AC073091.3, AC109466.1, ADAMTSL1, CADPS2, CASC15, LRRK1, PHACTR2, RORB, TLL1","BRINP3, FSTL4, HS3ST2, HS3ST4, HTR2A, LRRK1, POU6F2, RORB, RXFP1, SLIT3",2,"LRRK1, RORB"
L4 IT_2,"AC073091.3, AL117329.1, COBLL1, DCC, FSTL4, LINC01725, RORB, SCHLAP1, SLC22A10, TSHZ2","FSTL4, HS3ST2, KCNH5, NWD2, POU6F2, RFTN1, RORB, SLC17A7, TSHZ2, VWC2L",3,"FSTL4, RORB, TSHZ2"
L4 IT_3,"AC073365.1, ANO3, COBLL1, DCC, EFNA5, POU6F2, RORB, SCHLAP1, SLC38A11, TSHZ2","ANO3, FSTL4, KCNH5, LAMA2, OTOGL, PLCH1, POU6F2, RIT2, RORB, TSHZ2",4,"ANO3, POU6F2, RORB, TSHZ2"
L4 IT_4,"AC034268.2, AC073365.1, CPNE4, LINC01821, OTOGL, PLCH1, POU6F2, PTPRD, RMST, RORB","ADAMTS16, ANO3, KCNH5, OTOGL, PHLDB2, PLCH1, POU6F2, RORB, TRHDE, TSHZ2",4,"OTOGL, PLCH1, POU6F2, RORB"
L5 ET_1,"DGKH, ERG, ESRRG, GRM8, KCNN2, ONECUT1, PTCHD1-AS, SEMA3D, SORCS1, TAFA1","CRYM, HS3ST2, HTR2C, MEIS2, NTNG1, PCSK6, RIT2, SLIT3, SORCS1, TESPA1",1,SORCS1
L5 ET_2,"CABP1, CHST8, COL24A1, ESRRG, GRM8, KCNN2, LINC00326, RIT2, TAFA1, VAT1L","ADRA1A, CRYM, HS3ST2, NRP1, NTNG1, PCSK6, RIT2, SLIT3, SORCS1, TESPA1",1,RIT2
L5 IT_1,"AC073578.2, CASC15, CTNNA2, DCC, FOXP2, IL1RAPL2, LINC02196, LINC02232, RORB, TOX","CEMIP, FSTL4, HS3ST2, KCNH5, NWD2, OTOGL, POU6F2, RORB, RXFP1, TSHZ2",1,RORB
L5 IT_2,"AC016687.2, AC060765.2, CASC15, FSTL4, IL1RAPL2, IPCEF1, LRRK1, PHACTR1, RORB, RXFP1","COL12A1, FSTL4, HS3ST2, HS3ST4, HTR2A, LRRK1, RORB, RXFP1, SORCS1, TSHZ2",4,"FSTL4, LRRK1, RORB, RXFP1"
L5 IT_3,"AC099517.1, CPNE4, CTNNA2, DACH1, FOXP2, LRP1B, OPCML, PDE4D, RXFP1, TOX","CEMIP, HS3ST2, KCNH5, NPFFR2, NTNG1, POU6F2, RFTN1, RORB, RXFP1, THEMIS",1,RXFP1
L5 IT_5,"AC008415.1, AC060765.2, AC073091.3, AC109466.1, CASC15, IL1RAPL2, KCNH7, LRRK1, PHACTR1, TAFA1","ANO3, FSTL4, HS3ST2, HTR2A, LRRK1, NWD2, POU6F2, RORB, RXFP1, SLIT3",1,LRRK1
L5 IT_6,"AC008415.1, AC021134.1, AC109466.1, AL445207.1, ARL15, CADPS2, LRRK1, PHACTR1, TAFA1, TRABD2A","FSTL4, HS3ST2, HTR2A, LRRK1, NWD2, OTOGL, POU6F2, RORB, RXFP1, SLIT3",1,LRRK1
L5 IT_7,"AC008415.1, AC109466.1, CLSTN2, CPNE4, CTNNA2, HS3ST2, PHACTR1, PRUNE2, RYR2, SORCS1","ANO3, FSTL4, HS3ST2, HTR2A, LRRK1, RORB, RXFP1, SLIT3, SORCS1, ZDHHC23",2,"HS3ST2, SORCS1"
L5/6 NP_1,"AC068587.4, CDH6, CRYM, DIRAS2, HTR2C, IFNG-AS1, NPSR1-AS1, SORCS2, TRMT9B, TSHZ2","CALCRL, CD36, CDH6, COL12A1, CRYM, HTR2C, MEIS2, NXPH2, SPON1, TSHZ2",4,"CDH6, CRYM, HTR2C, TSHZ2"
