supertype,rank,gene,score,logfoldchange,pval_adj
Endo_2,7,ABCG2,14.280649,10.818882,1.734115478134786e-43
Endo_2,8,PRKCH,14.202073,7.6425023,4.745541377114517e-43
Endo_2,9,CLDN5,14.089961,12.9149065,2.1023235004028938e-42
Endo_2,10,MECOM,14.081564,11.326733,2.1524512349195128e-42
L2/3 IT_1,1,PDGFD,30.138227,4.262783,7.347686542005019e-196
L2/3 IT_1,2,R3HDM1,29.711258,1.6295794,1.3191151898690286e-190
L2/3 IT_1,3,CDH22,29.19066,2.8878546,4.0784035663067227e-184
L2/3 IT_1,4,MEIS2,28.913513,3.053192,9.69370921344004e-181
L2/3 IT_1,5,MAN1A1,28.345999,2.4161177,9.005085077049922e-174
L2/3 IT_1,6,ART3,27.80394,3.8023539,3.1110757999207695e-167
L2/3 IT_1,7,CUX2,27.601212,2.7440965,7.381801764978671e-165
L2/3 IT_1,8,SLIT3,27.535578,2.5751026,3.953892125556005e-164
L2/3 IT_1,9,BTBD9,27.04089,1.2745074,2.6081867560022895e-158
L2/3 IT_1,10,NECTIN3,26.912563,2.145771,6.834253189512774e-157
L2/3 IT_2,1,PSD3,14.68874,1.9812194,3.024094683222485e-45
L2/3 IT_2,2,SLIT3,14.65457,2.8330307,3.024094683222485e-45
L2/3 IT_2,3,SNTB2,14.471779,2.226206,2.924179877066822e-44
L2/3 IT_2,4,R3HDM1,13.804464,1.5164648,2.300604376618965e-40
L2/3 IT_2,5,SH3RF2,13.59045,4.717539,3.651659528740622e-39
L2/3 IT_2,6,SMAD3,13.440572,2.5481105,2.399100583633844e-38
L2/3 IT_2,7,BTBD9,13.216329,1.2452154,4.239471058720013e-37
L2/3 IT_2,8,SATB2,13.203064,2.5026836,4.494525927513555e-37
L2/3 IT_2,9,PRKCB,13.13874,1.6061965,9.483397654733962e-37
L2/3 IT_2,10,NNAT,12.973138,2.6851614,6.953593331732508e-36
L2/3 IT_3,1,COL5A2,36.904716,4.8944225,1.8642605013671752e-294
L2/3 IT_3,2,COBLL1,35.38329,4.1372433,7.409683771061657e-271
