n_addon,total_genes,total_coverage,mean_coverage,median_coverage,types_ge5,types_ge3,types_all10,gene_added,mean_eff_weighted
115,381,738,5.765625,6.0,91,120,3,NPSR1-AS1,1.8534559498977305
116,382,741,5.7890625,6.0,91,122,3,SORBS2,1.8583227947175684
117,383,744,5.8125,6.0,91,122,3,MARCH1,1.867691492473814
118,384,747,5.8359375,6.0,92,122,3,TRPC3,1.8770601902300597
119,385,750,5.859375,6.0,95,122,3,MDFIC,1.8864288879863051
120,386,753,5.8828125,6.0,97,122,3,DSCAM,1.8914521704918705
121,387,756,5.90625,6.0,97,122,3,IFNG-AS1,1.9008208682481162
122,388,759,5.9296875,6.0,98,122,3,GALNT17,1.9101895660043617
123,389,762,5.953125,6.0,98,122,4,TIAM1,1.9195582637606072
124,390,765,5.9765625,6.0,99,122,5,CACNA2D3,1.9258631780360205
125,391,768,6.0,6.0,99,122,5,GRIN2A,1.9327281300708004
126,392,771,6.0234375,6.0,99,122,5,SLC6A1,1.9561656300708004
127,393,774,6.046875,6.0,100,122,5,GALNTL6,1.9585348477342022
128,394,777,6.0703125,6.0,100,122,5,DCC,1.9679035454904479
129,395,780,6.09375,6.0,101,122,5,CSMD1,1.9772722432466936
130,396,783,6.1171875,6.0,102,122,5,UNC5D,1.9822213394262573
131,397,786,6.140625,6.0,102,123,5,ERC2,1.9915900371825028
132,398,789,6.1640625,6.0,104,123,5,KCNIP4,1.995472833614687
133,399,792,6.1875,6.0,104,123,5,NCAM2,1.9979422369964763
134,400,795,6.2109375,6.0,104,123,5,FREM1,1.9999241410250432
135,401,798,6.234375,6.0,104,123,5,LINC02296,2.009292838781289
136,402,801,6.2578125,6.0,104,123,5,COL21A1,2.014575637442617
137,403,804,6.28125,6.0,105,123,5,LAMA3,2.0249666145693546
138,404,807,6.3046875,6.0,105,123,5,FBXL7,2.0373769615069417
139,405,810,6.328125,6.0,105,123,5,KIRREL3,2.046745659263187
140,406,813,6.3515625,6.0,105,124,5,LRMDA,2.0561143570194327
141,407,816,6.375,6.0,105,124,6,PHACTR2,2.0596080558406835
142,408,819,6.3984375,6.5,105,124,6,LINC01378,2.06102552502011
143,409,822,6.421875,7.0,105,124,6,DLC1,2.0675424756423086
144,410,825,6.4453125,7.0,105,125,6,TNR,2.0754236969674507
145,411,828,6.46875,7.0,105,125,6,KIAA1217,2.084792394723696
146,412,831,6.4921875,7.0,105,125,6,CDH10,2.0917895415171164
147,413,834,6.515625,7.0,106,125,6,LMO3,2.098492930443057
148,414,836,6.53125,7.0,107,125,6,PDE4D,2.100704759805663
149,415,838,6.546875,7.0,107,126,6,KCNN2,2.106950558309827
150,416,840,6.5625,7.0,107,127,6,PCDH7,2.1109232313050255
151,417,842,6.578125,7.0,107,127,6,NECTIN3,2.117169029809189
152,418,844,6.59375,7.0,107,127,6,PLCXD3,2.1209640101684264
153,419,846,6.609375,7.0,107,127,6,ZMAT4,2.124942722570354
154,420,848,6.625,7.0,108,127,6,LRP8,2.1311885210745176
155,421,850,6.640625,7.0,109,127,6,KCTD8,2.1374343195786816
156,422,852,6.65625,7.0,109,127,7,MDGA2,2.1392337587227086
157,423,854,6.671875,7.0,109,127,7,PAM,2.145479557226872
158,424,856,6.6875,7.0,109,127,7,AC090578.1,2.1517253557310356
159,425,858,6.703125,7.0,109,127,7,AC060765.2,2.1579711542351996
160,426,860,6.71875,7.0,109,127,7,AL136114.1,2.1642169527393635
161,427,862,6.734375,7.0,109,127,7,SRRM4,2.168014567426013
162,428,864,6.75,7.0,109,127,7,LINC00299,2.170660163467795
163,429,866,6.765625,7.0,109,127,7,CACNA2D1,2.174539967423823
164,430,868,6.78125,7.0,109,127,7,ARPP21,2.1807857659279866
165,431,870,6.796875,7.0,109,127,7,IQGAP2,2.1870315644321505
166,432,872,6.8125,7.0,109,127,7,SLC22A3,2.1946755481311495
167,433,874,6.828125,7.0,109,127,8,FRAS1,2.1964065843288587
168,434,876,6.84375,7.0,110,127,8,SRGAP2,2.201381451732418
169,435,878,6.859375,7.0,111,127,8,ZBTB20,2.207627250236582
170,436,880,6.875,7.0,111,127,8,AL117329.1,2.2138730487407456
171,437,882,6.890625,7.0,112,127,9,PHLPP1,2.220118847244909
172,438,884,6.90625,7.0,112,127,9,XYLT1,2.225198550329865
173,439,886,6.921875,7.0,112,127,9,ANO4,2.231444348834029
174,440,888,6.9375,7.0,112,127,9,AC073365.1,2.237690147338193
175,441,890,6.953125,7.0,112,127,9,SLC38A11,2.2439375601609153
176,442,892,6.96875,7.0,112,127,9,CA8,2.2489842933150257
177,443,894,6.984375,7.0,112,127,10,LINC02822,2.255230091819189
178,444,896,7.0,7.0,113,127,10,TENM3,2.2585154696304794
179,445,898,7.015625,7.0,113,127,10,KLF12,2.2610434942627435
180,446,900,7.03125,7.0,113,127,10,ATP1A2,2.2672892927669075
181,447,902,7.046875,7.0,113,127,10,NELL1,2.2735350912710715
182,448,904,7.0625,7.0,113,127,10,CNTNAP5,2.2772274686559513
183,449,906,7.078125,7.0,113,127,10,RGS5,2.2928524686559513
184,450,908,7.09375,7.0,114,127,10,AHCYL2,2.296611507610727
185,451,910,7.109375,7.0,114,127,11,UNC13C,2.2985315499055274
186,452,912,7.125,7.0,114,127,11,ARHGEF4,2.301384001554438
187,453,914,7.140625,7.0,115,127,11,PLXDC2,2.3054976786095915
188,454,916,7.15625,7.5,115,127,11,CCNH,2.311743477113755
189,455,918,7.171875,7.5,115,127,11,MEF2A,2.3179892756179186
190,456,920,7.1875,7.5,117,127,11,RGS12,2.3233808890523284
191,457,922,7.203125,8.0,117,127,12,EYS,2.323941056509538
192,458,924,7.21875,8.0,117,127,12,LINC02232,2.330186855013702
193,459,926,7.234375,8.0,117,127,12,NR3C2,2.336432653517866
194,460,928,7.25,8.0,117,127,12,TRMT9B,2.3426784520220294
195,461,930,7.265625,8.0,117,127,12,LHFPL3,2.3489242505261934
196,462,932,7.28125,8.0,117,127,12,SCHLAP1,2.355170049030357
197,463,934,7.296875,8.0,117,127,12,KMO,2.3569538994894703
198,464,936,7.3125,8.0,117,127,12,TMEM132D,2.3597364561535725
199,465,938,7.328125,8.0,117,127,13,TRPS1,2.364993253821254
200,466,940,7.34375,8.0,117,127,13,LINC02306,2.371239052325418
201,467,942,7.359375,8.0,117,127,14,CCNG2,2.3760505018647953
202,468,944,7.375,8.0,117,127,14,KCTD16,2.378486079457266
203,469,946,7.390625,8.0,118,127,14,NR2F2-AS1,2.3847318779614293
204,470,948,7.40625,8.0,119,127,14,AC034268.2,2.3909776764655932
205,471,950,7.421875,8.0,120,127,14,ESRRG,2.393078131407067
206,472,952,7.4375,8.0,120,127,14,KCNMB2,2.399323929911231
207,473,954,7.453125,8.0,120,127,14,GABRG3,2.405569728415395
208,474,956,7.46875,8.0,120,127,14,WWP1,2.4118155269195585
209,475,958,7.484375,8.0,120,127,14,TMTC2,2.418061325423722
210,476,960,7.5,8.0,120,127,15,FER1L6-AS2,2.424307123927886
211,477,962,7.515625,8.0,120,127,15,SORL1,2.4321654967822566
212,478,964,7.53125,8.0,121,127,15,AC019211.1,2.43841129528642
213,479,966,7.546875,8.0,121,127,15,COL19A1,2.4404382694963607
214,480,968,7.5625,8.0,121,127,15,DOCK4,2.4466840680005246
215,481,970,7.578125,8.0,121,127,15,PDE4B,2.452929866504688
216,482,972,7.59375,8.0,121,127,16,NETO1,2.4591756650088517
217,483,974,7.609375,8.0,121,127,16,AC067956.1,2.4654214635130156
218,484,976,7.625,8.0,122,127,16,ERG,2.4716437466171635
219,485,978,7.640625,8.0,122,127,16,TMEFF2,2.4739062081513783
220,486,980,7.65625,8.0,122,127,18,ZNF804A,2.4755988599321688
221,487,982,7.671875,8.0,122,127,18,SEC24D,2.477282204065534
222,488,984,7.6875,8.0,122,127,18,GRM8,2.4835280025696975
223,489,986,7.703125,8.0,122,127,18,R3HDM1,2.4897738010738615
224,490,988,7.71875,8.0,122,127,18,SLC1A3,2.496019599578025
