n_addon,total_genes,total_coverage,mean_coverage,median_coverage,types_ge5,types_ge3,types_all10,gene_added,mean_eff_weighted
397,663,1183,9.2421875,10.0,128,128,66,KLF3-AS1,3.0469889074067913
398,664,1184,9.25,10.0,128,128,66,PARD3,3.050111806658873
399,665,1185,9.2578125,10.0,128,128,67,RMST,3.053234705910955
400,666,1186,9.265625,10.0,128,128,68,MPP7,3.0563576051630363
401,667,1187,9.2734375,10.0,128,128,69,PTH2R,3.0594805044151183
402,668,1188,9.28125,10.0,128,128,69,HS6ST3,3.0610680418197047
403,669,1189,9.2890625,10.0,128,128,69,AC022126.1,3.0641909410717867
404,670,1190,9.296875,10.0,128,128,69,EPB41L4A,3.067321828417427
405,671,1191,9.3046875,10.0,128,128,70,RFX3,3.068796551960642
406,672,1192,9.3125,10.0,128,128,70,FYN,3.0719194512127235
407,673,1193,9.3203125,10.0,128,128,71,MAML3,3.073333223035654
408,674,1194,9.328125,10.0,128,128,72,RASGEF1B,3.081132273043302
409,675,1195,9.3359375,10.0,128,128,72,NKAIN3,3.084255172295384
410,676,1196,9.34375,10.0,128,128,72,HTR1E,3.0853500215163487
411,677,1197,9.3515625,10.0,128,128,72,CNTN4,3.0884729207684307
412,678,1198,9.359375,10.0,128,128,73,TAFA2,3.0915958200205127
413,679,1199,9.3671875,10.0,128,128,73,STARD13,3.0947187192725947
414,680,1200,9.375,10.0,128,128,73,AC013265.1,3.0978416185246767
415,681,1201,9.3828125,10.0,128,128,74,ATRNL1,3.1003133783704184
416,682,1202,9.390625,10.0,128,128,75,AC006305.1,3.1034362776225004
417,683,1203,9.3984375,10.0,128,128,75,PRKG2,3.1049751460758506
418,684,1204,9.40625,10.0,128,128,76,KCND2,3.1063757726851557
419,685,1205,9.4140625,10.0,128,128,76,LSAMP,3.1094986719372377
420,686,1206,9.421875,10.0,128,128,77,ITGB8,3.11424110777096
421,687,1207,9.4296875,10.0,128,128,77,DACH2,3.1157378566199982
422,688,1208,9.4375,10.0,128,128,78,NDST3,3.1173226454218117
423,689,1209,9.4453125,10.0,128,128,78,SLC7A5,3.1221387037502484
424,690,1210,9.453125,10.0,128,128,78,ERBIN,3.12526160300233
425,691,1211,9.4609375,10.0,128,128,78,MRC1,3.132807497705854
426,692,1212,9.46875,10.0,128,128,78,TNS3,3.1405426169548605
427,693,1213,9.4765625,10.0,128,128,79,LINC01322,3.1436655162069425
428,694,1214,9.484375,10.0,128,128,80,EPHA5,3.1467884154590244
429,695,1215,9.4921875,10.0,128,128,81,KCNH8,3.149911314711106
430,696,1216,9.5,10.0,128,128,81,FIGN,3.151627650181409
431,697,1217,9.5078125,10.0,128,128,82,GULP1,3.15223340132639
432,698,1218,9.515625,10.0,128,128,83,ARHGAP18,3.1544814284614677
433,699,1219,9.5234375,10.0,128,128,84,MIR4300HG,3.1576043277135497
434,700,1220,9.53125,10.0,128,128,85,CSMD3,3.158102423237582
435,701,1221,9.5390625,10.0,128,128,85,SELENOP,3.1612253224896634
436,702,1222,9.546875,10.0,128,128,85,IPCEF1,3.163909875055286
437,703,1223,9.5546875,10.0,128,128,85,A2M,3.171722375055286
438,704,1224,9.5625,10.0,128,128,85,ACVR1C,3.176058782007933
439,705,1225,9.5703125,10.0,128,128,85,ARHGAP6,3.1777457418822483
440,706,1226,9.578125,10.0,128,128,86,RERG,3.18086864113433
441,707,1227,9.5859375,10.0,128,128,86,EEPD1,3.183991540386412
442,708,1228,9.59375,10.0,128,128,86,CHSY3,3.1849065185202496
443,709,1229,9.6015625,10.0,128,128,86,EDIL3,3.1880294177723316
444,710,1230,9.609375,10.0,128,128,87,GPHN,3.1911523170244136
445,711,1231,9.6171875,10.0,128,128,87,NKAIN2,3.193267194567308
446,712,1232,9.625,10.0,128,128,87,LINC00326,3.1963900938193897
447,713,1233,9.6328125,10.0,128,128,88,MBNL1,3.1995129930714716
448,714,1234,9.640625,10.0,128,128,89,PSD3,3.2026358923235536
449,715,1235,9.6484375,10.0,128,128,90,SMARCA2,3.2057587915756356
450,716,1236,9.65625,10.0,128,128,90,GFAP,3.2135712915756356
451,717,1237,9.6640625,10.0,128,128,91,TNIK,3.216694190827717
452,718,1238,9.671875,10.0,128,128,92,ADD3-AS1,3.219817090079799
453,719,1239,9.6796875,10.0,128,128,93,MTUS2,3.222939989331881
454,720,1240,9.6875,10.0,128,128,94,NOS1,3.225670163007936
455,721,1241,9.6953125,10.0,128,128,94,SVIL,3.2270036537136835
456,722,1242,9.703125,10.0,128,128,94,OPHN1,3.2301265529657655
457,723,1243,9.7109375,10.0,128,128,95,SYNDIG1,3.2344959790661565
458,724,1244,9.71875,10.0,128,128,96,CALD1,3.235729680795753
459,725,1245,9.7265625,10.0,128,128,97,SDK2,3.238852580047835
460,726,1246,9.734375,10.0,128,128,98,AC016687.2,3.241975479299917
461,727,1247,9.7421875,10.0,128,128,98,LINC00609,3.245098378551999
462,728,1248,9.75,10.0,128,128,99,TRIM2,3.249853153415323
463,729,1249,9.7578125,10.0,128,128,100,PTPRE,3.252976052667405
464,730,1250,9.765625,10.0,128,128,101,MACROD2,3.2560989519194865
465,731,1251,9.7734375,10.0,128,128,101,AUTS2,3.2592218511715685
466,732,1252,9.78125,10.0,128,128,102,PRKG1,3.2598976234457124
467,733,1253,9.7890625,10.0,128,128,103,AL445207.1,3.2630205226977944
468,734,1254,9.796875,10.0,128,128,104,NEBL,3.2661434219498764
469,735,1255,9.8046875,10.0,128,128,105,PLXNA4,3.267690019541943
470,736,1256,9.8125,10.0,128,128,106,MAP7,3.270812918794025
471,737,1257,9.8203125,10.0,128,128,107,VAT1L,3.273935818046107
472,738,1258,9.828125,10.0,128,128,108,ARSJ,3.275993684830451
473,739,1259,9.8359375,10.0,128,128,109,AC012405.1,3.279116584082533
474,740,1260,9.84375,10.0,128,128,110,LINC01470,3.2798135234474146
475,741,1261,9.8515625,10.0,128,128,111,AC013287.1,3.2829364226994966
476,742,1262,9.859375,10.0,128,128,112,CDH13,3.2834784414607614
477,743,1263,9.8671875,10.0,128,128,112,SLC38A1,3.286106881130176
478,744,1264,9.875,10.0,128,128,113,ST6GALNAC5,3.289229780382258
479,745,1265,9.8828125,10.0,128,128,114,CRB1,3.29235267963434
480,746,1266,9.890625,10.0,128,128,115,AC016766.1,3.295475578886422
481,747,1267,9.8984375,10.0,128,128,115,SLC7A1,3.2990780348254587
482,748,1268,9.90625,10.0,128,128,116,C8orf34,3.299895857533473
483,749,1269,9.9140625,10.0,128,128,117,LINC00499,3.303018756785555
484,750,1270,9.921875,10.0,128,128,118,AC021613.1,3.3061416560376364
485,751,1271,9.9296875,10.0,128,128,119,SEMA3C,3.3116053967112533
486,752,1272,9.9375,10.0,128,128,120,CNTNAP3,3.3147282959633353
487,753,1273,9.9453125,10.0,128,128,121,MAP3K5,3.3174560140458995
488,754,1274,9.953125,10.0,128,128,122,DACH1,3.3186330199072374
489,755,1275,9.9609375,10.0,128,128,123,ATP10A,3.32175511200004
490,756,1276,9.96875,10.0,128,128,124,DCLK2,3.324878011252122
491,757,1277,9.9765625,10.0,128,128,125,WLS,3.3280009105042034
492,758,1278,9.984375,10.0,128,128,126,MGAT4C,3.3282633824949506
493,759,1279,9.9921875,10.0,128,128,127,PCLO,3.329992203833144
494,760,1280,10.0,10.0,128,128,128,PREX2,3.335283729623047
