gene,frac_snrna,mean_snrna,frac_merscope_4k,mean_merscope_4k,in_xenium_5k,in_xenium_v1,in_merscope_250,detection_efficiency
FOS,0.03434794750069813,0.06171460485897794,0.9103324158373914,15.993753969934364,False,False,False,26.503255131005677
RHOB,0.25160569673275623,0.32746904961370193,0.9060978191827228,7.425682828710565,False,False,False,3.601261143721787
SPTBN1,0.8773154612305687,5.230382574699805,0.8008680923142071,4.555155621427059,True,False,True,0.912862166125361
VAMP2,0.7660802382947035,3.4115237829284184,0.7975862799068388,6.620527207283506,False,False,False,1.0411262946584654
MACF1,0.9593223494368426,8.641999441496788,0.7946749947067542,4.111740419225069,False,False,False,0.8283711884469882
TUBB4A,0.2620310900121009,0.3741971516336219,0.7144293881007834,9.26656785941139,True,False,False,2.7265061869864
YWHAB,0.6351112352229359,1.7741785348599088,0.7118356976497988,5.277842473004446,False,False,False,1.1208047632788785
RTN4,0.9298147631015545,7.548822489062646,0.7083950878678806,3.7703789964005927,True,False,False,0.761866896482595
KIF1A,0.6501908219305594,1.691892395047938,0.6993965699767097,4.590779165784459,True,False,False,1.0756789336091328
SERINC1,0.6897514660709299,1.941822582146514,0.6963794198602583,3.7936692780012704,False,False,False,1.0096091913034757
LAMP1,0.41710881504235314,0.5979707716652705,0.6838344272708025,1.9000105864916366,True,False,False,1.6394628993908125
SCD,0.12557013869496417,0.18663315647398307,0.655674359517256,6.798856658903239,False,False,False,5.2215786836870866
CSRP1,0.08442706878897888,0.10397468118775016,0.6423883125132331,5.2310501799703575,True,False,False,7.608795635424105
NCAM1,0.9274876663874151,11.280089360513823,0.6406944738513657,3.020696591149693,True,False,False,0.6907848988945425
TERF2IP,0.6939402401563809,1.8138322628688448,0.618568706330722,2.45050815159856,False,False,False,0.8913861317385576
GFAP,0.02476030903844364,0.08172763660057712,0.6165572729197544,6.044939656997671,False,False,False,24.90103301871023
FSCN1,0.25672530950386296,0.33268174625337427,0.6145458395087868,1.9769214482320558,True,False,False,2.393787510457903
SIRPA,0.6047658940705576,1.5541282695708833,0.5927376667372433,2.487613804785094,True,False,False,0.9801109363949829
YWHAG,0.6136088615842874,1.5605510565019083,0.5901969087444421,6.425206436586915,False,False,False,0.961845477949263
ARL6IP1,0.6411616866796984,1.6823047565856837,0.5873914884607241,2.3922824475968665,False,False,True,0.9161362892760684
MALAT1,1.0,858.5016289676998,0.5847448655515562,72.05033876773237,False,False,True,0.5847448655515562
CNP,0.1906357628223029,0.298799218095504,0.5711941562566165,6.069447385136566,True,False,False,2.9962591897777493
SARS,0.46029973005678115,0.7738992832542121,0.5632542875291129,1.8666102053779376,False,False,False,1.2236685158595064
CCNI,0.7577957739923671,2.7980080052126968,0.5625661655727292,1.9279059919542663,False,False,True,0.7423717377162302
ATP1B2,0.30196406962673367,0.5185702317788328,0.562089773449079,5.821352953631167,False,False,True,1.8614458804449616
DDB1,0.445127059480592,0.7048310527785535,0.5619309760745289,1.623756087232691,True,False,False,1.2624057875300427
ARF3,0.470259703993298,0.8517173973750349,0.5594431505399111,2.182828710565319,False,False,False,1.1896472221397991
