supertype,unrestricted_markers,panel_markers,n_overlap,overlap_genes
Astro_1,"ADGRV1, AQP4, DTNA, GLIS3, GPC5, GPM6A, LINC00499, OBI1-AS1, SLC1A2, SLC1A3","AQP4, BMPR1B, CTNND2, DTNA, GLI3, GLUD1, GRAMD2B, MSI2, SLC1A2, SLC1A3",4,"AQP4, DTNA, SLC1A2, SLC1A3"
Astro_2,"ADGRV1, COL5A3, DTNA, GPC5, GPM6A, LINC00299, OBI1-AS1, PREX2, SLC1A2, SLC1A3","BMPR1B, DTNA, FGFR3, HPSE2, MSI2, PTPRZ1, SLC1A2, SLC1A3, SOX5, TRPS1",3,"DTNA, SLC1A2, SLC1A3"
Astro_3,"AC012405.1, ADGRV1, CTNND2, GFAP, GLIS3, GPM6A, LINC00609, NKAIN3, OBI1-AS1, SLC1A2","AQP4, CTNND2, DTNA, GRAMD2B, KCNN3, MSI2, RFX4, SLC1A2, SLC1A3, TNC",2,"CTNND2, SLC1A2"
Astro_4,"ADGRV1, AHCYL2, ARHGEF4, DCLK2, DPP10, DTNA, MIR99AHG, MSI2, SLC38A1, WDR49","DTNA, FGFR3, FMN2, GRAMD2B, MAML2, MSI2, PARD3, SLC1A2, SLC1A3, TRPS1",2,"DTNA, MSI2"
Astro_5,"ADGRV1, AHCYL2, ARHGEF4, DPP10, DTNA, LINC00299, OBI1-AS1, SLC1A2, TNIK, ZNRF3","AQP4, DTNA, FGFR3, GRAMD2B, MAML2, MSI2, PTPRZ1, SLC1A2, SLC1A3, ZHX3",2,"DTNA, SLC1A2"
Chandelier_1,"CA8, CALN1, CNTN5, DPP10, RORA, SDK1, SLC9A9, TMEM132D, TRPS1, ZNF385D","ALK, ANK1, FGF13, GABRG3, NACC2, NPNT, RASSF8, TAFA4, TRPS1, ZNF804A",1,TRPS1
Chandelier_2,"AC046195.1, AC046195.2, ALK, CA8, COL12A1, GALNTL6, RORA, THSD7A, TRPS1, ZNF385D","ADAM12, ALK, CDH6, COBLL1, DOK5, PLEKHH2, RASSF8, SVIL, TAFA4, TRPS1",2,"ALK, TRPS1"
Endo_2,"A2M, ABCB1, ATP10A, COBLL1, ESYT2, FLT1, SLC7A1, SLC7A5, ST6GALNAC3, THSD4","ABCB1, ABCG2, CLDN5, COBLL1, DOCK9, EPAS1, MECOM, PRKCH, PTPRG, SLC7A5",3,"ABCB1, COBLL1, SLC7A5"
L2/3 IT_1,"AC011287.1, AC021613.1, CBLN2, DGKB, LINC01250, LINC01378, LINC02306, LRRTM4, PDZD2, TESPA1","ART3, BTBD9, CDH22, CUX2, MAN1A1, MEIS2, NECTIN3, PDGFD, R3HDM1, SLIT3",0,
L2/3 IT_10,"AC008696.2, AC011287.1, AC013287.1, AL157944.1, ENC1, HOPX, LINC00507, LINC01331, PDZD2, TESPA1","ANO3, CA10, CAMK2A, CDH22, CUX2, HOPX, MEG3, NECTIN3, PTK2B, R3HDM1",1,HOPX
