supertype,unrestricted_markers,panel_markers,n_overlap,overlap_genes
L2/3 IT_12,"AC011287.1, AJ009632.2, DGKB, HS6ST3, LINC00507, LINC01378, LINC02822, LRRTM4, RFX3, TESPA1","ANO3, CNGB1, CUX2, GLRA3, HOPX, MED12L, MET, NECTIN3, R3HDM1, RAPGEF5",0,
L2/3 IT_13,"AJ009632.2, ATRNL1, CA10, COL5A2, ENC1, FSTL4, GLIS3, LINC02296, NECAB1, TESPA1","CA10, CAMK2A, CDH22, COL5A2, CUX2, GAP43, HOPX, MEG3, MET, R3HDM1",2,"CA10, COL5A2"
L2/3 IT_2,"ACVR1C, ADGRV1, CBLN2, CSMD1, DGKB, KCNQ5, MOXD1, PSD3, SLIT3, TESPA1","BTBD9, NNAT, PRKCB, PSD3, R3HDM1, SATB2, SH3RF2, SLIT3, SMAD3, SNTB2",2,"PSD3, SLIT3"
L2/3 IT_3,"AJ009632.2, ARL15, CA10, COBLL1, COL5A2, IQCJ-SCHIP1, LINC02296, NTNG1, RORB, SLC38A11","CA10, COBLL1, COL5A2, CTNND1, CUX2, FMN1, GRM7, MET, R3HDM1, RORB",4,"CA10, COBLL1, COL5A2, RORB"
L2/3 IT_5,"AJ009632.2, AP000829.1, CA10, COL5A2, GLIS3, IQCJ-SCHIP1, LINC02296, NTNG1, R3HDM1, TAFA1","ANO3, CA10, CAMK2A, COL5A2, CUX2, HOPX, MET, MRTFB, R3HDM1, RORB",3,"CA10, COL5A2, R3HDM1"
L2/3 IT_6,"AC008574.1, AC011287.1, ADAMTS3, DGKB, ENC1, LINC00507, LINC01331, LINC02306, LRRTM4, PDZD2","CAMK2A, CDH22, CUX2, HOPX, MAN1A1, MEG3, NECTIN3, PALMD, R3HDM1, SLIT3",0,
L2/3 IT_7,"AC011287.1, CBLN2, CCBE1, ENC1, ITPR2, LINC01331, NECTIN3, PDZD2, R3HDM1, SERPINE2","CA10, CCBE1, CYP46A1, DPYD, GABRB3, ITGA4, MEIS2, NECTIN3, PALMD, R3HDM1",3,"CCBE1, NECTIN3, R3HDM1"
L2/3 IT_8,"AC011287.1, CBLN2, ENC1, LINC00507, LINC01331, LINC01378, LINC02822, NECTIN3, PDZD2, TESPA1","CA10, CAMK2A, CUX2, HOPX, ITPKA, MEG3, NECTIN3, R3HDM1, RAPGEF5, SATB2",1,NECTIN3
L4 IT_1,"AC008415.1, AC073091.3, AC109466.1, ADAMTSL1, CADPS2, CASC15, LRRK1, PHACTR2, RORB, TLL1","FMN1, FOXP2, GRM7, HS3ST2, HTR2A, NRN1, R3HDM1, RORB, RXFP1, SORCS2",1,RORB
L4 IT_2,"AC073091.3, AL117329.1, COBLL1, DCC, FSTL4, LINC01725, RORB, SCHLAP1, SLC22A10, TSHZ2","COBLL1, EPHA4, FOXP2, GABRG1, KCNH5, OLFM1, RARB, RORB, TOX, TPBG",2,"COBLL1, RORB"
L4 IT_3,"AC073365.1, ANO3, COBLL1, DCC, EFNA5, POU6F2, RORB, SCHLAP1, SLC38A11, TSHZ2","ANO3, COBLL1, COL5A2, EPHA4, KCNH1, KCNH5, MRTFB, R3HDM1, RFTN1, RORB",3,"ANO3, COBLL1, RORB"
L4 IT_4,"AC034268.2, AC073365.1, CPNE4, LINC01821, OTOGL, PLCH1, POU6F2, PTPRD, RMST, RORB","ANO3, EPHA4, FOXP1, GUCY1A2, MYLK, NREP, PHLDB2, RORB, SATB2, TCERG1L",1,RORB
L5 ET_1,"DGKH, ERG, ESRRG, GRM8, KCNN2, ONECUT1, PTCHD1-AS, SEMA3D, SORCS1, TAFA1","CHST8, ERG, ESRRG, FRAS1, HTR4, SEMA3D, SLIT3, SORCS1, SULF2, UTRN",4,"ERG, ESRRG, SEMA3D, SORCS1"
L5 ET_2,"CABP1, CHST8, COL24A1, ESRRG, GRM8, KCNN2, LINC00326, RIT2, TAFA1, VAT1L","BCL11B, CHST8, ESRRG, FAT3, IQSEC1, NRP1, SLIT3, SORCS1, SULF2, TOX",2,"CHST8, ESRRG"
L5 IT_1,"AC073578.2, CASC15, CTNNA2, DCC, FOXP2, IL1RAPL2, LINC02196, LINC02232, RORB, TOX","COBLL1, EPHA3, FOXP1, FOXP2, GABRB3, HS3ST2, KCNH5, RORB, RXFP1, TOX",3,"FOXP2, RORB, TOX"
L5 IT_2,"AC016687.2, AC060765.2, CASC15, FSTL4, IL1RAPL2, IPCEF1, LRRK1, PHACTR1, RORB, RXFP1","CAMK2D, EPHA3, FAT3, FOXP2, HS3ST2, MKX, PPP3CA, RORB, RXFP1, SORCS1",2,"RORB, RXFP1"
L5 IT_3,"AC099517.1, CPNE4, CTNNA2, DACH1, FOXP2, LRP1B, OPCML, PDE4D, RXFP1, TOX","DACH1, FOXP2, HS3ST2, KCNH5, NPFFR2, PART1, PRKD1, RXFP1, SULF2, TOX",4,"DACH1, FOXP2, RXFP1, TOX"
L5 IT_5,"AC008415.1, AC060765.2, AC073091.3, AC109466.1, CASC15, IL1RAPL2, KCNH7, LRRK1, PHACTR1, TAFA1","ANO3, CAMK2D, FAT3, HS3ST2, NRN1, PART1, PPP3CA, RBM20, RORB, RXFP1",0,
L5 IT_6,"AC008415.1, AC021134.1, AC109466.1, AL445207.1, ARL15, CADPS2, LRRK1, PHACTR1, TAFA1, TRABD2A","BMPR1B, CAMK2D, FAT3, GRM3, GRM7, HS3ST2, NRN1, PAK1, RBM20, RORB",0,
L5 IT_7,"AC008415.1, AC109466.1, CLSTN2, CPNE4, CTNNA2, HS3ST2, PHACTR1, PRUNE2, RYR2, SORCS1","ADTRP, ANO3, HS3ST2, MKX, MYO1D, PART1, PID1, RXFP1, SLIT3, SORCS1",2,"HS3ST2, SORCS1"
L5/6 NP_1,"AC068587.4, CDH6, CRYM, DIRAS2, HTR2C, IFNG-AS1, NPSR1-AS1, SORCS2, TRMT9B, TSHZ2","CALCRL, CD36, CDH11, CDH6, ETV1, HTR2C, MAPK10, MEIS2, SORCS2, SPON1",3,"CDH6, HTR2C, SORCS2"
L5/6 NP_2,"AC068587.4, ASIC2, CRYM, FER1L6-AS2, HTR2C, NPSR1-AS1, SORCS2, TLL1, TRMT9B, TSHZ2","CALCRL, CDH6, ETV1, FGFR1, GRM3, HTR2C, MEIS2, SORCS2, SPOCK1, TOX",2,"HTR2C, SORCS2"
L5/6 NP_3,"AC068587.4, ASIC2, CALCRL, COL24A1, CRYM, GHR, HTR2C, NPSR1-AS1, SORCS2, TSHZ2","CALCRL, CAMK2D, CD36, COL11A1, FGFR1, GHR, GRM3, HTR2C, SORCS2, TOX",4,"CALCRL, GHR, HTR2C, SORCS2"
L5/6 NP_4,"AC068587.4, ASIC2, HTR2C, IFNG-AS1, LRRC4C, NPSR1, SEMA5B, SORCS2, TLL1, TSHZ2","CD36, CDH11, FGFR1, GRM3, HTR2C, NPSR1, NXPH2, SORCS2, SPON1, TOX",3,"HTR2C, NPSR1, SORCS2"
L5/6 NP_6,"AC068587.4, ASIC2, CRYM, FER1L6-AS2, HTR2C, IFNG-AS1, KCNB2, MPP7, TLL1, TSHZ2","CDH11, ERG, FSHR, GHR, HTR2C, MEIS2, MPP7, SORCS2, TOX, TRPC3",2,"HTR2C, MPP7"
L6 CT_1,"AC090578.1, ADAMTSL1, CLSTN2, FOXP2, HS3ST4, LRP1B, RALYL, SEMA3E, TRPM3, ZFPM2","FOXP2, GRIK4, KCNH5, NRP1, PRKAG2, SLIT3, SORCS1, SYNPO2, TMEFF2, TRPM3",2,"FOXP2, TRPM3"
L6 CT_2,"AC090578.1, ADAMTSL1, COL24A1, DLC1, HS3ST4, KHDRBS3, RALYL, SEC24D, SEMA3E, TRPM3","CEMIP2, FOXP2, GRIK4, KCNH5, MEIS2, NRP1, PRKAG2, SYNPO2, TMEFF2, TRPM3",1,TRPM3
L6 CT_3,"ADAMTSL1, COL24A1, FRMPD4, HS3ST2, HS3ST4, KHDRBS3, MDGA2, RXFP1, SEMA3E, TLE4","BAALC, FOXP2, HS3ST2, MCTP2, MEIS2, PRKAG2, PRKCB, RXFP1, SYNPO2, TRPM3",2,"HS3ST2, RXFP1"
L6 CT_4,"ADAMTSL1, ANO3, FRMPD4, HS3ST2, HS3ST4, KHDRBS3, NAV3, SEC24D, SEMA3E, ZFPM2","ANO3, DPYD, FOXP2, HS3ST2, NRP1, PID1, PRKAG2, RXFP1, SULF1, ZFHX3",2,"ANO3, HS3ST2"
L6 IT Car3_1,"AC091078.1, AC110023.1, CUX1, ERC2, ITGA11, KCNIP4, NWD2, SEMA6D, SNTB1, SORBS2","CUX2, GNAO1, HPSE2, KLHL1, MAGI3, MPP7, NTNG2, POSTN, SATB2, SPOCK1",0,
L6 IT Car3_2,"AC110023.1, CACNA1E, ERC2, KCNIP4, KCTD16, NTNG2, RGS12, SORBS2, TMEM132D, ZNF804B","ADAMTS19, GABRB3, GNAO1, HPSE2, LTBP1, NTNG2, RASGRP1, SATB2, SPOCK1, THEMIS",1,NTNG2
L6 IT Car3_3,"AC092691.1, CADPS2, ERC2, ITGB8, KCNIP4, KCTD16, LSAMP, NTNG2, PDE1A, SORBS2","CA10, DACH1, GNAO1, MCTP2, NTNG2, RASGRP1, SATB2, SPOCK1, THEMIS, TRPC5",1,NTNG2
L6 IT_1,"AC019211.1, AC034268.2, AC067956.1, AC093607.1, AL117329.1, CBLN2, CTNNA2, PTPRK, SLC35F3, SLIT3","DMD, DPYD, GUCY1A2, MYO1D, PTK2, SATB2, SLIT3, SMAD3, SYTL2, THEMIS",1,SLIT3
L6 IT_2,"AC019211.1, AC067956.1, ADAMTS3, CTNNA2, LRP1B, MCTP1, MYO1D, SLC35F3, SLIT3, SYN3","FRMD6, MEG3, MYO1D, PART1, PPP3CA, PTK2, RXFP1, SLIT3, SNTB2, THEMIS",2,"MYO1D, SLIT3"
L6b_1,"ADAMTSL1, AL391117.1, ARPP21, CCBE1, FRMPD4, HCRTR2, LMO3, PDZRN4, SDK2, VCAN","CAMK2D, CCBE1, CCN2, CDH6, CTNND2, DPP4, ERG, HCRTR2, HS3ST5, SDK2",3,"CCBE1, HCRTR2, SDK2"
L6b_2,"ADD3-AS1, ARPP21, CCBE1, FRMPD4, LMO3, MDGA2, MIR137HG, ROBO2, ZFHX3, ZFPM2","CAMK2D, CCBE1, CDH6, CTNND2, DPYD, SDK2, SEMA3A, SLC1A2, SYNPO2, ZFHX3",2,"CCBE1, ZFHX3"
L6b_3,"CDH10, DPP4, EPHA5, HS3ST4, KIAA1217, MDFIC, NRXN1, SORCS3, TLE4, ZFHX3","DACH1, DIP2A, DPP4, ERG, GPR158, MDFIC, NREP, PCDH11X, SATB2, ZFHX3",3,"DPP4, MDFIC, ZFHX3"
L6b_4,"CCBE1, CDH10, CNTNAP5, HS3ST4, LMO3, PCSK5, PDZRN4, SORCS3, TLE4, ZFHX3","CCBE1, CDH11, DPP4, ERG, HCRTR2, KCNK2, NREP, PCDH11X, SATB2, ZFHX3",2,"CCBE1, ZFHX3"
L6b_5,"CDH10, CELF2, CNTNAP5, ERG, HS3ST4, MARCH1, MDFIC, STXBP5, TLE4, ZFHX3","CDC14A, DPP4, ERG, HPCAL1, MDFIC, NREP, ROS1, STXBP5, WWTR1, ZFHX3",4,"ERG, MDFIC, STXBP5, ZFHX3"
L6b_6,"AC022126.1, ARSJ, DLC1, HS3ST4, LINC02232, MARCH1, MDFIC, SEMA3D, TLE4, ZFHX3","DACH1, MDFIC, NPFFR2, RXFP1, SEMA3A, SEMA3D, SLIT3, STXBP5, SYNPO2, ZFHX3",3,"MDFIC, SEMA3D, ZFHX3"
Lamp5_1,"EYA4, FBXL7, FGF13, FGF14, KIT, NFIB, PTCHD4, SLC6A1, SOX2-OT, UNC13C","CNTNAP4, EYA4, FGF13, KIT, NXPH2, PID1, RBMS3, SLC6A1, SOX2-OT, WWP1",5,"EYA4, FGF13, KIT, SLC6A1, SOX2-OT"
Lamp5_2,"AC132803.1, EYA4, FBXL7, FGF13, FGF14, KIT, PRELID2, SLC6A1, TRPC3, UNC13C","CDK14, EYA4, FGF13, KIT, NXPH2, PKP2, SLC6A1, SV2C, TACR1, TRPC3",5,"EYA4, FGF13, KIT, SLC6A1, TRPC3"
Lamp5_3,"CACNA2D1, EYA4, FGF13, FGF14, FREM1, GRIN2A, KIT, MACROD2, PTCHD4, TRPC3","CACNA2D1, EYA4, FGF13, FREM1, GAD2, KIT, RELN, SLC6A1, SV2C, TRPC3",6,"CACNA2D1, EYA4, FGF13, FREM1, KIT, TRPC3"
Lamp5_4,"CACNA2D1, FGF14, FRAS1, FREM1, GRIN2A, INPP4B, NEBL, RELN, SV2C, TRPC3","CACNA2D1, FRAS1, FREM1, INPP4B, NEBL, PRKCB, RELN, SLC6A1, SV2C, TRPC3",8,"CACNA2D1, FRAS1, FREM1, INPP4B, NEBL, RELN, SV2C, TRPC3"
Lamp5_5,"COL5A2, CXCL14, FRAS1, FREM1, FSTL5, HS3ST5, INPP4B, RELN, SLC6A1, SV2C","CACNA2D1, COL5A2, FRAS1, FREM1, GAD2, HS3ST5, INPP4B, RELN, SLC6A1, SV2C",8,"COL5A2, FRAS1, FREM1, HS3ST5, INPP4B, RELN, SLC6A1, SV2C"
Lamp5_6,"CNTNAP4, COL5A2, CXCL14, EGFR, FSTL5, HS3ST5, INPP4B, PRELID2, RELN, SV2C","CACNA2D1, CNTNAP4, COL5A2, EGFR, GAD2, HS3ST5, INPP4B, MAGI3, RELN, SV2C",7,"CNTNAP4, COL5A2, EGFR, HS3ST5, INPP4B, RELN, SV2C"
Lamp5_Lhx6_1,"CHST9, EYA4, FBXL7, FGF13, GRIA4, GRIN2A, MYO16, NTNG1, PDGFD, UNC5D","CACNA2D1, COL4A2, EYA4, FGF13, GAD2, LTBP1, PDGFD, SLC6A1, SV2C, TOX",3,"EYA4, FGF13, PDGFD"
Micro-PVM_1,"ARHGAP24, DISC1, ITPR2, LRMDA, MBNL1, MRC1, NEAT1, SELENOP, SLC9A9, STARD13","COLEC12, DISC1, F13A1, IQGAP2, MAML2, MBNL1, MRC1, SLC1A3, TBXAS1, ZFHX3",3,"DISC1, MBNL1, MRC1"
Micro-PVM_2,"ARHGAP24, DOCK4, DOCK8, ITPR2, LRMDA, MEF2A, PLXDC2, SFMBT2, SORL1, SRGAP2","ADAM28, ANKRD44, INPP5D, LDLRAD4, MEF2A, MEF2C, P2RY12, SORL1, ST6GAL1, TBXAS1",2,"MEF2A, SORL1"
Micro-PVM_2_3-SEAAD,"ARHGAP24, DOCK4, DOCK8, INPP5D, LRMDA, MEF2A, PLXDC2, SORL1, SRGAP2, SYNDIG1","ADAM28, ANKRD44, CSF1R, DISC1, INPP5D, MAML2, MEF2A, SORL1, ST6GAL1, SYK",3,"INPP5D, MEF2A, SORL1"
OPC_1,"BCAS1, CRB1, DSCAM, FYN, GPR17, OPHN1, SEMA5A, TMEM163, TNR, TNS3","BMPER, COL11A1, FYN, GPR17, MAML2, SIRT2, SMOC1, SOX6, TCF7L2, TNR",3,"FYN, GPR17, TNR"
OPC_2,"DSCAM, EPN2, LHFPL3, LRRC4C, NOVA1, PCDH15, PTPRZ1, TNR, VCAN, XYLT1","AGAP1, CA10, DISC1, KAT2B, MAML2, PDGFRA, PTPRZ1, SMOC1, SOX6, TNR",2,"PTPRZ1, TNR"
OPC_2_1-SEAAD,"AC004852.2, DSCAM, EPN2, LHFPL3, LRRC4C, PCDH15, PTPRZ1, TNR, VCAN, XYLT1","AGAP1, BCAN, CA10, DISC1, MAML2, PDGFRA, PTPRZ1, SMOC1, SOX6, TNR",2,"PTPRZ1, TNR"
Oligo_1,"CTNNA3, MAP7, MBP, MOBP, PLP1, QKI, RNF220, SLC44A1, ST18, TF","DPYD, EDIL3, ENPP2, GAB1, MAP4K4, MAP7, MOG, PDE4B, PHLPP1, PIP4K2A",1,MAP7
Oligo_2,"CTNNA3, MBP, PHLPP1, PIP4K2A, PLP1, QKI, RNF220, SIK3, SLC44A1, ST18","CREB5, DPYD, EDIL3, ENPP2, GAB1, MAP7, PDE4B, PHLPP1, PIP4K2A, SIK3",3,"PHLPP1, PIP4K2A, SIK3"
Oligo_2_1-SEAAD,"CTNNA3, DOCK5, ENPP2, IL1RAPL1, KCNH8, PDE4B, PHLPP1, RNF220, SIK3, ST18","CREB5, EDIL3, ENPP2, GAB1, MAP4K4, MAP7, PDE4B, PHLPP1, PIP4K2A, SIK3",4,"ENPP2, PDE4B, PHLPP1, SIK3"
Oligo_3,"CREB5, ERBIN, MBP, PIP4K2A, PLP1, QKI, SIK3, SLC44A1, TRIM2, TTLL7","CREB5, EDIL3, ENPP2, LPAR1, OPALIN, PDE4B, PHLPP1, PIP4K2A, PTK2, SIK3",3,"CREB5, PIP4K2A, SIK3"
Oligo_4,"CTNNA3, MBP, PIP4K2A, PLP1, PTGDS, QKI, RNF220, SIK3, SLC44A1, ST18","CREB5, EDIL3, ENPP2, GAB1, LPAR1, MAP7, PDE4B, PHLPP1, PIP4K2A, SIK3",2,"PIP4K2A, SIK3"
Pax6_1,"CCK, CDH4, CNR1, CXCL14, DDR2, IL1RAPL2, RBMS3, RELN, SORCS3, WIF1","ALK, CCK, CHRNA7, CNR1, DDR2, GREB1L, GRIA2, RBMS3, RELN, SDK2",5,"CCK, CNR1, DDR2, RBMS3, RELN"
Pax6_2,"ALK, ANGPT1, CDH4, DDR2, HMBOX1, KLHL29, RASGEF1B, RELN, SORCS3, SPHKAP","ALK, ANGPT1, DDR2, EYA4, GRIA2, RELN, RERG, SDK2, SEZ6L, WWP1",4,"ALK, ANGPT1, DDR2, RELN"
Pax6_3,"ARHGAP6, CNR1, DOCK8, EEPD1, EPS8, PCLO, SGCD, SORCS3, YJEFN3, ZNF385D","CACNA1D, CCK, CNR1, DOCK9, FREM1, GABRG1, PDE3A, SVEP1, TRPC4, YJEFN3",2,"CNR1, YJEFN3"
Pax6_4,"ADARB2, CCK, CHRNA7, CNR1, KCNQ5, MAML3, NRXN3, PLCXD3, SGCD, SORCS3","ADRA1A, CAMK2D, CCK, CHRNA7, CNR1, NR3C2, PID1, PLS3, SEZ6L, WWP1",3,"CCK, CHRNA7, CNR1"
Pvalb_1,"ADAMTS17, CHRM2, FGF12, GPC6, KCNC2, PLCE1, PLCXD3, PRKG1, SLIT2, TMEM132C","CHRM2, CNTNAP3, COBLL1, KLF12, MAGI1, PLCE1, RGS5, SLIT2, SOX6, TRPC4",3,"CHRM2, PLCE1, SLIT2"
Pvalb_10,"ANO4, CNTNAP3B, ERBB4, FGF12, GPC5, KCNC2, MYO5B, PCDH15, RUNX2, SRRM4","ASTN2, CNTNAP3, DACH1, GABRG3, MYO5B, PPARGC1A, RUNX2, SAMD5, SLIT2, VAV3",2,"MYO5B, RUNX2"
Pvalb_12,"CNTNAP3, CNTNAP3B, DPP10, ERBB4, FGF12, FRMD5, KCNC2, PCDH15, SLIT2, SULF1","CNTNAP3, MYO5B, PAM, PTPRM, ROR1, RUNX2, SLIT2, SULF1, TRPC4, VAV3",3,"CNTNAP3, SLIT2, SULF1"
Pvalb_13,"CNTNAP3B, ERBB4, FGF12, GPC6, KCNC2, MYO5B, NXPH1, PCDH15, SGCZ, SRRM4","ASTN2, HGF, MYO5B, PAM, PPARGC1A, SAMD5, SLIT2, SOX5, SULF1, TRPC4",1,MYO5B
Pvalb_14,"BTBD11, DPP10, EPHA6, LUZP2, PLXNA4, RGS5, SDK1, SLC9A9, TAC1, TMEM132C","CUX2, INPP4B, KLF12, RGS5, ROR1, SCN9A, SLIT2, SOX6, TAC1, TAFA4",2,"RGS5, TAC1"
Pvalb_15,"ADAMTS17, BTBD11, CNTNAP3B, DPP10, ERBB4, FGF12, KCNC2, MYO5B, SULF1, ZNF804A","CNTNAP3, MAGI1, MYO5B, PAM, RUNX2, SLIT2, SOX5, SULF1, TAC1, ZNF804A",3,"MYO5B, SULF1, ZNF804A"
Pvalb_2,"ADAMTS17, BTBD11, DLGAP1, DPP10, EPHA6, ERBB4, SDK1, SLC9A9, TMEM132C, ZNF804A","KLF12, MYO5B, RGS5, ROR1, SLIT2, SOX5, SOX6, TAC1, TAFA4, ZNF804A",1,ZNF804A
Pvalb_3,"AL136114.1, DLGAP1, ERBB4, FGF12, KLF12, MYO5B, NDST3, RGS5, SGCZ, TMEM132C","CNTNAP3, KLF12, MYO5B, RGS5, ROR1, SLIT2, SOX5, TAC1, TRPC4, ZNF804A",3,"KLF12, MYO5B, RGS5"
Pvalb_5,"ANOS1, DLGAP1, KIRREL3, KLF12, KLF3-AS1, MYO5B, SGCZ, SOX2-OT, SOX5, TMEM132C","ALK, CMTM8, KLF12, MYO5B, PTPRM, RGS5, SOX2-OT, SOX5, SOX6, ZNF804A",4,"KLF12, MYO5B, SOX2-OT, SOX5"
Pvalb_6,"BTBD11, DLGAP1, EYS, FGF12, GRIP1, KCNC2, MYO5B, RASGRF2, SPARCL1, TENM3","KLF12, MYO5B, PTPRM, RBMS3, SOX5, SOX6, TAC1, TIAM1, TRPC4, ZNF804A",1,MYO5B
Pvalb_7,"AC046195.1, AC046195.2, CSMD3, ELAVL2, GABRG3, GPC5, MARCH1, SLIT2, TRPM3, UNC5D","BACH2, BCHE, CHRM2, DAB1, GABRG3, GRIA1, PAM, SLIT2, TRPC4, TRPM3",3,"GABRG3, SLIT2, TRPM3"
Pvalb_8,"DLGAP1, IQCJ-SCHIP1, KIF26B, MYO5B, RASGRF2, ROBO2, RPS6KA2, SGCZ, SOX6, XKR4","DMD, FLT3, KLF12, MYO5B, PTPRM, RBMS3, SMARCA2, SOX6, TCF4, TIAM1",2,"MYO5B, SOX6"
Pvalb_9,"ADAMTS17, CHRM2, FGF12, GALNTL6, KHDRBS2, PLCE1, SLIT2, TAFA2, TRPM3, UNC5D","ASTN2, CHRM2, GPR149, GRIA1, PLCE1, PTPRM, SLIT2, SVIL, TRPC4, TRPM3",4,"CHRM2, PLCE1, SLIT2, TRPM3"
Sncg_1,"COL21A1, CXCL14, EGFR, EPHA6, FSTL5, GRIK2, HS3ST5, INPP4B, MAGI3, RELN","CNTNAP4, DAB1, EGFR, HS3ST5, INPP4B, MAGI3, NDST4, RELN, SCG2, SEMA3C",5,"EGFR, HS3ST5, INPP4B, MAGI3, RELN"
Sncg_2,"CHSY3, CNR1, COL21A1, CXCL14, FSTL5, GRIK2, INPP4B, RELN, SEMA3C, THSD7B","CALB2, CHRNA7, CNR1, CNTNAP4, DAB1, INPP4B, LINGO2, RELN, SCG2, SEMA3C",4,"CNR1, INPP4B, RELN, SEMA3C"
Sncg_3,"ADARB2, AL356124.1, CNR1, DPP6, IGF1, NPAS3, NR2F2-AS1, PRKCA, RGS12, ZNF385D","ADRA1A, CNR1, DOK5, HTR3A, IGF1, NECAB2, PDE3A, PRKCA, SCN7A, WWP1",3,"CNR1, IGF1, PRKCA"
Sncg_4,"AC132803.1, ADAMTS9-AS2, CDH9, CNR1, CNTN5, CNTNAP4, CXCL14, MIR4300HG, PRELID2, SORCS1","ADAM33, CCK, CHRNA7, CNR1, CNTNAP4, DAB1, EGFR, INPP4B, NTN4, SORCS1",3,"CNR1, CNTNAP4, SORCS1"
Sncg_5,"AC132803.1, CNR1, CNTN5, CNTNAP4, CXCL14, FSTL5, INPP4B, PRELID2, SORCS1, THSD7B","ADAM33, CHRNA7, CNR1, CNTNAP4, DAB1, EGFR, INPP4B, NTN4, SEMA3C, SORCS1",4,"CNR1, CNTNAP4, INPP4B, SORCS1"
Sncg_6,"AC006305.1, ADARB2, CCK, CHRNA7, CNR1, CNTN5, FSTL5, KCNQ5, NPAS3, WWP1","ADRA1A, CCK, CHRNA7, CNR1, CRH, LAMA3, PID1, RBMS3, SORCS1, WWP1",4,"CCK, CHRNA7, CNR1, WWP1"
Sncg_8,"AL589740.1, CCNH, CNR1, COL21A1, CXCL14, FSTL5, GRIK2, INPP4B, NCAM2, SGO1-AS1","ADRA1A, ADRA1B, CHRNA7, CNR1, CNTNAP4, DAB1, INPP4B, LINGO2, PROX1, TAFA4",2,"CNR1, INPP4B"
Sst Chodl_1,"CRHBP, LRP8, MPPED2, NOS1, NPY, PLCB1, SOX2-OT, SOX6, TACR1, TMTC1","CDHR1, CHRM2, CORT, MPPED2, NOS1, PLCB1, RUNX1T1, SOX2-OT, SOX6, TACR1",6,"MPPED2, NOS1, PLCB1, SOX2-OT, SOX6, TACR1"
Sst Chodl_2,"CADPS, GRIK1, GULP1, IL1RAPL2, KIF26B, LRP8, NELL1, NPY, RBFOX1, SOX6","ADAMTS12, GRM7, MAML2, NELL1, NXPH2, SOX6, TACR1, TMEFF2, TRPC6, UTRN",2,"NELL1, SOX6"
