group,rank,gene,wilcoxon_score,logfoldchange,pval_adj,subclass
Astro_1,1,DPP10,6.905585765838623,2.5963733196258545,1.6684875066169434e-07,Astrocyte
Astro_1,2,DPP10-AS3,6.59425687789917,1.8609567880630493,6.986831231098944e-07,Astrocyte
Astro_1,3,EPHA6,6.536896228790283,1.5646162033081055,6.986831231098944e-07,Astrocyte
Astro_1,4,ETNPPL,5.793436050415039,0.947677493095398,4.306189400359681e-05,Astrocyte
Astro_1,5,AQP4,5.773977756500244,0.9785305857658386,4.306189400359681e-05,Astrocyte
Astro_1,6,ID4,5.631690979003906,1.146283745765686,7.444100572269107e-05,Astrocyte
Astro_1,7,MGAT4C,5.589531421661377,0.695086658000946,8.44248039233046e-05,Astrocyte
Astro_1,8,NIN,5.402247905731201,1.0884571075439453,0.00019965846856848893,Astrocyte
Astro_1,9,ID2,5.324618339538574,1.272680640220642,0.0002813406746590739,Astrocyte
Astro_1,10,CNKSR2,5.030720233917236,1.0838453769683838,0.0011647790508709612,Astrocyte
Astro_1,11,CSGALNACT1,4.939510822296143,0.5794464349746704,0.00174243772806834,Astrocyte
Astro_1,12,AC023095.1,4.791345596313477,1.066748023033142,0.003169121830044951,Astrocyte
Astro_1,13,ST6GALNAC3,4.785062313079834,1.1884404420852661,0.003169121830044951,Astrocyte
Astro_1,14,MOXD1,4.745335578918457,1.2362351417541504,0.0036561853215954523,Astrocyte
Astro_1,15,ERBB4,4.703784465789795,0.40219569206237793,0.004261320558092589,Astrocyte
Astro_1,16,CTNNA2,4.6573686599731445,0.34948423504829407,0.00508965045286721,Astrocyte
Astro_1,17,JUNB,4.290300369262695,1.3693128824234009,0.025889638215738458,Astrocyte
Astro_1,18,AC093610.1,4.183280944824219,1.5256822109222412,0.03995347360585238,Astrocyte
Astro_1,19,GLUD1,4.151459217071533,0.6152750849723816,0.04331388136818916,Astrocyte
Astro_1,20,GNAQ,4.146594524383545,0.48205819725990295,0.04331388136818916,Astrocyte
Astro_1,21,CACHD1,4.130987644195557,0.6262787580490112,0.044165244215423304,Astrocyte
Astro_1,22,AL589740.1,4.049507141113281,0.5907331109046936,0.05709465892756197,Astrocyte
Astro_1,23,RHOB,4.0034966468811035,0.99139404296875,0.06718867084788514,Astrocyte
Astro_1,24,LMO3,3.956270456314087,0.6519035696983337,0.07939302244774496,Astrocyte
Astro_1,25,ARHGAP26,3.886343002319336,0.5332464575767517,0.09703214585036177,Astrocyte
Astro_1,26,MIR99AHG,3.8707358837127686,0.23420244455337524,0.10058623275872582,Astrocyte
Astro_1,27,MSMO1,3.7961466312408447,1.2144787311553955,0.1325522628820117,Astrocyte
Astro_1,28,AC107398.3,3.750136613845825,1.0713735818862915,0.15521345752948368,Astrocyte
Astro_1,29,FUT9,3.682438611984253,0.377263605594635,0.19273452721180928,Astrocyte
Astro_1,30,SERF2,3.6650075912475586,1.1279773712158203,0.20131565365242318,Astrocyte
Astro_1,31,GLI3,3.656899929046631,0.5850263833999634,0.20284133737297153,Astrocyte
Astro_1,32,HMGCLL1,3.609470844268799,1.3156449794769287,0.2381225365414836,Astrocyte
Astro_1,33,A2ML1-AS1,3.5748112201690674,1.0133163928985596,0.2658236421231782,Astrocyte
Astro_1,34,NKAIN3,3.5119779109954834,0.3887043297290802,0.3226818164013783,Astrocyte
Astro_1,35,MAST4,3.4872498512268066,0.5317676067352295,0.3229838417400483,Astrocyte
Astro_1,36,ALDH7A1,3.4842095375061035,0.683591365814209,0.3229838417400483,Astrocyte
Astro_1,37,CNTN1,3.466575860977173,0.46417874097824097,0.334678334785482,Astrocyte
Astro_1,38,BICC1,3.4384021759033203,0.8748039603233337,0.3550526316696611,Astrocyte
Astro_1,39,GNA14,3.4177279472351074,0.6553956270217896,0.36970437453194555,Astrocyte
Astro_1,40,TMEM132C,3.3946213722229004,0.91893070936203,0.38726116281713246,Astrocyte
Astro_1,41,LINC00609,3.3946213722229004,0.8411523103713989,0.38726116281713246,Astrocyte
Astro_1,42,IQCA1,3.3899595737457275,0.685137927532196,0.38726116281713246,Astrocyte
Astro_1,43,UGP2,3.3865139484405518,0.7888248562812805,0.38726116281713246,Astrocyte
Astro_1,44,AP003086.1,3.361177921295166,1.556185245513916,0.40056966601231686,Astrocyte
Astro_1,45,BCO1,3.359961748123169,1.2505160570144653,0.40056966601231686,Astrocyte
Astro_1,46,DPP10-AS1,3.358948230743408,1.7996660470962524,0.40056966601231686,Astrocyte
Astro_1,47,CABLES1,3.3555026054382324,0.854608952999115,0.40056966601231686,Astrocyte
Astro_1,48,FMNL2,3.341111898422241,0.3516080975532532,0.4110091883558822,Astrocyte
Astro_1,49,SRP14,3.3400983810424805,0.9019150137901306,0.4110091883558822,Astrocyte
Astro_1,50,ZNF518A,3.329153299331665,0.6036206483840942,0.4152929816703109,Astrocyte
Astro_2,1,GRM3,23.683563232421875,4.027008056640625,8.887038700595928e-120,Astrocyte
Astro_2,2,SLC1A3,22.554866790771484,1.5088564157485962,1.33822205749305e-108,Astrocyte
Astro_2,3,SGCD,22.017446517944336,2.578634023666382,1.635212084940506e-103,Astrocyte
Astro_2,4,CACNB2,21.998262405395508,2.3998069763183594,1.9971566907463142e-103,Astrocyte
Astro_2,5,HPSE2,21.29071807861328,3.774752140045166,7.697467684398765e-97,Astrocyte
Astro_2,6,SLC1A2,21.08233642578125,1.6043156385421753,4.8195604588592826e-95,Astrocyte
Astro_2,7,COL5A3,20.352371215820312,2.1904349327087402,1.2301847509534344e-88,Astrocyte
Astro_2,8,ZNF98,19.692211151123047,3.4154036045074463,6.455359914517966e-83,Astrocyte
Astro_2,9,CADM1,19.628761291503906,1.5494176149368286,2.0936106038180908e-82,Astrocyte
Astro_2,10,LRP1B,19.3721866607666,0.9931342005729675,2.7637901183260492e-80,Astrocyte
Astro_2,11,CABLES1,19.30284309387207,2.895660638809204,9.97912229097712e-80,Astrocyte
Astro_2,12,RORA,18.985706329345703,0.8904340267181396,4.151148155106864e-77,Astrocyte
Astro_2,13,NRXN1,18.72081184387207,0.7758913636207581,5.884200050693743e-75,Astrocyte
Astro_2,14,GPC5,18.628929138183594,1.1607106924057007,3.124137776957223e-74,Astrocyte
Astro_2,15,ARHGAP24,18.00702476501465,2.3232884407043457,2.4112190853810814e-69,Astrocyte
Astro_2,16,WIF1,18.006446838378906,4.706925868988037,2.4112190853810814e-69,Astrocyte
Astro_2,17,SYNE1,17.102888107299805,1.8757160902023315,1.8126978464873565e-62,Astrocyte
Astro_2,18,GPM6A,16.628225326538086,0.7101626992225647,5.0091556797095745e-59,Astrocyte
Astro_2,19,PLCB1,16.515193939208984,1.7669764757156372,3.0706459710245476e-58,Astrocyte
Astro_2,20,SOX5,16.493698120117188,0.8034732341766357,4.118352626929858e-58,Astrocyte
Astro_2,21,DNM3,16.365642547607422,2.0841193199157715,3.208119610745038e-57,Astrocyte
Astro_2,22,CADM2,16.26983070373535,0.7937973737716675,1.457577830610574e-56,Astrocyte
Astro_2,23,PDE3B,16.265092849731445,2.7064528465270996,1.533389917782722e-56,Astrocyte
Astro_2,24,PREX2,15.596380233764648,1.172504186630249,5.843130878021494e-52,Astrocyte
Astro_2,25,PTN,15.534086227416992,1.9617029428482056,1.5125640022784897e-51,Astrocyte
Astro_2,26,SLC4A4,15.23139762878418,1.2580993175506592,1.5216467256762298e-49,Astrocyte
Astro_2,27,SFXN5,14.327376365661621,1.1292870044708252,8.955304468250328e-44,Astrocyte
Astro_2,28,PDE4D,14.106514930725098,1.6249362230300903,2.0273471909891255e-42,Astrocyte
Astro_2,29,ADGRB3,14.026190757751465,0.6840205788612366,6.096786836918894e-42,Astrocyte
Astro_2,30,PIK3C2A,13.978689193725586,1.6600794792175293,1.1506515288096792e-41,Astrocyte
Astro_2,31,PSD3,13.970946311950684,1.2058714628219604,1.242132372319877e-41,Astrocyte
Astro_2,32,FLRT2,13.855025291442871,1.776959776878357,6.089889501391508e-41,Astrocyte
Astro_2,33,DLC1,13.586084365844727,1.6952764987945557,2.4122808223364424e-39,Astrocyte
Astro_2,34,GLUL,13.307204246520996,1.585434079170227,1.0315982754142156e-37,Astrocyte
Astro_2,35,MERTK,13.123209953308105,1.7366623878479004,1.1395561122125741e-36,Astrocyte
Astro_2,36,RERG,13.055252075195312,2.288418769836426,2.7115073532195744e-36,Astrocyte
Astro_2,37,AC008957.2,13.007404327392578,2.064861536026001,5.0080552416744586e-36,Astrocyte
Astro_2,38,F11-AS1,12.965566635131836,1.6452348232269287,8.534660330507008e-36,Astrocyte
Astro_2,39,VAV3,12.710494995117188,2.010390520095825,2.2409641980201963e-34,Astrocyte
Astro_2,40,LINC01727,12.702635765075684,2.755748987197876,2.4460519740317005e-34,Astrocyte
Astro_2,41,CARMIL1,12.590875625610352,0.9154453873634338,9.88769412313779e-34,Astrocyte
Astro_2,42,FAM184A,12.50546646118164,1.252717137336731,2.836202791334048e-33,Astrocyte
Astro_2,43,RORB,12.321587562561035,1.1907742023468018,2.689780018850431e-32,Astrocyte
