group,rank,gene,wilcoxon_score,logfoldchange,pval_adj,round,marker_type,subclass,detection_efficiency,eff_source,frac_snrna_in_group,predicted_spatial_detection,composite_score,spatially_validated,best_spatial_r
L6b_1,1,ZNF385D,19.04615020751953,3.2119858264923096,2.2553022117507764e-76,2,within_L6b,L6b,0.0893347959747971,calibrated,1.0,0.0893347959747971,2.552225914341145,True,0.7217699901851118
L6b_1,2,NCAM2,18.863479614257812,3.7645678520202637,3.136200447948343e-75,2,within_L6b,L6b,0.1053612109563481,calibrated,1.0,0.1053612109563481,1.9874790550085892,False,
L6b_1,3,CDH13,18.849790573120117,5.009981632232666,3.136200447948343e-75,2,within_L6b,L6b,0.0693784014419066,calibrated,1.0,0.0693784014419066,1.3077683374777942,False,
L6b_1,4,DCC,18.613737106323242,4.878238677978516,1.9826091216391754e-73,2,within_L6b,L6b,0.4517444668705591,median_fallback,0.9928571428571429,0.44851772067862655,12.522886410358911,True,0.878023230964498
L6b_1,5,TOX,18.392614364624023,5.468310356140137,9.602612979534012e-72,2,within_L6b,L6b,0.2312552238066865,calibrated,0.9785714285714285,0.22629975472511465,6.243366179202055,True,0.8154136798396919
L6b_1,6,VCAN,18.23706817626953,4.199768543243408,1.393425340753195e-70,2,within_L6b,L6b,0.9448111801574204,calibrated,1.0,0.9448111801574204,17.23058590623255,False,
L6b_1,7,AL391117.1,18.120100021362305,4.071182727813721,1.0077990734425352e-69,2,within_L6b,L6b,0.4517444668705591,median_fallback,1.0,0.4517444668705591,8.185654923791521,False,
L6b_1,8,HS6ST3,17.151988983154297,3.0879597663879395,2.421404208420615e-62,2,within_L6b,L6b,0.2032047877870133,calibrated,1.0,0.2032047877870133,5.228049422170589,True,0.7767571829252446
L6b_1,9,SORCS1,16.71621322631836,4.105557918548584,3.538894959089844e-59,2,within_L6b,L6b,0.2825047067934569,calibrated,0.9642857142857143,0.2724152529794049,6.8306271823577855,True,0.92094269978057
L6b_1,10,SLC35F4,16.70153045654297,4.561134338378906,4.074182676128453e-59,2,within_L6b,L6b,0.4517444668705591,median_fallback,0.9142857142857143,0.4130235125673683,6.898124774412259,False,
L6b_1,11,NHS,16.620895385742188,2.5986409187316895,1.4262487066096468e-58,2,within_L6b,L6b,0.4517444668705591,median_fallback,0.9857142857142858,0.44529097448669397,7.401134703158534,False,
L6b_1,12,PTN,16.456018447875977,2.7300174236297607,1.8628840202629744e-57,2,within_L6b,L6b,0.4517444668705591,median_fallback,0.9785714285714285,0.4420642282947614,7.274617095964651,False,
L6b_1,13,THSD7B,16.35771369934082,4.274111270904541,8.148540252895425e-57,2,within_L6b,L6b,0.4517444668705591,median_fallback,0.9357142857142857,0.422703751143166,6.914466940837319,False,
L6b_1,14,MITF,16.341537475585938,2.695197105407715,9.961869719887996e-57,2,within_L6b,L6b,0.4517444668705591,median_fallback,0.9928571428571429,0.44851772067862655,7.329469140934162,False,
L6b_1,15,TMTC1,16.32349395751953,2.2896294593811035,1.2602908036492298e-56,2,within_L6b,L6b,0.2175686181822476,calibrated,1.0,0.2175686181822476,3.5514800242437925,False,
L6b_1,16,ATP10A,15.610726356506348,4.75974702835083,8.469099510883198e-52,2,within_L6b,L6b,0.3996277878787133,calibrated,0.85,0.3396836196969063,5.302708034875974,False,
L6b_1,17,SAMD12-AS1,15.60848617553711,2.851475715637207,8.469099510883198e-52,2,within_L6b,L6b,0.4517444668705591,median_fallback,0.9571428571428572,0.4323839897189637,6.7488595260520245,False,
L6b_1,18,PCDH15,15.578124046325684,2.307424545288086,1.3078674063892266e-51,2,within_L6b,L6b,0.1295192308081243,calibrated,1.0,0.1295192308081243,2.0176666439136475,False,
L6b_1,19,FIGN,15.57053279876709,3.738060712814331,1.416060745680114e-51,2,within_L6b,L6b,0.2196909401988156,calibrated,0.8928571428571429,0.19615262517751395,3.054200883890748,False,
L6b_1,20,MIR181A1HG,15.544898986816406,1.972191572189331,2.035163235310704e-51,2,within_L6b,L6b,0.4517444668705591,median_fallback,0.9928571428571429,0.44851772067862655,6.972162661746386,False,
L6b_1,21,CHRM2,15.453314781188965,2.518773078918457,8.162509004657457e-51,2,within_L6b,L6b,0.0987437741224087,calibrated,0.9928571428571429,0.09803846145010578,1.5150192054519442,False,
L6b_1,22,RYR3,15.254839897155762,1.1088085174560547,1.681207944743094e-49,2,within_L6b,L6b,0.4517444668705591,median_fallback,1.0,0.4517444668705591,10.336934274804545,True,0.8872768736063075
L6b_1,23,VWC2,15.023637771606445,2.2878215312957764,4.9682940038836945e-48,2,within_L6b,L6b,0.0763450913916373,calibrated,0.9857142857142858,0.07525444722889962,1.1305955558694605,False,
L6b_1,24,HIP1,14.940638542175293,2.4310286045074463,1.6814023567080685e-47,2,within_L6b,L6b,0.4517444668705591,median_fallback,0.9357142857142857,0.422703751143166,6.3154639562516595,False,
L6b_1,25,PIK3C2G,14.91089916229248,3.1366448402404785,2.551064058285149e-47,2,within_L6b,L6b,0.4439978503685454,calibrated,0.9,0.39959806533169084,5.958366457608005,False,
L6b_1,26,SDK2,14.901192665100098,1.7623964548110962,2.86813819394078e-47,2,within_L6b,L6b,0.4517444668705591,median_fallback,1.0,0.4517444668705591,6.731531336231129,False,
L6b_1,27,TMEM132D,14.8302640914917,1.4969815015792847,7.835994212356451e-47,2,within_L6b,L6b,0.1780836265025471,calibrated,1.0,0.1780836265025471,3.961540817105016,True,0.8591468879628216
L6b_1,28,UNC5D,14.8302640914917,2.1698832511901855,7.835994212356451e-47,2,within_L6b,L6b,0.2111614369947216,calibrated,1.0,0.2111614369947216,3.1315798765706067,False,
L6b_1,29,ATRNL1,14.71827220916748,1.2400676012039185,3.827733409816086e-46,2,within_L6b,L6b,0.3163852602549709,calibrated,1.0,0.3163852602549709,6.984966575101437,True,0.8306066664293525
L6b_1,30,CSGALNACT1,14.647467613220215,1.431872010231018,1.0618095435583571e-45,2,within_L6b,L6b,0.4517444668705591,median_fallback,0.9928571428571429,0.44851772067862655,6.569648787595533,False,
L6b_1,31,CADM1,14.519050598144531,2.056391477584839,6.504255387606722e-45,2,within_L6b,L6b,0.4517444668705591,median_fallback,0.9928571428571429,0.44851772067862655,6.512051480697434,False,
L6b_1,32,GRIK2,14.412906646728516,1.1510725021362305,2.852157197408971e-44,2,within_L6b,L6b,0.4517444668705591,median_fallback,1.0,0.4517444668705591,6.51095082918151,False,
L6b_1,33,SCUBE1,14.255620002746582,3.2492458820343018,2.488948123864877e-43,2,within_L6b,L6b,1.6090306382692046,calibrated,0.8428571428571429,1.0,21.383430004119873,True,0.9358316939151816
