gene,n_total,n_assigned,n_unassigned,frac_unassigned
SCG3,420513,255250,165263,0.393
SCN1B,353967,130985,222982,0.63
SELPLG,18640,12403,6237,0.3346
SERPINA3,12884,4568,8316,0.6455
SERPING1,61806,39173,22633,0.3662
SESN1,113979,66911,47068,0.413
SLC14A1,26620,18969,7651,0.2874
SLC2A1,106480,82959,23521,0.2209
SLC32A1,58572,38532,20040,0.3421
SLC39A8,38590,24426,14164,0.367
SLC44A1,147215,113456,33759,0.2293
SLN,6928,3050,3878,0.5598
SMAD1,38894,21380,17514,0.4503
SMIM32,21618,8954,12664,0.5858
SMPX,14490,5662,8828,0.6092
SMYD2,73048,32034,41014,0.5615
SNPH,305404,105918,199486,0.6532
SOD2,794592,367494,427098,0.5375
SOX2-OT,121376,86262,35114,0.2893
SPRY2,198846,103915,94931,0.4774
SSBP1,168640,91344,77296,0.4583
SST,141363,99853,41510,0.2936
SV2A,559675,338430,221245,0.3953
SVBP,37588,19189,18399,0.4895
SYK,17637,10044,7593,0.4305
SYT2,269470,154615,114855,0.4262
SYTL4,7847,4524,3323,0.4235
TAGLN,44211,34185,10026,0.2268
TEF,307874,140665,167209,0.5431
TF,237175,200519,36656,0.1546
THEMIS,12039,4305,7734,0.6424
TIMP1,11456,7034,4422,0.386
TMEM119,17437,11134,6303,0.3615
TMEM144,179262,151018,28244,0.1576
TMSB10,868799,324655,544144,0.6263
TNFSF10,21604,16884,4720,0.2185
TNK2,376107,152187,223920,0.5954
TRABD2A,13914,7301,6613,0.4753
TREM2,10542,7400,3142,0.298
TSC22D3,181656,99872,81784,0.4502
TTC9B,278175,132220,145955,0.5247
TXNIP,71833,55374,16459,0.2291
TYROBP,14563,8538,6025,0.4137
UGT8,18276,14496,3780,0.2068
UQCRFS1,420773,199478,221295,0.5259
USP22,339826,155631,184195,0.542
VAMP1,327882,159488,168394,0.5136
VGF,299702,149810,149892,0.5001
VIM,310948,173340,137608,0.4425
VIP,42977,33921,9056,0.2107
XRRA1,58451,34460,23991,0.4104
YWHAH,1590325,701280,889045,0.559
ZBTB16,135677,82255,53422,0.3937
ZNF483,440923,252658,188265,0.427
ZNF804A,24807,15174,9633,0.3883
ZP3,13026,6114,6912,0.5306
ALL,63295951,30840315,32455636,0.5128
