"logFC","AveExpr","t","P.Value","adj.P.Val","B","celltype","level","SE","FDR"
0.472832941922446,-1.02754821869444,4.42560018468836,0.000215603878627773,0.00517449308706654,0.617062211474424,"L6b","subclass",0.106840410834749,0.00517449308706654
-0.213278049829035,2.1265718776026,-3.46205670451777,0.00222920761289847,0.0267504913547817,-1.66260796884506,"Endothelial","subclass",0.0616044357536721,0.0267504913547817
-0.299492249569797,2.09792397461038,-2.12505462677679,0.0451159142321924,0.322009214320584,-4.43402755174886,"Oligodendrocyte","subclass",0.140933906261062,0.322009214320584
0.22781706212003,-0.971029584003649,2.03936409945806,0.053668202386764,0.322009214320584,-4.41776649540703,"L6 IT Car3","subclass",0.111709852193912,0.322009214320584
-0.141950901322418,0.380852129620614,-1.71591089615954,0.100302170784613,0.408682189387342,-5.01791025951027,"Pvalb","subclass",0.0827262660550293,0.408682189387342
0.15460410433243,-0.773107538451999,1.63196575086489,0.116993305070018,0.408682189387342,-5.08015485784709,"L5/6 NP","subclass",0.0947348951719695,0.408682189387342
0.183430750646977,-0.638690492561353,1.62164180997889,0.119198971904641,0.408682189387342,-5.1422554760081,"L6 CT","subclass",0.11311422135161,0.408682189387342
-0.130830692387236,-1.20830249647995,-1.32045749877983,0.200325336895397,0.60097601068619,-5.37999364326211,"Pax6","subclass",0.0990798208258349,0.60097601068619
-0.0733045627866971,-0.246116030335416,-1.08053594859477,0.291667193512229,0.706973755725267,-5.80095310579474,"Lamp5","subclass",0.0678409292000227,0.706973755725267
-0.0956524517632497,2.1427149172082,-1.07388421647266,0.294572398218861,0.706973755725267,-5.95431348842571,"L2/3 IT","subclass",0.0890714755799608,0.706973755725267
-0.0842807945360625,0.63085177044656,-0.87736909938483,0.389815847167127,0.850507302910095,-6.08797791810897,"OPC","subclass",0.0960608193235391,0.850507302910095
-0.0747199392476428,0.480208901514263,-0.799494512100471,0.432595704137451,0.865191408274903,-6.13065376843611,"Vip","subclass",0.0934589770370467,0.865191408274903
-0.0536660171999277,2.1204970099644,-0.717778821532944,0.480485792132656,0.872418544169627,-6.26866300571459,"Astrocyte","subclass",0.0747667883057825,0.872418544169627
-0.106895965048838,-0.49462857916624,-0.671528107681081,0.508910817432283,0.872418544169627,-6.09437462425316,"L5 ET","subclass",0.159183158271619,0.872418544169627
0.0535026530691941,-3.1186863400726,0.473353898620564,0.64064800160804,0.890287763681268,-6.1276151968609,"Sst Chodl","subclass",0.113028863235542,0.890287763681268
-0.0476772871260245,1.25030503922884,-0.419367828500235,0.679035003749955,0.890287763681268,-6.40718404754637,"Microglia-PVM","subclass",0.113688470802661,0.890287763681268
-0.0315405568092695,0.71852390859185,-0.39146048516839,0.699242186677784,0.890287763681268,-6.41142210008617,"Sst","subclass",0.0805714957301554,0.890287763681268
0.0340781676172192,0.225110021692516,0.31925541849207,0.752560063620379,0.890287763681268,-6.40290296008228,"L6 IT","subclass",0.106742644426145,0.890287763681268
0.209708261874994,-5.56583326156563,0.293905765406301,0.771599112941276,0.890287763681268,-6.53607880969976,"Lamp5 Lhx6","subclass",0.713522110003828,0.890287763681268
0.0207913483817905,-0.0992306846844362,0.287611414906483,0.776349966449356,0.890287763681268,-6.34108958302223,"Chandelier","subclass",0.0722897190591368,0.890287763681268
0.0286509371989447,0.984882226435673,0.261019979138447,0.796517514892302,0.890287763681268,-6.47297472193477,"L4 IT","subclass",0.109765303382191,0.890287763681268
0.0339105036621131,-1.53180416971745,0.235386748038586,0.816097116707829,0.890287763681268,-6.30900660249373,"Sncg","subclass",0.144062925991714,0.890287763681268
0.0205891931147263,1.20069224131777,0.154192690432193,0.878870829303665,0.917082604490781,-6.50395542561484,"VLMC","subclass",0.133528982839692,0.917082604490781
-0.00469586034916611,1.31584337749951,-0.0529669986394235,0.958238699865385,0.958238699865385,-6.49986955047931,"L5 IT","subclass",0.088656342058071,0.958238699865385
