celltype,beta_snrnaseq,se,pval_snrnaseq,padj_snrnaseq,logFC_xenium,pval_xenium,FDR_xenium,SE_xenium,class
L5/6 NP_4,0.173914484222229,0.0723978829717698,0.0162966173652479,0.192106022298078,-0.0855473427672994,0.541451643653756,0.706010476528917,0.137935026335054,Glut
L6 CT_1,0.2308172737216,0.0937106085227013,0.0137746929651014,0.187680191649506,0.620663024851103,0.0844404541905519,0.267394771603414,0.343572802667024,Glut
L6b_1,0.481296796598871,0.101095249618842,1.92803133457243e-06,0.0002101554154683,0.682212353508847,0.0253530080747529,0.124488352399186,0.28452914248942,Glut
L6b_2,0.167197845733031,0.0871313688570625,0.0549948667087902,0.338304125851518,0.581973631329709,0.0213318669710684,0.118214096131337,0.234913164987662,Glut
Vip_12,-0.0683277828999998,0.0671702353212183,0.30904258026592,0.623808171277505,-0.402371720165354,0.0049947527406326,0.0603911013185578,0.129098426230065,GABA
L4 IT_3,0.0480322121884009,0.0736806507182668,0.514467471276935,0.762754537006271,-0.0447485985708539,0.697159215951702,0.792497228389542,0.113500919605351,Glut
Vip_15,-0.0179482346937108,0.0464797589030812,0.699384373825,0.886429031940988,-0.339044157839365,0.0109547162412359,0.0857045447108454,0.122101231311597,GABA
Pax6_2,0.118936931018439,0.0827116613009,0.150442417440991,0.499604933085498,-0.200711860324109,0.109770945342942,0.317690438602864,0.12046936225161,GABA
L2/3 IT_7,0.208344907686777,0.0883656654048172,0.0183856444997348,0.192106022298078,0.128593928043207,0.472995037171847,0.662193052040585,0.176139218094545,Glut
Lamp5_1,0.0403381814661403,0.0767968137036056,0.59940348180977,0.81582568961815,0.0618349169861881,0.615804306602417,0.744563388892014,0.121490563341134,GABA
L4 IT_4,0.02729310786111,0.0579298689356221,0.637540399629103,0.833954729695128,-0.353532888993894,0.0073428415686522,0.0763315354001121,0.119786311913528,Glut
L2/3 IT_3,-0.0936134743193302,0.0729423924817765,0.19935577689225,0.519939354955901,-0.0222102073447991,0.930263645689971,0.937311097551259,0.250924769936794,Glut
Vip_9,-0.0014910282198698,0.0587168882869469,0.979741083227422,0.995669874819086,-0.143842417529945,0.294201452478242,0.522316195418202,0.133881218421901,GABA
L4 IT_1,0.049193184015191,0.0568427888277968,0.386805434047021,0.680028908243956,0.260312833170207,0.109877896058133,0.317690438602864,0.15629234788204,Glut
Sst_2,-0.254509920135936,0.0591534995883802,1.68856046339816e-05,0.0009202654525519,-0.331763936609745,0.0248922776405674,0.124488352399186,0.137878673289267,GABA
Lamp5_4,0.0751792802930142,0.0664533239767492,0.257924824611278,0.569755257858317,-0.0719345323145944,0.608602022054832,0.742606137002684,0.138484214331374,GABA
L2/3 IT_12,-0.0588886771125258,0.0824681365615157,0.475178985744995,0.725161804665052,-0.0377062930853303,0.745150374279938,0.824649014172653,0.114564766838814,Glut
Sst_5,0.0309783749550944,0.0667703598466859,0.642680709122851,0.833954729695128,0.437140369301383,0.0144817903458444,0.0929368331947075,0.164783689161925,GABA
Pvalb_10,0.0431573824938302,0.0667359333543216,0.517833355398753,0.762754537006271,-0.37726852152787,0.0184232778875025,0.106534606914688,0.148279654672364,GABA
L2/3 IT_6,-0.0885649875776229,0.0760824244129518,0.244397137513991,0.566793361468618,-0.102046885331411,0.396140119018812,0.604193837789291,0.117931146373336,Glut
L5 ET_1,0.16890379147394,0.0902567516473144,0.0612937924285458,0.351632809195342,-0.108933681871959,0.552590094293215,0.706702193757554,0.180634396667293,Glut
Pvalb_13,0.0740884300815594,0.0621626044250759,0.233320508048255,0.552868160375212,-0.692623846857569,0.001211389820073,0.0377935279300325,0.186736826799337,GABA
L5 IT_5,-0.045306458296817,0.064001009081603,0.47900596271453,0.725161804665052,0.0605944026789413,0.552609234216433,0.706702193757554,0.100482833812423,Glut
Pvalb_15,-0.062759661928616,0.041993052328719,0.135038481239471,0.499604933085498,-0.278729064536414,0.0689225429940218,0.241228900479076,0.145796833358364,GABA
L2/3 IT_8,-0.0750586405572907,0.0818561853224475,0.359164927149959,0.652482950989092,-0.541960260304806,0.0002381436493608,0.0316731053649876,0.123887803414327,Glut
Sst_25,-0.258992646343256,0.0826138738897393,0.0017186721854707,0.0374670536432624,-0.686349389429451,0.0042783163267412,0.0569016071456585,0.215656754864123,GABA
