"logFC","AveExpr","t","P.Value","adj.P.Val","B","celltype","level","SE","FDR"
0.611159243218523,-0.765190735066155,4.35697235029692,0.000248514525143709,0.0270705012908952,0.58615841326777,"L5/6 NP_3","supertype_baseline",0.140271545027563,0.0270705012908952
0.611159243218523,-0.765190735066155,4.35697235029692,0.000248514525143709,0.0270705012908952,0.58615841326777,"L5/6 NP_3","supertype_current_baseline",0.140271545027563,0.0270705012908952
0.611169958253045,-0.730336232110317,4.31214031986577,0.000278516034846167,0.023816233004508,0.483932217748544,"L5/6 NP_3","supertype_l6b_margin",0.141732391090666,0.023816233004508
-0.517920377940377,1.61026987506828,-4.24913169075615,0.000324975587763544,0.0221727076645239,0.345104200875743,"L2/3 IT_8","supertype",0.121888521145884,0.0221727076645239
0.596147669550771,-0.730928929292396,4.24171196263429,0.000330935935291401,0.0221727076645239,0.317671827704879,"L5/6 NP_3","supertype",0.140544118696013,0.0221727076645239
-0.509932417975522,1.61609236209773,-4.21255008927843,0.000355466164246388,0.023816233004508,0.264320222213311,"L2/3 IT_8","supertype_l6b_margin",0.121050766677737,0.023816233004508
0.624008007553765,-0.94386575485701,4.1997687331842,0.000364721991326328,0.0262964528285066,0.240716964864642,"L5/6 NP_3","supertype_proposed",0.148581516554282,0.0262964528285066
-0.515938968943544,1.67047124431601,-4.16984983704442,0.000392484370574726,0.0262964528285066,0.172154684109173,"L2/3 IT_8","supertype_proposed",0.123730827033628,0.0262964528285066
-0.508846742319547,1.5812378591419,-4.1587430112149,0.000404037332699929,0.0270705012908952,0.149215507748442,"L2/3 IT_8","supertype_baseline",0.122355899594502,0.0270705012908952
-0.508846742319547,1.5812378591419,-4.1587430112149,0.000404037332699929,0.0270705012908952,0.149215507748442,"L2/3 IT_8","supertype_current_baseline",0.122355899594502,0.0270705012908952
-0.744154479130856,-1.05520150428322,-3.90393243456955,0.00075587782494922,0.0337625428477318,-0.49238592843494,"Pvalb_13","supertype",0.190616638889886,0.0337625428477318
-0.737910141174252,-1.04955245281292,-3.87710749039091,0.000807010826847066,0.0360464835991689,-0.526547980519861,"Pvalb_13","supertype_l6b_margin",0.190324911806831,0.0360464835991689
-0.75083212890512,-1.09934841898504,-3.85852278826028,0.000840614165081097,0.0375474327069557,-0.557692289843637,"Pvalb_13","supertype_proposed",0.194590564863206,0.0375474327069557
-0.73834426478435,-1.08440695576875,-3.85647135788263,0.000846066257338017,0.0377909594944314,-0.578225734219144,"Pvalb_13","supertype_baseline",0.191455918186758,0.0377909594944314
-0.73834426478435,-1.08440695576875,-3.85647135788263,0.000846066257338017,0.0377909594944314,-0.578225734219144,"Pvalb_13","supertype_current_baseline",0.191455918186758,0.0377909594944314
-0.57054459059619,-1.20948850890073,-3.74398516144432,0.00111556383267028,0.0373713883944544,-0.759505449943948,"Pax6_3","supertype",0.152389650597892,0.0373713883944544
0.726678169312187,-1.16580848932389,3.67384885381042,0.00131896293148628,0.0386799094651567,-1.0155338248542,"L6b_5","supertype_baseline",0.1977975137868,0.0386799094651567
