celltype,beta_snrnaseq,se,pval_snrnaseq,padj_snrnaseq,logFC_xenium,pval_xenium,FDR_xenium,SE_xenium,class
Astro_2,0.136691841679942,0.097897762060802,0.162632793914946,0.587576545757225,-0.187160896606704,0.264487523168552,0.616544425962061,0.163477496662337,NN
Astro_3,0.180515073475081,0.117595799481314,0.124772295525864,0.51062081694991,0.519388317023532,0.036635047394646,0.244876369427371,0.23350892126089,NN
Astro_4,0.146982528864332,0.0916151206855272,0.108637382526004,0.490428188924502,0.0694805542121543,0.677594750395175,0.891746888163519,0.164917732694273,NN
Chandelier_1,-0.0234844713696725,0.0471559705449778,0.618472114068201,0.821961222990208,-0.195083197654582,0.06245141613516,0.330472077048555,0.0994299120040789,GABA
Chandelier_2,0.141325358447559,0.0809967986783686,0.0810150794445452,0.43786028358834,-0.0376396571511853,0.640378150098003,0.891746888163519,0.0794652335274142,GABA
Endo_2,-0.0119463373644323,0.0829609518678494,0.885500847559816,0.962874708026208,0.533747867438361,0.0273972190600529,0.244876369427371,0.226000356267896,NN
L2/3 IT_1,-0.0344220038315524,0.0656520795409006,0.600063345129031,0.821658777149494,-0.172487513320505,0.129885127993931,0.440833112121967,0.109650393923199,Glut
L2/3 IT_10,-0.185963488021869,0.0889849109687584,0.0366329204146177,0.256430442902324,-0.213438768395681,0.278647510895852,0.620715796394784,0.192179599403694,Glut
L2/3 IT_12,-0.0382980471428137,0.0901928066946826,0.671110658771175,0.863958549222662,0.028628520366636,0.792207799738234,0.931577690432923,0.107364431975171,Glut
L2/3 IT_13,-0.0126735549946713,0.0782293194109351,0.871301774485249,0.962874708026208,-0.0255422421920525,0.819217223720103,0.932171602232462,0.110436111012168,Glut
L2/3 IT_3,-0.138567178729602,0.0796676035554694,0.0819791035934582,0.43786028358834,-0.23404976238252,0.0883083447700394,0.382625567204907,0.13126952975676,Glut
L2/3 IT_5,-0.0384483112969634,0.0573087638916679,0.502285774905521,0.821658777149494,0.051710093685659,0.704228738989616,0.891746888163519,0.134463882427041,Glut
L2/3 IT_6,-0.0483663629153193,0.0750410948452384,0.519230721454199,0.821658777149494,-0.23527483937538,0.237800806436329,0.58078273879642,0.193913188843827,Glut
L2/3 IT_7,0.245739402559007,0.0982231028815598,0.0123546496614887,0.119514271725618,0.0240320700109074,0.840559053737701,0.93641227916393,0.118060725412753,Glut
L2/3 IT_8,-0.0264486604498472,0.0947822031177007,0.780208990598906,0.925266049437023,-0.352159537451127,0.0852481606124155,0.382625567204907,0.195473830261534,Glut
L4 IT_1,0.00991296655105567,0.0579087377196887,0.86408021228685,0.962874708026208,0.145113029422529,0.170952998876033,0.493993070495751,0.102546675327285,Glut
L4 IT_2,-0.0530783239525559,0.0522668650953666,0.309855491867735,0.738379044450773,-0.0726060623696505,0.602571480790137,0.878110968963448,0.137442809047936,Glut
L4 IT_3,-0.00452880319840466,0.0824944995928742,0.956219530555752,0.97149082511797,-0.308935336601686,0.0061572002673556,0.240174035836517,0.102041285375323,Glut
L4 IT_4,-0.00332596306651408,0.0616210303971574,0.956955496685672,0.97149082511797,-0.060465936558147,0.528818746963745,0.826076183663594,0.0944961610512116,Glut
L5 ET_2,0.047443068088005,0.0865138342910925,0.583426152912727,0.821658777149494,-0.11506748728878,0.4080286914932,0.719717275272728,0.136434108569291,Glut
L5 IT_1,-0.0690328226578929,0.0549866199968864,0.209316302074817,0.62647371635773,0.0564652944079262,0.660071781620994,0.891746888163519,0.126661093915003,Glut
L5 IT_2,-0.0156343615979788,0.0524270059971281,0.765541373971366,0.925266049437023,0.139183481918793,0.207557696646282,0.527196549481555,0.10720736683213,Glut
L5 IT_3,-0.0250883179965595,0.0634098835946658,0.692360947285681,0.881186660181776,0.0470608903108223,0.71454241912621,0.891746888163519,0.127025325996258,Glut
L5 IT_5,-0.0900805615824344,0.0671555401530291,0.179799701955633,0.598072191446786,0.277993599684196,0.0811090263075869,0.382625567204907,0.152103246391812,Glut
L5 IT_6,0.170170713759772,0.0780157593583574,0.0291660308807327,0.217773030576137,-0.11024213952858,0.377068694952469,0.674474989562867,0.122298878048855,Glut
L5 IT_7,-0.0637764674785515,0.075514235588266,0.39835533223968,0.800532468051699,0.0162882385114765,0.930139639594121,0.968913576262242,0.183690568727313,Glut
L5/6 NP_1,-0.00787154514694889,0.0691449840224403,0.909363710192655,0.97149082511797,0.357242479698882,0.0674863611293483,0.342830714537089,0.185810604744586,Glut
L5/6 NP_2,0.0963502996990185,0.0835352740707976,0.248742731994877,0.665622566470018,0.0410528128811713,0.822072594094769,0.932171602232462,0.180400285280499,Glut
L5/6 NP_4,0.23628129538711,0.085880878582471,0.00593650909111401,0.0831111272755961,0.107662630044425,0.337361114980979,0.645172280969751,0.109787230792199,Glut
L6 CT_2,0.0902765833273628,0.0775391865909915,0.24431442963475,0.665622566470018,0.0437458434213076,0.821231701868588,0.932171602232462,0.191313651611694,Glut
L6 CT_3,0.199417827288793,0.0814022846827151,0.0142942848076668,0.123150761419899,-0.010709320174794,0.938769512185174,0.968913576262242,0.137840156146008,Glut
L6 IT Car3_1,-0.0973340318091415,0.0935785862825844,0.298278828145449,0.726244103310659,0.321669921921776,0.0991968559656573,0.388822442473153,0.186908656064302,Glut
L6 IT Car3_2,0.0523826575031491,0.101224606058822,0.604814588309455,0.821658777149494,-0.235039781179794,0.299464870610951,0.622146517698156,0.221215817702806,Glut
L6 IT Car3_3,0.0966602330747707,0.0689313391771648,0.160835137312913,0.587576545757225,0.180261887608622,0.178926623959091,0.493993070495751,0.129865327248723,Glut
L6 IT_1,0.182006537100108,0.0909137803781141,0.0452881046107547,0.298368689200266,-0.040935119383541,0.716206162147078,0.891746888163519,0.111170243533682,Glut
