donor,depth_bin,celltype,count,depth_midpoint,total
H20.33.001,0,Astrocyte,276,0.07012815840520031,2030
H20.33.001,0,Chandelier,2,0.07012815840520031,2030
H20.33.001,0,Endothelial,124,0.07012815840520031,2030
H20.33.001,0,L2/3 IT,606,0.07012815840520031,2030
H20.33.001,0,L4 IT,2,0.07012815840520031,2030
H20.33.001,0,L6 IT,1,0.07012815840520031,2030
H20.33.001,0,L6 IT Car3,6,0.07012815840520031,2030
H20.33.001,0,L6b,3,0.07012815840520031,2030
H20.33.001,0,Lamp5,17,0.07012815840520031,2030
H20.33.001,0,Lamp5 Lhx6,17,0.07012815840520031,2030
H20.33.001,0,Microglia-PVM,520,0.07012815840520031,2030
H20.33.001,0,OPC,92,0.07012815840520031,2030
H20.33.001,0,Oligodendrocyte,117,0.07012815840520031,2030
H20.33.001,0,Pax6,16,0.07012815840520031,2030
H20.33.001,0,Pvalb,7,0.07012815840520031,2030
H20.33.001,0,Sncg,39,0.07012815840520031,2030
H20.33.001,0,Sst,9,0.07012815840520031,2030
H20.33.001,0,Sst Chodl,2,0.07012815840520031,2030
H20.33.001,0,VLMC,108,0.07012815840520031,2030
H20.33.001,0,Vip,66,0.07012815840520031,2030
H20.33.001,1,Astrocyte,235,0.17196188121655695,1944
H20.33.001,1,Chandelier,10,0.17196188121655695,1944
H20.33.001,1,Endothelial,120,0.17196188121655695,1944
H20.33.001,1,L2/3 IT,721,0.17196188121655695,1944
H20.33.001,1,L4 IT,5,0.17196188121655695,1944
H20.33.001,1,L5 ET,1,0.17196188121655695,1944
H20.33.001,1,L6 IT,5,0.17196188121655695,1944
H20.33.001,1,L6 IT Car3,21,0.17196188121655695,1944
H20.33.001,1,Lamp5,17,0.17196188121655695,1944
H20.33.001,1,Lamp5 Lhx6,19,0.17196188121655695,1944
H20.33.001,1,Microglia-PVM,324,0.17196188121655695,1944
H20.33.001,1,OPC,100,0.17196188121655695,1944
H20.33.001,1,Oligodendrocyte,100,0.17196188121655695,1944
H20.33.001,1,Pax6,5,0.17196188121655695,1944
H20.33.001,1,Pvalb,52,0.17196188121655695,1944
H20.33.001,1,Sncg,9,0.17196188121655695,1944
H20.33.001,1,Sst,19,0.17196188121655695,1944
H20.33.001,1,Sst Chodl,4,0.17196188121655695,1944
H20.33.001,1,VLMC,98,0.17196188121655695,1944
H20.33.001,1,Vip,79,0.17196188121655695,1944
H20.33.001,2,Astrocyte,275,0.2359988162850995,1840
H20.33.001,2,Chandelier,10,0.2359988162850995,1840
H20.33.001,2,Endothelial,186,0.2359988162850995,1840
H20.33.001,2,L2/3 IT,362,0.2359988162850995,1840
H20.33.001,2,L4 IT,13,0.2359988162850995,1840
H20.33.001,2,L5 IT,2,0.2359988162850995,1840
H20.33.001,2,L5/6 NP,1,0.2359988162850995,1840
H20.33.001,2,L6 IT,5,0.2359988162850995,1840
H20.33.001,2,L6 IT Car3,19,0.2359988162850995,1840
H20.33.001,2,L6b,3,0.2359988162850995,1840
H20.33.001,2,Lamp5,25,0.2359988162850995,1840
H20.33.001,2,Lamp5 Lhx6,23,0.2359988162850995,1840
H20.33.001,2,Microglia-PVM,366,0.2359988162850995,1840
H20.33.001,2,OPC,88,0.2359988162850995,1840
H20.33.001,2,Oligodendrocyte,169,0.2359988162850995,1840
H20.33.001,2,Pax6,8,0.2359988162850995,1840
H20.33.001,2,Pvalb,75,0.2359988162850995,1840
H20.33.001,2,Sncg,9,0.2359988162850995,1840
H20.33.001,2,Sst,10,0.2359988162850995,1840
H20.33.001,2,Sst Chodl,1,0.2359988162850995,1840
H20.33.001,2,VLMC,140,0.2359988162850995,1840
H20.33.001,2,Vip,50,0.2359988162850995,1840
H20.33.001,3,Astrocyte,260,0.30169529422504904,2084
H20.33.001,3,Chandelier,8,0.30169529422504904,2084
H20.33.001,3,Endothelial,158,0.30169529422504904,2084
H20.33.001,3,L2/3 IT,305,0.30169529422504904,2084
H20.33.001,3,L4 IT,232,0.30169529422504904,2084
H20.33.001,3,L5 ET,1,0.30169529422504904,2084
H20.33.001,3,L5 IT,14,0.30169529422504904,2084
H20.33.001,3,L6 IT,11,0.30169529422504904,2084
H20.33.001,3,L6 IT Car3,35,0.30169529422504904,2084
H20.33.001,3,L6b,6,0.30169529422504904,2084
H20.33.001,3,Lamp5,43,0.30169529422504904,2084
H20.33.001,3,Lamp5 Lhx6,18,0.30169529422504904,2084
H20.33.001,3,Microglia-PVM,328,0.30169529422504904,2084
H20.33.001,3,OPC,109,0.30169529422504904,2084
H20.33.001,3,Oligodendrocyte,266,0.30169529422504904,2084
H20.33.001,3,Pax6,4,0.30169529422504904,2084
H20.33.001,3,Pvalb,65,0.30169529422504904,2084
H20.33.001,3,Sncg,8,0.30169529422504904,2084
H20.33.001,3,Sst,27,0.30169529422504904,2084
H20.33.001,3,Sst Chodl,5,0.30169529422504904,2084
H20.33.001,3,VLMC,134,0.30169529422504904,2084
H20.33.001,3,Vip,47,0.30169529422504904,2084
H20.33.001,4,Astrocyte,229,0.36597000272942565,2871
H20.33.001,4,Chandelier,18,0.36597000272942565,2871
H20.33.001,4,Endothelial,159,0.36597000272942565,2871
H20.33.001,4,L2/3 IT,56,0.36597000272942565,2871
H20.33.001,4,L4 IT,1082,0.36597000272942565,2871
H20.33.001,4,L5 ET,30,0.36597000272942565,2871
H20.33.001,4,L5 IT,218,0.36597000272942565,2871
H20.33.001,4,L5/6 NP,5,0.36597000272942565,2871
H20.33.001,4,L6 IT,20,0.36597000272942565,2871
H20.33.001,4,L6 IT Car3,26,0.36597000272942565,2871
H20.33.001,4,L6b,7,0.36597000272942565,2871
H20.33.001,4,Lamp5,31,0.36597000272942565,2871
H20.33.001,4,Lamp5 Lhx6,18,0.36597000272942565,2871
H20.33.001,4,Microglia-PVM,276,0.36597000272942565,2871
H20.33.001,4,OPC,75,0.36597000272942565,2871
H20.33.001,4,Oligodendrocyte,327,0.36597000272942565,2871
H20.33.001,4,Pax6,2,0.36597000272942565,2871
