"logFC","AveExpr","t","P.Value","adj.P.Val","B","celltype","level","SE","FDR"
0.313713351576697,1.27004594887282,4.07048714977279,0.000464804876705272,0.0111553170409265,-0.0843280233572505,"L6b","subclass",0.0770702228096232,0.0111553170409265
-0.115955742662739,1.83864584769618,-2.22049866028133,0.0364158003073134,0.358712353772004,-4.07477103407647,"Endothelial","subclass",0.0522205866352775,0.358712353772004
-0.200184552827993,-2.37199856082283,-1.99409263197059,0.0580119328089777,0.358712353772004,-4.53427723573127,"Sst Chodl","subclass",0.10038879318769,0.358712353772004
-0.125986827737681,-0.780556105922347,-1.92962242159333,0.0659585169117805,0.358712353772004,-4.59328200318174,"Chandelier","subclass",0.0652909223731195,0.358712353772004
0.190295255477682,-0.400933532632434,1.8659313508987,0.0747317403691674,0.358712353772004,-4.77345127330086,"L6 IT","subclass",0.10198406033857,0.358712353772004
0.168496585242699,1.39565326821904,1.72744800080888,0.0973654422370868,0.364315209626054,-4.94477814454859,"VLMC","subclass",0.0975407567485681,0.364315209626054
-0.10936847841921,0.0173939613816496,-1.68052424986773,0.106258602807599,0.364315209626054,-4.9663549326981,"Pvalb","subclass",0.0650799763394181,0.364315209626054
-0.157252910444825,1.87387456623558,-1.53654673388944,0.137918099453965,0.392339102537443,-5.20968130308806,"Oligodendrocyte","subclass",0.102341768705448,0.392339102537443
0.170484683361267,-1.6510041143041,1.48506285794876,0.150975791576246,0.392339102537443,-5.34109101008228,"L6 IT Car3","subclass",0.114799641273602,0.392339102537443
0.125298731847377,-0.857989740411727,1.43906642872149,0.163474626057268,0.392339102537443,-5.39850580973146,"L5/6 NP","subclass",0.087069456521681,0.392339102537443
0.200809005298044,-2.01093192265127,1.07727255449964,0.292422154347945,0.638011973122788,-5.86500618449105,"Lamp5 Lhx6","subclass",0.186405013716619,0.638011973122788
-0.064276231232705,1.96688772699448,-0.828970567931123,0.415560392176141,0.831120784352281,-6.05264988099836,"L2/3 IT","subclass",0.077537410517626,0.831120784352281
-0.0426418368452886,0.39608110658934,-0.573313564429321,0.571942843194575,0.876737777898916,-6.20378199815515,"Vip","subclass",0.0743778614199274,0.876737777898916
0.0705458627612894,-1.3639574270353,0.557715538317053,0.582375425599091,0.876737777898916,-6.33117440896458,"L6 CT","subclass",0.126490760817184,0.876737777898916
0.0424875727689591,1.32357496662743,0.51923099551959,0.608513092480574,0.876737777898916,-6.2076112735293,"L4 IT","subclass",0.0818278822635427,0.876737777898916
-0.0455235459539218,-0.355643148898957,-0.432541832025462,0.669337839504615,0.876737777898916,-6.22815989142833,"L5 ET","subclass",0.105246574049841,0.876737777898916
0.0308406720525203,0.83396678243894,0.426766032769875,0.673480040870097,0.876737777898916,-6.25234971871841,"L5 IT","subclass",0.0722659951457535,0.876737777898916
0.0436527903964069,1.63727027459675,0.420114960059527,0.678263057564825,0.876737777898916,-6.3011821548758,"Astrocyte","subclass",0.103906774446265,0.876737777898916
0.0558383710747328,-1.24666488014188,0.338600539125328,0.73795298686135,0.876737777898916,-6.44633458980558,"Sncg","subclass",0.164909279881758,0.876737777898916
-0.0214955307427364,-0.732485087050163,-0.239375420145809,0.81291451227299,0.876737777898916,-6.36906845961477,"Lamp5","subclass",0.08979840423734,0.876737777898916
-0.0227467173438382,-0.416858531355282,-0.218199255053067,0.829179859048957,0.876737777898916,-6.3463466644608,"OPC","subclass",0.104247456474158,0.876737777898916
0.0123374683108687,0.529286744059081,0.21256241181255,0.833523012995967,0.876737777898916,-6.31785563361845,"Sst","subclass",0.0580416274244599,0.876737777898916
-0.0257247849086389,-2.01985621120405,-0.203901075362452,0.840207037153128,0.876737777898916,-6.44837576237275,"Pax6","subclass",0.126163066393401,0.876737777898916
0.0135939668735764,1.12619806871906,0.149182895869344,0.882697257553911,0.882697257553911,-6.42877521859842,"Microglia-PVM","subclass",0.091122824733756,0.882697257553911
