"logFC","AveExpr","t","P.Value","adj.P.Val","B","celltype","level","SE","FDR"
0.80322575831299,-1.45566779500259,4.93749253795969,6.0693198641984e-05,0.00813288861802585,1.87540517687079,"L6b_2","supertype",0.162678880451515,0.00813288861802585
0.472832941922446,-1.02754821869444,4.42560018468836,0.000215603878627773,0.00517449308706654,0.617062211474424,"L6b","subclass",0.106840410834749,0.00517449308706654
-0.493693084454093,1.48273005303185,-4.08664414045885,0.000485221073852013,0.0297464782976072,-0.0232089751574662,"L2/3 IT_8","supertype",0.12080647775675,0.0297464782976072
0.559996885226565,-0.584384844345713,3.95698603309739,0.000665965932035982,0.0297464782976072,-0.361838632807481,"L5/6 NP_3","supertype",0.141521066928866,0.0297464782976072
0.504544472828672,0.106948914823379,3.69720425140823,0.001252561732247,0.0419608180302747,-0.905577439316239,"L6 IT Car3_1","supertype",0.136466486166269,0.0419608180302747
-0.531203085039136,-1.27996456192614,-3.57504624762399,0.00168271422490398,0.0450967412274267,-1.14688332398498,"Pax6_3","supertype",0.148586353363171,0.0450967412274267
0.64324110788062,-1.34085744748837,3.48629484158506,0.00208323707964649,0.046525628112105,-1.49886345725805,"L6b_5","supertype",0.184505653454189,0.046525628112105
-0.213278049829035,2.1265718776026,-3.46205670451777,0.00222920761289847,0.0267504913547817,-1.66260796884506,"Endothelial","subclass",0.0616044357536721,0.0267504913547817
-0.660042364550186,-1.23611430661677,-3.1850394571061,0.00426671027679842,0.0816770252987126,-2.16899985207426,"Pvalb_13","supertype",0.207232084072797,0.0816770252987126
-0.563646106257418,0.0770054547548825,-3.05513632745887,0.00578546058121865,0.0969064647354124,-2.31481102777601,"Sst_3","supertype",0.184491310974078,0.0969064647354124
1.10472560436409,-2.09192627913927,2.9944569672197,0.00666215090240796,0.0991920245469629,-2.50181189777715,"L6b_4","supertype",0.368923519842668,0.0991920245469629
-0.352319478871961,0.878529352172288,-2.89753416544124,0.00833238453698197,0.104115241017285,-2.60419352532282,"Pvalb_6","supertype",0.121592864399689,0.104115241017285
-0.24168708488406,3.76617519483673,-2.88646820684607,0.00854677351634426,0.104115241017285,-2.56678913543684,"Endo_2","supertype",0.0837310746436877,0.104115241017285
-0.653015958054464,-0.54868771578167,-2.75805441172131,0.0114517856373423,0.120881268588895,-3.06355183772923,"Sst_25","supertype",0.236766887295351,0.120881268588895
