cell_type,ctrl_mean,scz_mean,log2FC,U_stat,pvalue,padj
Oligo_4,0.06615242975477294,0.040705705633203255,-0.7005494857805953,131.0,0.0007314819918142257,0.06875930723053722
Vip_11,0.001820275847104448,0.00071303123707022,-1.3508903517866533,126.0,0.0020095048556600134,0.09444672821602063
Pvalb_15,0.02959723250742012,0.024370220211004292,-0.28033254093297283,121.0,0.005107905424995494,0.16004770331652549
Pvalb_2,0.0005080061565943737,0.0017677629281138225,1.796985681442037,25.0,0.007259954988190576,0.17060894222247855
L6b_6,3.592986010771939e-05,0.00020394460801828382,2.472374331285565,32.5,0.021793652489863376,0.3031642681677938
Endo_2,0.10727800488329137,0.09085372045512828,-0.2397343817244687,112.0,0.02257606252313358,0.3031642681677938
Sst_9,0.001308575556131279,0.0016393396154994156,0.3248952424181992,32.0,0.02257606252313358,0.3031642681677938
L2/3 IT_13,0.01813236427320252,0.01383820902447319,-0.3898851237790231,111.0,0.02622938783485701,0.3081953070595699
Sst_3,0.002031253285127665,0.002899802037998162,0.5133716235473613,37.0,0.04638659328139865,0.43603397684514733
OPC_2,0.0391438749623146,0.051237104462079325,0.38839366938863734,37.0,0.04638659328139865,0.43603397684514733
Vip_15,7.886950730276954e-05,0.00015955743289001382,1.0073727359718352,39.5,0.0640904174696095,0.4823922113433293
Oligo_2,7.553382207889458e-05,3.883833782693432e-05,-0.9419399941051404,103.0,0.0704922211259498,0.4823922113433293
L2/3 IT_3,0.0024389948848036387,0.0016192108153873404,-0.5906965802664326,103.0,0.07825222852623706,0.4823922113433293
Pvalb_5,0.0,2.366535541803621e-05,4.624414171035658,54.0,0.0788056024469581,0.4823922113433293
Sst_23,0.00902410034460736,0.01314382006327106,0.5424795156852216,42.0,0.08853377201422956,0.4823922113433293
Vip_12,0.0038199819237230994,0.0031409967896181266,-0.28226172608129285,101.0,0.09987740276926413,0.4823922113433293
Lamp5_3,5.836633518060947e-05,0.00015483018789049313,1.3922577835665768,44.5,0.11226014767044633,0.4823922113433293
Sst_2,0.015473635829013456,0.013247104598046492,-0.2241194897655103,100.0,0.11235119769046394,0.4823922113433293
L2/3 IT_12,0.04511426241208299,0.039688078120424373,-0.18487352471755022,100.0,0.11235119769046394,0.4823922113433293
Sst_19,0.0019010953522264745,0.0013544112027004493,-0.48885896972508386,100.0,0.11235119769046394,0.4823922113433293
Vip_6,2.4689163432386256e-06,2.9511316162819787e-05,3.136787460647024,52.0,0.11290030478248134,0.4823922113433293
Sncg_2,3.254064326343603e-06,2.8262923120341257e-05,2.782160136013209,52.0,0.11290030478248134,0.4823922113433293
Sst_22,9.666104423838811e-05,0.00014831326611874048,0.612487241942321,44.5,0.11823013906877629,0.48320143793325965
