stratum,celltype,merfish_mean,merfish_std,merfish_n_donors,xenium_mean,xenium_std,xenium_n_donors,diff,abs_diff,log2_ratio,abs_log2_ratio
L2/3,Astrocyte,0.13669685077892968,0.030944998111078835,27,0.17010405249907576,0.03211557234302497,12,0.03340720172014608,0.03340720172014608,0.315416779268457,0.315416779268457
L2/3,Chandelier,0.004245655565560736,0.0018630435890336348,27,0.007937111467348771,0.002496377806567559,12,0.0036914559017880346,0.0036914559017880346,0.901049189983599,0.901049189983599
L2/3,Endothelial,0.06012547475788505,0.01243397437922841,27,0.12724879123502367,0.00939881988701622,12,0.06712331647713862,0.06712331647713862,1.0814771101941858,1.0814771101941858
L2/3,L2/3 IT,0.3667909084722116,0.07929241455141903,27,0.2588464225443368,0.04769342744750658,12,-0.10794448592787476,0.10794448592787476,-0.5028450984539129,0.5028450984539129
L2/3,L4 IT,0.0032872196489943445,0.004286475209543712,27,0.005052736333851547,0.0009727845250676264,12,0.0017655166848572022,0.0017655166848572022,0.6186673535774639,0.6186673535774639
L2/3,L5 ET,0.00045158734955122747,0.0007721223972229666,27,0.0012992291073988086,0.0006264847489344578,12,0.0008476417578475812,0.0008476417578475812,1.504041991971635,1.504041991971635
L2/3,L5 IT,0.0005349100374557598,0.0006721288221524252,27,0.00041952100110553657,0.00025660773677321314,12,-0.00011538903635022326,0.00011538903635022326,-0.34328939359077776,0.34328939359077776
L2/3,L5/6 NP,4.669072196026545e-05,0.00012312156176552322,27,0.0007177840667915535,0.0004040070608083779,12,0.000671093344831288,0.000671093344831288,3.6823259197279588,3.6823259197279588
L2/3,L6 CT,0.00011208788084539097,0.000260141373684798,27,8.124547125886156e-05,0.00013125323889062864,12,-3.084240958652941e-05,3.084240958652941e-05,-0.4200951359112623,0.4200951359112623
L2/3,L6 IT,0.0027719232724409105,0.0015069498283207178,27,0.003625046732775724,0.0010517101390406668,12,0.0008531234603348136,0.0008531234603348136,0.38589128199290795,0.38589128199290795
L2/3,L6 IT Car3,0.0064851901564758245,0.006492067332286167,27,0.00013007788719973182,0.0001884527226512953,12,-0.006355112269276092,0.006355112269276092,-5.535070629427015,5.535070629427015
L2/3,L6b,0.0010127235824256458,0.0012923864441346262,27,0.0415718443820697,0.006078309798305493,12,0.040559120799644056,0.040559120799644056,5.345465573899393,5.345465573899393
L2/3,Lamp5,0.018156276789922484,0.007200903050970633,27,0.021292228083163445,0.005271526322565762,12,0.0031359512932409607,0.0031359512932409607,0.2297415684411704,0.2297415684411704
L2/3,Lamp5 Lhx6,0.012514013915342525,0.006374112461148878,27,0.0023522601931014065,0.0010833717389664205,12,-0.010161753722241118,0.010161753722241118,-2.406457231120783,2.406457231120783
L2/3,Microglia-PVM,0.12102848817240083,0.06297914167844025,27,0.08185664363537075,0.026799810533222685,12,-0.039171844537030084,0.039171844537030084,-0.5641182187228231,0.5641182187228231
L2/3,OPC,0.039774847213533825,0.012612079647285616,27,0.016773985158076928,0.004654854618195139,12,-0.023000862055456896,0.023000862055456896,-1.2451337513312328,1.2451337513312328
L2/3,Oligodendrocyte,0.05074706764249969,0.01904325508633814,27,0.04749320466722151,0.009384324305908609,12,-0.003253862975278181,0.003253862975278181,-0.09558387963218694,0.09558387963218694
L2/3,Pax6,0.0054689255798709155,0.002574962375501576,27,0.009457762647285881,0.0018913582057216373,12,0.003988837067414965,0.003988837067414965,0.7891305311041997,0.7891305311041997
L2/3,Pvalb,0.02685289155379138,0.011054753345381254,27,0.007505861404109325,0.002180980464878721,12,-0.019347030149682056,0.019347030149682056,-1.8376042383790145,1.8376042383790145
L2/3,Sncg,0.014674357745783753,0.008385767691651442,27,0.02759238915496849,0.006415754298245584,12,0.012918031409184738,0.012918031409184738,0.9105129790032002,0.9105129790032002
L2/3,Sst,0.018118915280909982,0.012613744999637574,27,0.027806455594158605,0.007824196785925904,12,0.009687540313248623,0.009687540313248623,0.617645995712999,0.617645995712999
L2/3,Sst Chodl,0.0028266005030816205,0.003680716013803731,27,0.003579925237174127,0.0018383857288344374,12,0.0007533247340925065,0.0007533247340925065,0.3397908183963075,0.3397908183963075
L2/3,VLMC,0.05202252754578982,0.014061633893878548,27,0.08943702820759082,0.02056565324961794,12,0.037414500661801,0.037414500661801,0.7816197611514785,0.7816197611514785
L2/3,Vip,0.05525386583233676,0.017593405638274915,27,0.04781839328954221,0.009396076369129947,12,-0.007435472542794551,0.007435472542794551,-0.20846915811498576,0.20846915811498576
L4,Astrocyte,0.15151675871090348,0.039779929053162355,27,0.08674670139129674,0.018073807725791105,12,-0.06477005731960674,0.06477005731960674,-0.8045254815092031,0.8045254815092031
L4,Chandelier,0.004363710216118401,0.0020968776954990707,27,0.01190588151602222,0.003083315115909966,12,0.007542171299903819,0.007542171299903819,1.4459561418447806,1.4459561418447806
L4,Endothelial,0.07171159989124155,0.015295075855979301,27,0.14777362789542517,0.014254555054913909,12,0.07606202800418362,0.07606202800418362,1.0430068745619314,1.0430068745619314
L4,L2/3 IT,0.21867495844661333,0.10520217259705748,27,0.21283032386314604,0.03431625176940037,12,-0.00584463458346729,0.00584463458346729,-0.03908248870596463,0.03908248870596463
