stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,scz_pval_fdr
L2/3,Oligodendrocyte,-0.013709269987573365,0.003510256529249534,0.0008774440971407928,0.008896592939986,0.020041014045731085,0.00021920578415585037,0.2945896927090188,0.5151253615835614,24,0.016744248731243097
L2/3,Pvalb,0.002529002400564537,0.0006862225705297063,0.0014662362458165148,-0.00023180994530675185,0.7397652520174929,-4.343811153722639e-05,0.28822538548374965,0.41106479299220733,24,0.016744248731243097
L2/3,Endothelial,-0.018519872370283463,0.005270563285199533,0.0021840324432056213,-0.0021622143630561363,0.6868574456731769,-0.0003686940887854687,0.24199944097241358,0.4455279972165639,24,0.016744248731243097
L2/3,Sst Chodl,-0.0023286870018213706,0.0010651593193248018,0.04085740934932153,-2.058702018795772e-05,0.9848159252112554,-0.00010048152277835506,0.11961510248822362,0.30503190076965836,24,0.20398200362186567
L2/3,L6b,0.0024997623637809073,0.0011649562665400472,0.04434391383084036,-0.00021636207138572058,0.8549524180807856,-1.1255234951016379e-06,0.9868788354929158,0.18981065217567994,24,0.20398200362186567
L2/3,L6 IT,0.0017534829849364074,0.0010091120777322438,0.0976480711218089,-1.6264749831107136e-05,0.987337309425218,5.705755114364229e-06,0.9233343219406188,0.13636606713182697,24,0.37431760596693414
L2/3,L4 IT,0.000641078483192802,0.0004188082002786537,0.14150296358485998,0.00012596028466027327,0.7673658249393449,-3.6537041943544205e-05,0.14829361004130473,0.16963502039773348,24,0.46493830892168275
L2/3,L5 IT,7.630113561867897e-05,5.500813042035039e-05,0.1806802836921845,-4.596019292379447e-05,0.4146462215557756,2.746592015144866e-06,0.3996571842159352,0.14580504286830653,24,0.4716974344304091
L2/3,Lamp5,0.0007774604002272125,0.0005709018898465315,0.18840135264847038,-0.0005742709875791244,0.3278658356789561,1.5040487358119191e-05,0.6546583449464882,0.12931997857352884,24,0.4716974344304091
L2/3,Chandelier,-0.0022159840857125645,0.001701607638398152,0.2076161942386645,-0.00020191422589953614,0.9070000889059174,-0.0002329548745027281,0.0285687362015831,0.3011224770155412,24,0.4716974344304091
L2/3,Microglia-PVM,-0.006837665310549475,0.0054684869828037505,0.22559442516236958,0.003942823732460677,0.4805226536638958,-0.0007545795362327456,0.027471833074910575,0.29274806511054396,24,0.4716974344304091
