stratum,celltype,scz_mean,ctrl_mean,scz_median,ctrl_median,diff_mean,log2_ratio,n_scz,n_ctrl,U_stat,pval_nominal,pval_fdr
L2/3,Endothelial,0.12430191266919717,0.14395811623998564,0.1223173546939301,0.14156890155630564,-0.01965620357078847,-0.21179904869220023,12,12,22.0,0.004264764914030537,0.09808959302270236
L2/3,Pvalb,0.005784409616696108,0.003387374214160342,0.00587806470268765,0.0032917678768204497,0.002397035402535766,0.7718258925667957,12,12,117.0,0.01019310499110825,0.10839109916198808
L2/3,Oligodendrocyte,0.030806615154523154,0.043206028730186835,0.03187038725763165,0.043938252735640504,-0.012399413575663681,-0.4879790164244106,12,12,29.0,0.014137969455911488,0.10839109916198808
L2/3,Sst Chodl,0.005428779388269075,0.008019764057511309,0.0049058599168550505,0.0075150815232446,-0.002590984669242234,-0.5628460916954757,12,12,32.0,0.02257606252313358,0.1298123595080181
L2/3,L6b,0.0078119454102797345,0.005333132076711601,0.00694629218551235,0.0054524912898766004,0.002478813333568134,0.5506129865569531,12,12,105.0,0.06060196971200612,0.27876906067522816
L2/3,L6 IT,0.0074153013246583506,0.005648376810611283,0.00745798242882755,0.00604792650879305,0.0017669245140470675,0.3926081309979008,12,12,99.0,0.12602212177037309,0.46313857718864904
L2/3,Chandelier,0.021364676465846933,0.024201616378261532,0.020464476319062,0.025323875915728,-0.002836939912414599,-0.17986802036704014,12,12,46.0,0.14095521914437145,0.46313857718864904
L2/3,Microglia-PVM,0.030805748084099947,0.039271721014241284,0.0274476437128387,0.037799668960826996,-0.008465972930141338,-0.3502811571250434,12,12,48.0,0.1748533068932927,0.49333575790209017
L2/3,L6 CT,1.3609886221349999e-05,2.4382973623106543e-05,0.0,0.0,-1.0773087401756544e-05,-0.7969161484574053,12,12,56.0,0.20763226189415152,0.49333575790209017
L2/3,Lamp5,0.00791042067372825,0.007141811191917241,0.007825437028184001,0.0071661787458608996,0.0007686094818110086,0.14744479970203744,12,12,94.0,0.21449380778351745,0.49333575790209017
L2/3,L5 IT,0.0002167545915789127,0.00013716064341127426,0.00019444744436274998,0.00011661211225264177,7.959394816763843e-05,0.656356433253322,12,12,92.5,0.24718290833828394,0.5168369901618663
L2/3,L4 IT,0.0036715772620682166,0.00311475481726065,0.00342062225325905,0.00293647166225295,0.0005568224448075664,0.2372111315411476,12,12,91.0,0.28547630885188247,0.5471629252994414
L2/3,OPC,0.005885287782427699,0.006511223972436166,0.0057095692316687,0.00667686046964415,-0.000625936190008467,-0.1457922407092033,12,12,54.0,0.3123214216762161,0.5525686691194593
L2/3,Astrocyte,0.10013075946488299,0.10178857307815765,0.09560064813998731,0.10277862401946039,-0.0016578136132746613,-0.023690148935060017,12,12,56.0,0.3708443333042212,0.6092442618569347
L2/3,Pax6,0.03392263915979167,0.0323521654873747,0.03150188867403365,0.03343847307093465,0.0015704736724169721,0.06838406857356032,12,12,84.0,0.5067205148778584,0.7284107401369215
L2/3,VLMC,0.22687776303328636,0.202354892876815,0.250379776069455,0.18671018157482344,0.024522870156471366,0.16502670914089526,12,12,84.0,0.5067205148778584,0.7284107401369215
L2/3,Sst,0.02055783635353372,0.021092916134219226,0.01967942865779205,0.02221789228176725,-0.0005350797806855066,-0.037068350504086106,12,12,65.0,0.7074539677020747,0.8780354258372763
L2/3,L5/6 NP,3.332721337703253e-05,4.7945928478234485e-05,0.0,0.0,-1.4618715101201955e-05,-0.5118361089724432,12,12,66.5,0.7472171106751948,0.8780354258372763
L2/3,Lamp5 Lhx6,0.0033462064608514165,0.003470957605975792,0.0032772109030785998,0.00345547147614695,-0.0001247511451243754,-0.052791790570847465,12,12,66.0,0.7508318840891169,0.8780354258372763
